Chemical Location (Inventory),Chemical Location Confidential - EPCRA,Is Trade Secret?,Tenant ID,Facility Id,Chemical Id,Data Sheet URL
Parts Deparment,Not Applicable,Not Applicable,018fec99-8a8f-4b02-921d-421a8792f4e9,b7f953ef-a8cb-4ba5-a173-88a44b144343,33abc16e-2ce1-4710-a9fe-31cac6614997,https://cdn.complyauto.com/safety/shared/safetyDataSheet/e446cc6d-d4ef-4799-a95b-e3b022c7f250.pdf
wash bay out back by lube rack, also rack 45 stall, rack 4 is the 3rd one  ,Not Applicable,Not Applicable,018fec99-8a8f-4b02-921d-421a8792f4e9,b7f953ef-a8cb-4ba5-a173-88a44b144343,15716fe4-c33a-427c-b06e-0a4266bc6790,https://cdn.complyauto.com/safety/shared/safetyDataSheet/fcb789a3-e1e8-48d6-8648-eaa6390ed351.pdf
under ground by gas pump and wash area ,no,Not Applicable,018fec99-8a8f-4b02-921d-421a8792f4e9,b7f953ef-a8cb-4ba5-a173-88a44b144343,7cda1d83-bf3b-4bf7-a12f-5826e9733656,https://cdn.complyauto.com/safety/shared/safetyDataSheet/2cc36890-a4e4-4f0b-88ea-a171d4d13cad.pdf
5 GALLON BOTTLES LOCATED IN TUNE DEPT RACK 48 RACK 49,Not Applicable,Not Applicable,018fec99-8a8f-4b02-921d-421a8792f4e9,b7f953ef-a8cb-4ba5-a173-88a44b144343,8d5c46bd-be76-4762-a188-7ea3d72c2f2a,https://s3.us-east-1.amazonaws.com/storage.complyauto.com/safety/018fec99-8a8f-4b02-921d-421a8792f4e9/safetyDataSheets/a8c1e2d7-30c8-43c3-9219-bc72aae63490.pdf?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45VTHIYLIIVESHIB%2F20240225%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20240225T205250Z&X-Amz-Expires=604800&X-Amz-Signature=b8e9f03b6a6ee6ea013dbae6aba75582001ede3711fab5c3b4c6517870240646&X-Amz-SignedHeaders=host&x-id=GetObject
parts dept ,Not Applicable,Not Applicable,018fec99-8a8f-4b02-921d-421a8792f4e9,b7f953ef-a8cb-4ba5-a173-88a44b144343,8f2b73d7-313a-4cce-a150-976ef9a1e039,https://cdn.complyauto.com/safety/shared/safetyDataSheet/326d23a1-6741-4f12-996c-f81c06be21c9.pdf
bulk and bottle ,Not Applicable,Not Applicable,018fec99-8a8f-4b02-921d-421a8792f4e9,b7f953ef-a8cb-4ba5-a173-88a44b144343,3b682e85-4991-4457-ae42-b79c4e028b01,https://cdn.complyauto.com/safety/shared/safetyDataSheet/e6c43ed8-4531-474e-ad8b-d0da2aa2b8bd.pdf
Parts dept,no,Not Applicable,018fec99-8a8f-4b02-921d-421a8792f4e9,b7f953ef-a8cb-4ba5-a173-88a44b144343,84dce56c-ceb9-464f-a361-88606fea9dff,https://cdn.complyauto.com/safety/shared/safetyDataSheet/e1d07703-28f9-4a4c-807c-8796906671d4.pdf
Parts dept,Not Applicable,Not Applicable,018fec99-8a8f-4b02-921d-421a8792f4e9,b7f953ef-a8cb-4ba5-a173-88a44b144343,dc9a8c26-d27a-4d4c-bdec-c072233acaf7,https://s3.us-east-1.amazonaws.com/storage.complyauto.com/safety/018fec99-8a8f-4b02-921d-421a8792f4e9/safetyDataSheets/4c8a5670-42e3-4eec-bebf-c6224913747e.pdf?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45VTHIYLIIVESHIB%2F20240225%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20240225T205250Z&X-Amz-Expires=604800&X-Amz-Signature=716d8a77d6ba431cf827ef960e7e4e96f37f1d62004fe35f13f9eb6b9e2828b1&X-Amz-SignedHeaders=host&x-id=GetObject
Parts dept,Not Applicable,Not Applicable,018fec99-8a8f-4b02-921d-421a8792f4e9,b7f953ef-a8cb-4ba5-a173-88a44b144343,9cc6e163-6f47-43e1-92c9-d0bf4d81a808,https://s3.us-east-1.amazonaws.com/storage.complyauto.com/safety/018fec99-8a8f-4b02-921d-421a8792f4e9/safetyDataSheets/9d734f03-de6d-4792-96f7-ea2cfb970455.pdf?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45VTHIYLIIVESHIB%2F20240225%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20240225T205250Z&X-Amz-Expires=604800&X-Amz-Signature=a0a2d0d0d44996bba42ca43723aad94c0e618236a2736291cb9e07f3e3fedf39&X-Amz-SignedHeaders=host&x-id=GetObject
Parts dept,Not Applicable,Not Applicable,018fec99-8a8f-4b02-921d-421a8792f4e9,b7f953ef-a8cb-4ba5-a173-88a44b144343,9c0caa06-c0a3-4adf-8401-711fe63a7fb6,https://s3.us-east-1.amazonaws.com/storage.complyauto.com/safety/018fec99-8a8f-4b02-921d-421a8792f4e9/safetyDataSheets/2c5e241e-c036-45f3-b5c2-cc4a388c1629.pdf?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45VTHIYLIIVESHIB%2F20240225%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20240225T205250Z&X-Amz-Expires=604800&X-Amz-Signature=8d4330f9c0671fe1a341c6b1841a5bf49fc3e6d7e681ff904c1dcf6a6c02bb35&X-Amz-SignedHeaders=host&x-id=GetObject
Parts dept,Not Applicable,Not Applicable,018fec99-8a8f-4b02-921d-421a8792f4e9,b7f953ef-a8cb-4ba5-a173-88a44b144343,b3f31f40-5ea3-4740-8339-0f48d890d9c6,https://s3.us-east-1.amazonaws.com/storage.complyauto.com/safety/018fec99-8a8f-4b02-921d-421a8792f4e9/safetyDataSheets/5a621863-8546-450c-98f7-dbfe4f5dda2b.pdf?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45VTHIYLIIVESHIB%2F20240225%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20240225T205250Z&X-Amz-Expires=604800&X-Amz-Signature=de5488dc3cda5358754bcbc48512e3cab7bc79121dc3177bd6cb0677683c780f&X-Amz-SignedHeaders=host&x-id=GetObject
Parts dept,Not Applicable,Not Applicable,018fec99-8a8f-4b02-921d-421a8792f4e9,b7f953ef-a8cb-4ba5-a173-88a44b144343,b8390012-0c53-4bac-b09f-929cdde132ae,https://s3.us-east-1.amazonaws.com/storage.complyauto.com/safety/018fec99-8a8f-4b02-921d-421a8792f4e9/safetyDataSheets/c6256c85-9c0a-42f5-855e-cf97db911454.pdf?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45VTHIYLIIVESHIB%2F20240225%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20240225T205250Z&X-Amz-Expires=604800&X-Amz-Signature=2e7e45806682ee73436227708d583caa78506f9075667af9697c059889a2a89b&X-Amz-SignedHeaders=host&x-id=GetObject
Parts dept/bulk tank,Not Applicable,Not Applicable,018fec99-8a8f-4b02-921d-421a8792f4e9,b7f953ef-a8cb-4ba5-a173-88a44b144343,7d5e6bd8-1e01-451b-96bd-774214b5a988,https://cdn.complyauto.com/safety/shared/safetyDataSheet/cdb326a4-5305-48c9-85a1-7328e947b8c0.pdf
