Facility ID,Tenant ID,Facility Chemical Storage Location ID,Facility Chemical ID,Storage Location ID,Unit,Max Amount,Storage Type,Storage Type Description,Pressure,Temperature
58b2e258-ad74-4148-936e-1fe6fdf80742,343f0200-c41a-42cf-be73-0acbb56827b2,8c0c5dd4-0ce8-420c-b164-010502df2b6e,707f471b-dedc-4c58-8785-2930e81807eb,482ccba9-247a-420a-bdb6-a139b1e502fb,GALLONS,110,STEEL_DRUM,Drums and dispenser along North East Wall,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
16946f19-e775-4a13-878a-4d11c396c15f,343f0200-c41a-42cf-be73-0acbb56827b2,85abec0a-0451-4e28-9f64-b279047e8cca,b31e8d49-036b-48ee-b0ad-f34b710a6e43,b39cbcb3-5ba5-432e-8cc7-00180477145c,GALLONS,110,STEEL_DRUM,East wall of the Service department,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
,,fba511fb-4e5c-4f9f-9bef-2ae310142fd1,a787a870-63e2-4dae-b5c1-b62ed8836222,7e0a1f3b-ccef-43a6-accc-671adac56a5d,GALLONS,64,STEEL_DRUM,Service Department along North Wall,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
,,45f230c3-9621-4f89-9d04-be5267e7843e,e82e82ed-64b5-4bb1-b1ca-e034efea5abc,1a3e990e-74b1-4cde-a620-41a824cee15e,GALLONS,32,STEEL_DRUM,Along North wall of Service Department,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
,,0665a714-2c8b-4309-92bc-209aa6070bdc,a618449c-accf-458d-81c8-23a95769ecb9,ebbd745d-bfa0-4c4e-a43a-6a748bfb34cb,GALLONS,28,STEEL_DRUM,Along center wall of Service department,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
,,48783c4d-fa12-499a-826e-2426d56a0483,227017ad-9a99-4bf3-83f2-b353dcc01734,dd00a8e5-b8c6-4e8e-8a69-a3cb673dc1d8,GALLONS,55,PLASTIC_NON_METALLIC_DRUM,Along center wall of North Service department,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
,,7c74de7c-a170-4050-a5ac-93b796687523,4d0dfc59-aa33-4770-a2c4-679303b3f990,fd392fa6-46ad-40af-af43-3769e0d44468,GALLONS,55,STEEL_DRUM,Along the center wall of North service department,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
,,7d808b3a-054b-4532-bc95-3c000a5f6d36,e774d5c1-0b6b-4951-935e-d5708f9ccc65,fc8aaed2-b2d9-45e5-9247-3a1905983c84,GALLONS,400,TANK_INSIDE_BUILDING,Bulk Oil storage mezzanine on South wall of North Service Building ,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
,,0fc8e3f2-7dab-4e7c-9372-7bfe4b3c8350,7fb23c9a-9dcd-4f88-a76e-9452541c22d7,226e73a5-2a6f-47f2-bc78-2fd053006e01,GALLONS,400,TANK_INSIDE_BUILDING,Bulk Oil storage mezzanine on South wall of North Service Building ,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
,,3e81fb95-fd85-4806-9c94-9e695cbed7a1,8baeb5ac-3668-408d-aefb-73155b3309e2,50b82963-776e-463d-bf10-176e34d4edc6,GALLONS,400,TANK_INSIDE_BUILDING,Bulk Oil storage mezzanine on South wall of North Service Building ,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
,,68360ba0-a7b4-4143-8507-7e04a25733d1,9dd23e86-347c-422f-acc1-080ca4446a96,87ae7e34-cf5e-4610-8741-2816f1099f91,GALLONS,400,TANK_INSIDE_BUILDING,Bulk Oil storage mezzanine on South wall of North Service Building ,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
,,25f2edb6-56ae-4ba2-b3d2-92e33bbb2d2d,1b017865-28bf-44ca-9769-79a697efd75f,4134538d-e4f3-4f8c-a00a-7eda7b4fb1f2,GALLONS,400,TANK_INSIDE_BUILDING,Bulk Oil storage mezzanine on South wall of North Service Building ,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
,,784b223f-a75b-489d-aca1-b954fe685549,4412cc3d-1669-4b8d-96ae-c36863d9f979,6bf48d2b-23bf-4868-be7d-ebb2c1d11a16,GALLONS,5,PLASTIC_NON_METALLIC_DRUM,Along center wall of Service department,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
,,eeaec0bb-7508-4356-a78e-d3baba60ea33,09536a06-74db-409a-949c-8f3324ed01f9,33990ec8-7336-45f0-b5bd-9bde3f8c6631,GALLONS,400,TANK_INSIDE_BUILDING,Bulk Oil storage mezzanine on South wall of North Service Building ,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
,,50442f7c-0b2d-4ec0-b6c9-ae779766a70f,19c9c064-3eb4-4e51-97f2-72b6537ae637,28a61f49-91d3-40a6-a006-94b03548fc5b,GALLONS,32,STEEL_DRUM,Along North wall of service department,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
,,0a365ec9-b694-4041-ab4e-361e249084b0,ef2156a2-1eb6-46f1-b63d-4f64947e8cf0,4f5f5010-e8a2-4ae1-b497-c7e918b91990,GALLONS,55,TANK_INSIDE_BUILDING,Along East wall of service shop,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
,,404c6368-18c9-4576-a91d-ece56a451aa8,c4549791-cc84-4d85-986f-bbf2c44d850d,f410737d-a0d0-412f-b761-3560ddc7b653,CUBIC_FEET,140,CYLINDER,North West corner of service shop in welding caddy.,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
,,fa012800-6291-498e-8b9c-db74dd36aff9,5a93ab23-aec0-4115-aa97-4b9150cb5caf,34227d65-6c0e-4835-96c9-9120470cec56,GALLONS,300,TANK_INSIDE_BUILDING,On south east wall of the service shop.,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
,,c365be4c-07c5-49fe-a018-efcb2ac07af8,602279c5-b0a4-4ecf-90e7-694b1628791e,7968e245-e97b-43c0-a321-3548575dcd17,GALLONS,55,ABOVEGROUND_STORAGE_TANK,Along east wall of service shop,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
,,39b61fae-934e-4189-b7eb-27e1416e74c8,5f7a1e0c-a1d7-41c5-a6e0-08651816aef1,c0df7655-b9d4-4a86-8232-f230c8c4da77,GALLONS,55,TANK_INSIDE_BUILDING,Along east wall of service shop,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
,,71e1e80d-0592-49ce-ba88-f9f6abc7d7a0,71746b3b-a5e7-4073-a623-e540986b0ea2,05a091f1-1089-4a31-ac82-23ca2881f893,GALLONS,6,STEEL_DRUM,On the south wall of the service shop near the roll-up door.,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
,,d38cbdf5-761f-4b46-8288-90f745e68a4a,6734d9ae-f824-497c-91c2-1c004b621585,25f2a41b-b669-4d30-aa7e-b66775fb1d1f,GALLONS,200,TANK_INSIDE_BUILDING,Above ground storage tank on east wall of service shop.,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
,,2c0c16f3-1730-466e-82d1-96254854075a,1a1193e8-5fa2-4a2c-978b-ab55fd2c9d96,2a5d19a6-8ae3-4d83-9921-d670367bbd03,GALLONS,100,TANK_INSIDE_BUILDING,East wall of the service shop,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
