Facility ID,Tenant ID,Facility Chemical Storage Location ID,Facility Chemical ID,Storage Location ID,Unit,Max Amount,Storage Type,Storage Type Description,Pressure,Temperature
f6843fb5-b4fb-42f4-b50f-065170a20b7f,3e718b82-035d-435d-9395-69c6bb3779fe,4e1aa1bb-f27d-44e0-9071-33ce4be81f0b,d2788d9e-c2d3-47c9-92b3-c8d8e35d7633,4e790ecd-6c02-4940-a3fd-65530d0ebebd,OUNCES,1,CAN, Stored east side parts dept. back shelf,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
11928744-6ab0-421b-836d-90d7038fc47a,3e718b82-035d-435d-9395-69c6bb3779fe,f4025240-8218-4b00-8c15-a9f052e7bbc5,f2f56f71-131c-4e0d-8d40-14d38c0c6f0e,6f84f562-a09e-43d8-b946-5b3b20c1944c,GALLONS,500,ABOVEGROUND_STORAGE_TANK,North side of Service Department,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
fd69228e-6744-45c5-a218-ecb0b10dabbf,3e718b82-035d-435d-9395-69c6bb3779fe,e757602b-fc38-4484-be8d-8b32971f97c0,9d0e4066-42b6-40d8-b59f-c934453dd9cb,cf8c8088-3344-49d2-b9d0-3b245e58aced,GALLONS,5,CAN, In storage room west side of main shop,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
,,df2151c5-fed7-4e1f-bc37-8dca424ab989,d5cc0890-8248-4737-b9d5-d10da0f2a20e,23e15bdd-1a31-4fee-a8c0-efea1573f13a,QUARTS,0,CASE,Parts Department,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
,,a076be22-7a56-4d82-a913-f8757de12690,9af4a39b-2220-46a6-9de3-d6a0368505b8,7206349f-38a6-43f5-a692-05a19eb384c3,QUARTS,12,BOX, stored in parts in bin 100,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
,,724db5f6-46e3-4569-8a5f-275fb8e8a2e0,3a62db00-c23f-4f22-afe8-35069713d896,b0426895-6604-47f9-884a-28c5a98d4741,GALLONS,500,TANK_INSIDE_BUILDING, 500 gallon tank stored in room west side of main shop facility,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
,,724db5f6-46e3-4569-8a5f-275fb8e8a2e0,3a62db00-c23f-4f22-afe8-35069713d896,a1673824-ae86-4c64-9e5b-b7d906833792,GALLONS,500,TANK_INSIDE_BUILDING, 500 gallon tank stored in rear area of quick lane facility,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
,,724db5f6-46e3-4569-8a5f-275fb8e8a2e0,3a62db00-c23f-4f22-afe8-35069713d896,98f2c27b-c9f3-4235-b52d-88ba01b5bc21,GALLONS,500,TANK_INSIDE_BUILDING, 500 gallon tank stored in west side of Truck shop Facility,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
,,724db5f6-46e3-4569-8a5f-275fb8e8a2e0,3a62db00-c23f-4f22-afe8-35069713d896,a4cdca92-6740-4378-a1df-8c7ab2319bf6,QUARTS,500,BOX, Case oil stored in parts dept bin 100,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
,,d8000b4b-a4e3-4e78-933a-9a0bd6108b87,e8ddae35-79be-4042-8311-cd085af4e5c0,fa4e0efb-8445-4a27-b7db-ba64caae816a,GALLONS,0,CASE,In the Parts Department bin 66,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
,,2a73ac9e-73e5-440a-b054-3541ed874806,323ff724-4866-4b0b-a261-ac4f037e7249,c509da6b-0200-4558-b8ee-759a65bceae3,QUARTS,0,BOX,Parts Department,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
,,e152d667-7c57-4148-b352-0aca48191134,f991e501-20c7-43e9-9d38-430c5b5ed825,8de67aea-59b1-4596-9ab8-af4abde1d544,QUARTS,0,CASE,IN parts department in bin 130,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
,,58995b2d-bcc7-4bab-8aa8-af84bc1bebd1,3f8740a4-6734-4206-bef5-04dc5d677433,415347bd-eb76-48ec-ad0e-76f2f8f4cc8c,QUARTS,0,CASE,In parts department bin 132,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
,,c81d0a1d-b80d-470b-84bf-1b039a1e155f,7776d798-0e65-4543-98f7-63ab038582d6,30faf8c7-73a1-4f24-8c7e-c3e049c4f0f0,QUARTS,0,CASE,In Parts department bin 133,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
,,40abd03a-eaed-4770-9e76-8c191b74ee68,8d20a027-1cba-47e8-90fc-5b3fc17aa292,8c1f88e6-d6e7-4bfa-a250-e2d63d40d402,QUARTS,0,CASE,In Parts Department bin 132,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
,,7ddafc8d-3751-44c8-a6ff-86ae2c72c361,a03e0dc6-d67e-452d-a22f-781b4a400f0e,08566f18-bfb5-4a86-bd9a-382e2c905315,QUARTS,0,CASE,In Parts Department bin 132
,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
