Chemical Location (Inventory),Chemical Location Confidential - EPCRA,Is Trade Secret?,Tenant ID,Facility Id,Chemical Id,Data Sheet URL
shop areas,no,no,5a9b2331-09e9-4bea-b35d-1556e4a160b2,e17e2bf3-7900-4239-9430-eb50bc37b56c,e40cd4b0-6fa4-444f-8b74-9bbef7dd981e,https://cdn.complyauto.com/safety/shared/safetyDataSheet/016c1427-2a54-42ff-aa4f-ff887ebf248e.pdf
parts department and service shops,no,no,5a9b2331-09e9-4bea-b35d-1556e4a160b2,e17e2bf3-7900-4239-9430-eb50bc37b56c,c9314fcb-bf89-4aae-8f4b-b835897586f1,https://s3.us-east-1.amazonaws.com/storage.complyauto.com/safety/5a9b2331-09e9-4bea-b35d-1556e4a160b2/safetyDataSheets/38780b18-55fb-43f0-8e21-471138bc68eb.pdf?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45VTHIYLIIVESHIB%2F20240225%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20240225T211316Z&X-Amz-Expires=604800&X-Amz-Signature=c8cbe8a97073c6f9a54cabcd03fbfe87c87469bbc6a7e976d0d338f75e2d56c4&X-Amz-SignedHeaders=host&x-id=GetObject
parts department and service shops,no,no,5a9b2331-09e9-4bea-b35d-1556e4a160b2,e17e2bf3-7900-4239-9430-eb50bc37b56c,80641344-b1c6-4289-89b2-448da391e748,https://cdn.complyauto.com/safety/shared/safetyDataSheet/6e107df7-9f8a-4280-a0ae-c1387e6d54e9.pdf
parts department and service shops,no,no,5a9b2331-09e9-4bea-b35d-1556e4a160b2,e17e2bf3-7900-4239-9430-eb50bc37b56c,6f17d373-fe6f-45ae-a656-6092d4632c22,https://s3.us-east-1.amazonaws.com/storage.complyauto.com/safety/5a9b2331-09e9-4bea-b35d-1556e4a160b2/safetyDataSheets/752980bd-f489-4b35-ad1a-eda855539a77.pdf?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45VTHIYLIIVESHIB%2F20240225%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20240225T211316Z&X-Amz-Expires=604800&X-Amz-Signature=2d1bef3582dc656a025020b5ec495216ed9c0f5e50b7e764ae3fd7b0d0fa51d2&X-Amz-SignedHeaders=host&x-id=GetObject
parts department and service shops,no,no,5a9b2331-09e9-4bea-b35d-1556e4a160b2,e17e2bf3-7900-4239-9430-eb50bc37b56c,ec1d331b-e3d7-45fb-875c-b053066704c1,https://cdn.complyauto.com/safety/shared/safetyDataSheet/1985c9ad-9995-4ac3-be26-29edd33ac647.pdf
parts department and service shops,no,no,5a9b2331-09e9-4bea-b35d-1556e4a160b2,e17e2bf3-7900-4239-9430-eb50bc37b56c,25f58628-f45d-48a3-a714-3b9c1d9f1eb6,https://cdn.complyauto.com/safety/shared/safetyDataSheet/38b5f58a-435d-48fb-b277-9bb60eb722d4.pdf
parts department and service shops,no,Not Applicable,5a9b2331-09e9-4bea-b35d-1556e4a160b2,e17e2bf3-7900-4239-9430-eb50bc37b56c,b37de071-4e1a-430c-97cc-7cd9a35aba80,https://s3.us-east-1.amazonaws.com/storage.complyauto.com/safety/5a9b2331-09e9-4bea-b35d-1556e4a160b2/safetyDataSheets/b44a2438-dd2d-4b5b-bf97-6350b36d905e.pdf?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45VTHIYLIIVESHIB%2F20240225%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20240225T211316Z&X-Amz-Expires=604800&X-Amz-Signature=88a3e23d8ff8d4c02073977a8dee129a9822b7d11b8bfdb2594b90dea607840e&X-Amz-SignedHeaders=host&x-id=GetObject
parts department and service shops,no,no,5a9b2331-09e9-4bea-b35d-1556e4a160b2,e17e2bf3-7900-4239-9430-eb50bc37b56c,a8d21118-aea1-4aac-ab42-438c3ae3c4b6,https://s3.us-east-1.amazonaws.com/storage.complyauto.com/safety/5a9b2331-09e9-4bea-b35d-1556e4a160b2/safetyDataSheets/90ab44b8-1fed-40df-9c0c-ed3b1c5cf58d.pdf?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45VTHIYLIIVESHIB%2F20240225%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20240225T211316Z&X-Amz-Expires=604800&X-Amz-Signature=838ab13f3c29a0099ed945fe1f7d6c25ea66b73150a1ff1651f386d36f6b8925&X-Amz-SignedHeaders=host&x-id=GetObject
parts department and service shops,no,no,5a9b2331-09e9-4bea-b35d-1556e4a160b2,e17e2bf3-7900-4239-9430-eb50bc37b56c,da5142bf-0af0-458f-b580-baa5e4440063,https://cdn.complyauto.com/safety/shared/safetyDataSheet/8c6cdd73-28ea-423d-a1c3-4f3a4d02df68.pdf
parts department and service shops,no,no,5a9b2331-09e9-4bea-b35d-1556e4a160b2,e17e2bf3-7900-4239-9430-eb50bc37b56c,e227cefe-3947-4a37-81d2-aac96d800f3d,https://cdn.complyauto.com/safety/shared/safetyDataSheet/7de93705-30ea-4fd5-ac49-21d9bcd880d2.pdf
parts department and service shops,no,no,5a9b2331-09e9-4bea-b35d-1556e4a160b2,e17e2bf3-7900-4239-9430-eb50bc37b56c,37f5383a-80d5-4dac-b6b3-9be14a85bb38,https://cdn.complyauto.com/safety/shared/safetyDataSheet/3851227e-30a7-4079-acc5-dac84e79aeb4.pdf
parts department and service shops,no,no,5a9b2331-09e9-4bea-b35d-1556e4a160b2,e17e2bf3-7900-4239-9430-eb50bc37b56c,18cdf8bb-92c5-48fe-8635-c9a49bcec807,https://cdn.complyauto.com/safety/shared/safetyDataSheet/f5de3cbf-e39a-4632-9d52-22021be335ea.pdf
parts department and service shops,no,no,5a9b2331-09e9-4bea-b35d-1556e4a160b2,e17e2bf3-7900-4239-9430-eb50bc37b56c,207ddbcf-d9c1-438a-82d2-ccaf95e73114,https://cdn.complyauto.com/safety/shared/safetyDataSheet/cbb3f233-271a-4517-bbcf-8775d1842b77.pdf
parts department and service shops,no,no,5a9b2331-09e9-4bea-b35d-1556e4a160b2,e17e2bf3-7900-4239-9430-eb50bc37b56c,2781d8e8-0481-4859-bb40-24ab609ddcd5,https://cdn.complyauto.com/safety/shared/safetyDataSheet/99e9462a-d1fa-4c3b-922d-b22e73d392c6.pdf
service shop,no,no,5a9b2331-09e9-4bea-b35d-1556e4a160b2,de6fc613-1631-4719-94ae-e5a240863c7b,096c2a37-33e8-46b6-a681-207adc482663,https://s3.us-east-1.amazonaws.com/storage.complyauto.com/safety/5a9b2331-09e9-4bea-b35d-1556e4a160b2/safetyDataSheets/746e5183-df07-4c83-83ca-f45e926f2708.pdf?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45VTHIYLIIVESHIB%2F20240225%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20240225T211316Z&X-Amz-Expires=604800&X-Amz-Signature=58020c90f02da97b06511434ce9d52532791eb1fd4fceec4e133be09dc887e6f&X-Amz-SignedHeaders=host&x-id=GetObject
parts department and service shops,no,no,5a9b2331-09e9-4bea-b35d-1556e4a160b2,de6fc613-1631-4719-94ae-e5a240863c7b,1936c811-91fc-4d83-a410-d532c5f74a7f,https://s3.us-east-1.amazonaws.com/storage.complyauto.com/safety/5a9b2331-09e9-4bea-b35d-1556e4a160b2/safetyDataSheets/4b96c0c2-69df-4287-aba4-069ca392c185.pdf?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45VTHIYLIIVESHIB%2F20240225%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20240225T211316Z&X-Amz-Expires=604800&X-Amz-Signature=c3649112b2249fb5790fc2b0287a2dbb2749fe3fa99e188c81d90451f8462810&X-Amz-SignedHeaders=host&x-id=GetObject
parts department and service shops,no,no,5a9b2331-09e9-4bea-b35d-1556e4a160b2,de6fc613-1631-4719-94ae-e5a240863c7b,ae38acb4-15a1-4dee-ad99-674402301172,https://s3.us-east-1.amazonaws.com/storage.complyauto.com/safety/5a9b2331-09e9-4bea-b35d-1556e4a160b2/safetyDataSheets/197afdf4-4c5a-4bfc-8936-3c5f557d1682.pdf?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45VTHIYLIIVESHIB%2F20240225%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20240225T211316Z&X-Amz-Expires=604800&X-Amz-Signature=7f5e0be92df76e653779c3588b45dab9c05fe973bb3cb2e120a382363ff20d9b&X-Amz-SignedHeaders=host&x-id=GetObject
parts department and service shops,no,no,5a9b2331-09e9-4bea-b35d-1556e4a160b2,de6fc613-1631-4719-94ae-e5a240863c7b,fbed212d-1ced-4bc9-851b-02658a89c132,https://cdn.complyauto.com/safety/shared/safetyDataSheet/338a9cd8-8b55-4b61-b4ed-94fef315b14f.pdf
parts department and service shops,no,no,5a9b2331-09e9-4bea-b35d-1556e4a160b2,de6fc613-1631-4719-94ae-e5a240863c7b,9df4f617-8e81-4d94-b388-701d46811c63,https://s3.us-east-1.amazonaws.com/storage.complyauto.com/safety/5a9b2331-09e9-4bea-b35d-1556e4a160b2/safetyDataSheets/d16de8ee-393a-485d-9424-c786a5bef3b8.pdf?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45VTHIYLIIVESHIB%2F20240225%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20240225T211316Z&X-Amz-Expires=604800&X-Amz-Signature=582883c690f91afc590fe87f990ea5353997ac4dd25e763e773d816c718c2aff&X-Amz-SignedHeaders=host&x-id=GetObject
parts department and service shops,no,no,5a9b2331-09e9-4bea-b35d-1556e4a160b2,de6fc613-1631-4719-94ae-e5a240863c7b,d16d3bd3-c6a6-4e2c-a65a-51c9c08d2eed,https://cdn.complyauto.com/safety/shared/safetyDataSheet/670ada5f-36f0-4d09-9121-8f5e642b6a80.pdf
parts department and service shops,no,no,5a9b2331-09e9-4bea-b35d-1556e4a160b2,de6fc613-1631-4719-94ae-e5a240863c7b,7fb00770-2f88-4a31-acdb-4aa58389788a,https://s3.us-east-1.amazonaws.com/storage.complyauto.com/safety/5a9b2331-09e9-4bea-b35d-1556e4a160b2/safetyDataSheets/b02f0225-2b05-4fcc-a56f-c2f27a60006d.pdf?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45VTHIYLIIVESHIB%2F20240225%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20240225T211316Z&X-Amz-Expires=604800&X-Amz-Signature=4141b3779744413585934b91b939208241e5f6a75c0895974e5d519e5842c3eb&X-Amz-SignedHeaders=host&x-id=GetObject
parking lot,no,no,5a9b2331-09e9-4bea-b35d-1556e4a160b2,de6fc613-1631-4719-94ae-e5a240863c7b,ca21cb68-f920-43be-a4fa-878b3daea927,https://s3.us-east-1.amazonaws.com/storage.complyauto.com/safety/5a9b2331-09e9-4bea-b35d-1556e4a160b2/safetyDataSheets/71dc731c-c112-4633-9704-6b92c00f1aec.pdf?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45VTHIYLIIVESHIB%2F20240225%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20240225T211316Z&X-Amz-Expires=604800&X-Amz-Signature=f6e201c22efcdac6a627c784ff6fdbb58a1e76227727a3fea1f5012e667e9e46&X-Amz-SignedHeaders=host&x-id=GetObject
