Facility ID,Tenant ID,Facility Chemical Storage Location ID,Facility Chemical ID,Storage Location ID,Unit,Max Amount,Storage Type,Storage Type Description,Pressure,Temperature
e17e2bf3-7900-4239-9430-eb50bc37b56c,5a9b2331-09e9-4bea-b35d-1556e4a160b2,d69c6fe8-1fc8-460e-a9bc-3bbb3b80a8a4,e40cd4b0-6fa4-444f-8b74-9bbef7dd981e,6b3aaef5-539c-4d11-82c8-0f35fc9ce427,QUARTS,0,PLASTIC_BOTTLE,Inside shelf,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
de6fc613-1631-4719-94ae-e5a240863c7b,5a9b2331-09e9-4bea-b35d-1556e4a160b2,22ced5e2-b484-4c7c-8fbf-86254b504a74,c9314fcb-bf89-4aae-8f4b-b835897586f1,21889f4f-8018-4aec-8166-30ca1924b31d,QUARTS,0,PLASTIC_BOTTLE,Inside shelfs,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
52dafd05-c97e-47f8-8ff7-88916d2f4a3b,5a9b2331-09e9-4bea-b35d-1556e4a160b2,29808729-17e8-4250-b38f-eadf3ddacfbb,80641344-b1c6-4289-89b2-448da391e748,f2b164df-da67-44f9-a2b8-02ab4d9a2ca2,QUARTS,0,PLASTIC_BOTTLE,Inside workshop,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
,,df081c55-9572-43d6-8a05-92060a5ec581,6f17d373-fe6f-45ae-a656-6092d4632c22,46144ccc-720f-4172-b179-20fe90767db5,QUARTS,0,PLASTIC_BOTTLE,Inside shelf,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
,,3ac0c3c0-f663-4ad8-9338-e56dfdc3fcbf,ec1d331b-e3d7-45fb-875c-b053066704c1,e3f6489f-0d94-4d96-8649-e5ccb0a906d8,GALLONS,0,TANK_INSIDE_BUILDING,Inside shelf,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
,,5643798c-cb09-4226-b83d-e0f8e4dc7830,25f58628-f45d-48a3-a714-3b9c1d9f1eb6,1b623b87-f17e-467f-afc1-f66ea7e7f4b3,QUARTS,0,PLASTIC_BOTTLE,Inside workshop,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
,,98cde3e8-6039-4fc6-9b57-a1dae33594ab,b37de071-4e1a-430c-97cc-7cd9a35aba80,fcae675a-aaa4-404a-ac98-087c014e5ad2,GALLONS,0,TANK_INSIDE_BUILDING,Inside workshop,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
,,fd88b8d1-9c53-4e23-b3f5-3ae770634b9b,a8d21118-aea1-4aac-ab42-438c3ae3c4b6,1b1ab3e1-3325-4cec-b375-2f80efa667c0,GALLONS,0,TANK_INSIDE_BUILDING,Inside shelf,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
,,4c2167fb-e1dd-45d8-b59c-855d0c2fd4e4,da5142bf-0af0-458f-b580-baa5e4440063,0898e00d-8f75-44b2-931b-84ffbfa08423,GALLONS,0,PLASTIC_BOTTLE,Inside service area,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
,,65f6a865-7a7a-4bc0-bc38-a2117e805df5,e227cefe-3947-4a37-81d2-aac96d800f3d,85d414be-0179-4037-ab40-025ea706be96,QUARTS,0,PLASTIC_BOTTLE,Inside shelf,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
,,6fcc9e36-41a4-4b8c-987b-5f9387e3627c,37f5383a-80d5-4dac-b6b3-9be14a85bb38,2d85e0eb-7f49-4645-af18-9cee5f4aafee,QUARTS,0,PLASTIC_BOTTLE,Inside Building/Service Workshop,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
,,0b982a2b-649d-4e02-84fa-20137380cc6f,18cdf8bb-92c5-48fe-8635-c9a49bcec807,5d41bd98-d09b-46d0-88fe-e4eb9a219158,QUARTS,0,PLASTIC_BOTTLE,Inside Buildings/ Service Workshops. waste oil tanks,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
,,60263fd3-ff64-4cbb-be87-c8f456d9aad3,207ddbcf-d9c1-438a-82d2-ccaf95e73114,9aed1e81-f99f-47b1-9611-2ab3e03fcbfe,QUARTS,0,PLASTIC_BOTTLE,south side of service area,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
,,28415474-c182-45ac-bfde-dc9a0f89a56e,2781d8e8-0481-4859-bb40-24ab609ddcd5,c7bffc03-978d-4793-b1e6-9417e266321b,QUARTS,50,PLASTIC_BOTTLE,south side of service area,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
,,4d80b7fa-1a7b-4a5b-9282-bd4b3363b212,096c2a37-33e8-46b6-a681-207adc482663,d2299b20-edba-47ae-bddb-844d67f314c2,POUNDS,2,TANK_CAR,south side of storage area,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
,,214c1119-bdff-45ce-8237-edbebf3cef52,1936c811-91fc-4d83-a410-d532c5f74a7f,7ba299bc-f906-4691-bc4a-cb38a02f6b38,POUNDS,4,STEEL_DRUM,south side of service area,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
,,bfd5a651-4425-4a8d-8e43-a4f76a08f420,ae38acb4-15a1-4dee-ad99-674402301172,d05af3ec-da17-4c9b-bb0b-c36e458f02d7,POUNDS,2,STEEL_DRUM,south side of service area,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
,,b8430108-149a-4a49-957d-fc937e48c59a,fbed212d-1ced-4bc9-851b-02658a89c132,1645cb1e-0b0d-4e97-8ccd-b79569e325ba,POUNDS,2,STEEL_DRUM,south side of service area,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
,,2af12dab-0049-4ce0-a478-40758125615f,9df4f617-8e81-4d94-b388-701d46811c63,4875004d-e99d-411e-9cf4-8d9dcec90a26,GALLONS,120,TANK_INSIDE_BUILDING,sw side of service area in compressor room,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
,,8cc9debc-df54-4f4e-ae54-1e2145e5116a,d16d3bd3-c6a6-4e2c-a65a-51c9c08d2eed,32f1eb83-4ec2-48d4-a47b-8dce6655300a,GALLONS,120,TANK_INSIDE_BUILDING,sw side of service area in compressor room,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
,,df5262ef-e489-4fb4-954b-235977968a90,7fb00770-2f88-4a31-acdb-4aa58389788a,5ecc1fb5-994c-4300-95c9-ab6a67d8f599,GALLONS,240,TANK_INSIDE_BUILDING,sw side of service area in compressor room,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
,,4677110c-a42d-48d8-8861-2bd30cb9fa95,ca21cb68-f920-43be-a4fa-878b3daea927,159e8f4e-539d-4d2b-9403-c07c4cf699c5,GALLONS,240,TANK_INSIDE_BUILDING,South side of Service area, west of divide,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
,,f8b0840c-421d-4d9d-a80a-eebe3bec9ab4,1ea66df5-0671-4ea3-82ec-b38d6f874ddd,efdd4d44-03ad-4d00-a9a7-4dea61c9342e,GALLONS,240,TANK_INSIDE_BUILDING,Stored inside Parts Department,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
,,821a49dd-885d-497c-a576-68f4a33d2d0f,ed874546-3dbb-4d13-8363-b3e42bc1052b,af83d6cc-b106-425c-8458-98a7349f096f,POUNDS,120,STEEL_DRUM,Stored in Parts department,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
,,5b0bc77d-c8f6-4ff5-b567-f57405f5f7f5,9745dde9-55e0-4d14-9ab1-d13da5cd4079,b2d8f428-d5b1-4362-ae7f-522b6f7268d5,GALLONS,10,CYLINDER,south side of service area,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
,,55b31ab3-b2f2-48e1-932a-b7ca406d1d21,60070f8a-5ebe-445a-95a7-7a07398cbb7a,80630105-b26e-4392-8002-8a8ede2f4a33,POUNDS,10,CYLINDER,sw side of service area in compressor room,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
,,b25d42f9-d915-4b38-806c-3ee4981c88f2,1732d325-3968-4088-bbd7-b7798e08abe5,03d60892-5e6f-49bc-9708-a1d68d51a27d,GALLONS,120,TANK_INSIDE_BUILDING,SW side of building - in Parking lot,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
,,3f0de42c-44d6-4959-8deb-b0f98aa2b831,35dd7569-07f4-4b50-9036-ad5648df37e5,bb397d6e-f156-45a9-9f28-0f6de3f7ad5a,GALLONS,500,TANK_INSIDE_BUILDING,Storage area upstairs above parts department,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
,,221bb41e-1289-4a69-9a84-60136b111be2,94ffd1f5-f6f8-4c3a-9c2f-c7ee92f607f9,98675676-44f1-426e-92cc-a338935f22de,GALLONS,1500,ABOVEGROUND_STORAGE_TANK,sw side of service area in compressor room,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
,,f8740aab-e749-457a-99b3-62d9efd08cff,9ac1cd6a-1b2f-4009-9f45-15c30789b2e9,09bdfc6b-1e3c-4f50-92f0-22c133f8ab3b,LITERS,10,CYLINDER,West end of Metal Shop,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
,,fa3650b5-1c0e-41eb-99e8-2b05c877bcfd,2781d8e8-0481-4859-bb40-24ab609ddcd5,d762cf6d-ac9a-4049-abd0-e9946269a501,GALLONS,0,STEEL_DRUM,West end of the Metal Shop,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
,,ff20e031-90b3-4f82-8681-407b2bf800ac,1b5dcd64-a55c-40f6-8be0-307059992577,52be27a6-5e93-4ed7-a8ab-8fbc84e898ab,GALLONS,200,TANK_INSIDE_BUILDING,Parked and Charged on North side of New Car Prep - Overnight ,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
,,e448166d-2a13-4a4a-abcf-de7bac515115,4f3b2eb5-fa97-4afc-90c3-3f96279204b5,c818ca3d-08dc-46c9-b76b-066b5c94ac12,POUNDS,300,CYLINDER,West side of Metal Shop,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
,,9b4f744c-981d-49cb-8a7d-147108687dbd,6cf9234f-43a6-498f-889e-d353bc9adeba,95371277-5cb3-4b12-b7b2-00b6f19a6cfc,POUNDS,75,CYLINDER,In the South end of the shop - Parts room ,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
,,aa18e8c1-3b3a-48c2-9dee-34ef0d85eafd,b1e1f02c-15e8-457b-9b3a-e08ae1fe0cbe,263fc9f8-a817-4dad-afd5-619562593276,POUNDS,180,CASE,West Side of Paint Shop,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
,,26d9c15d-31a6-4325-8c70-7ce783a86483,45d9f40f-ace3-492a-9cb6-2988f1abc5f3,0afda137-247e-45ce-b443-1183eb4ed592,QUARTS,50,CYLINDER,,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
,,1304639a-ebe9-4d10-9d05-24c2c063dd21,2781d8e8-0481-4859-bb40-24ab609ddcd5,4b1307d4-a1ba-4df1-839d-4c5f89e3e155,OUNCES,10,PLASTIC_BOTTLE,,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
,,c3f9d8ec-d8b0-430c-8579-14d6f7cae417,1b5dcd64-a55c-40f6-8be0-307059992577,35985021-0636-4483-b6f8-1355bece737e,GALLONS,55,STEEL_DRUM,,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
