Facility ID,Tenant ID,Facility Chemical Storage Location ID,Facility Chemical ID,Storage Location ID,Unit,Max Amount,Storage Type,Storage Type Description,Pressure,Temperature
029bd1d0-cece-4db7-9e9f-ad69d9a714b4,3e718b82-035d-435d-9395-69c6bb3779fe,4e1aa1bb-f27d-44e0-9071-33ce4be81f0b,bf4e7701-ec55-5051-887d-76f48cee80f8,4e790ecd-6c02-4940-a3fd-65530d0ebebd,OUNCES,1,CAN, Stored east side parts dept. back shelf,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
029bd1d0-cece-4db7-9e9f-ad69d9a714b4,3e718b82-035d-435d-9395-69c6bb3779fe,f4025240-8218-4b00-8c15-a9f052e7bbc5,ab96525f-b768-5f3e-b00e-1a966659c1b3,6f84f562-a09e-43d8-b946-5b3b20c1944c,GALLONS,500,ABOVEGROUND_STORAGE_TANK,North side of Service Department,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
029bd1d0-cece-4db7-9e9f-ad69d9a714b4,3e718b82-035d-435d-9395-69c6bb3779fe,e757602b-fc38-4484-be8d-8b32971f97c0,1619d52c-ada4-52f1-81c1-c3b94563c4bb,cf8c8088-3344-49d2-b9d0-3b245e58aced,GALLONS,5,CAN, In storage room west side of main shop,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
029bd1d0-cece-4db7-9e9f-ad69d9a714b4,3e718b82-035d-435d-9395-69c6bb3779fe,df2151c5-fed7-4e1f-bc37-8dca424ab989,4457bf8d-1828-5ea1-8e72-9855012427d3,23e15bdd-1a31-4fee-a8c0-efea1573f13a,QUARTS,0,CASE,Parts Department,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
029bd1d0-cece-4db7-9e9f-ad69d9a714b4,3e718b82-035d-435d-9395-69c6bb3779fe,a076be22-7a56-4d82-a913-f8757de12690,237bcfa6-50a7-57e7-85d0-4709b9ec829d,7206349f-38a6-43f5-a692-05a19eb384c3,QUARTS,12,BOX, stored in parts in bin 100,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
029bd1d0-cece-4db7-9e9f-ad69d9a714b4,3e718b82-035d-435d-9395-69c6bb3779fe,724db5f6-46e3-4569-8a5f-275fb8e8a2e0,61d37155-71ad-5a92-92af-e53c8608b94e,b0426895-6604-47f9-884a-28c5a98d4741,GALLONS,500,TANK_INSIDE_BUILDING, 500 gallon tank stored in room west side of main shop facility,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
029bd1d0-cece-4db7-9e9f-ad69d9a714b4,3e718b82-035d-435d-9395-69c6bb3779fe,724db5f6-46e3-4569-8a5f-275fb8e8a2e0,61d37155-71ad-5a92-92af-e53c8608b94e,a1673824-ae86-4c64-9e5b-b7d906833792,GALLONS,500,TANK_INSIDE_BUILDING, 500 gallon tank stored in rear area of quick lane facility,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
029bd1d0-cece-4db7-9e9f-ad69d9a714b4,3e718b82-035d-435d-9395-69c6bb3779fe,724db5f6-46e3-4569-8a5f-275fb8e8a2e0,61d37155-71ad-5a92-92af-e53c8608b94e,98f2c27b-c9f3-4235-b52d-88ba01b5bc21,GALLONS,500,TANK_INSIDE_BUILDING, 500 gallon tank stored in west side of Truck shop Facility,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
029bd1d0-cece-4db7-9e9f-ad69d9a714b4,3e718b82-035d-435d-9395-69c6bb3779fe,724db5f6-46e3-4569-8a5f-275fb8e8a2e0,61d37155-71ad-5a92-92af-e53c8608b94e,a4cdca92-6740-4378-a1df-8c7ab2319bf6,QUARTS,500,BOX, Case oil stored in parts dept bin 100,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
029bd1d0-cece-4db7-9e9f-ad69d9a714b4,3e718b82-035d-435d-9395-69c6bb3779fe,d8000b4b-a4e3-4e78-933a-9a0bd6108b87,1477a338-3b14-5d63-8f62-8f11c97ccc7d,fa4e0efb-8445-4a27-b7db-ba64caae816a,GALLONS,0,CASE,In the Parts Department bin 66,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
029bd1d0-cece-4db7-9e9f-ad69d9a714b4,3e718b82-035d-435d-9395-69c6bb3779fe,2a73ac9e-73e5-440a-b054-3541ed874806,ccb81ab3-3d8c-50bf-92a0-8dcc525f92e9,c509da6b-0200-4558-b8ee-759a65bceae3,QUARTS,0,BOX,Parts Department,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
029bd1d0-cece-4db7-9e9f-ad69d9a714b4,3e718b82-035d-435d-9395-69c6bb3779fe,e152d667-7c57-4148-b352-0aca48191134,1a02dac7-9b64-5bd5-a2e4-d2d7785d1ba2,8de67aea-59b1-4596-9ab8-af4abde1d544,QUARTS,0,CASE,IN parts department in bin 130,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
029bd1d0-cece-4db7-9e9f-ad69d9a714b4,3e718b82-035d-435d-9395-69c6bb3779fe,58995b2d-bcc7-4bab-8aa8-af84bc1bebd1,e0edbeb9-cf97-5e0a-8381-d9ba9689c3d1,415347bd-eb76-48ec-ad0e-76f2f8f4cc8c,QUARTS,0,CASE,In parts department bin 132,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
029bd1d0-cece-4db7-9e9f-ad69d9a714b4,3e718b82-035d-435d-9395-69c6bb3779fe,c81d0a1d-b80d-470b-84bf-1b039a1e155f,312b7bf7-5844-570b-88fa-0982e0145e1c,30faf8c7-73a1-4f24-8c7e-c3e049c4f0f0,QUARTS,0,CASE,In Parts department bin 133,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
029bd1d0-cece-4db7-9e9f-ad69d9a714b4,3e718b82-035d-435d-9395-69c6bb3779fe,40abd03a-eaed-4770-9e76-8c191b74ee68,a96d2f86-ee37-5f12-ab4e-f94b67a0c249,8c1f88e6-d6e7-4bfa-a250-e2d63d40d402,QUARTS,0,CASE,In Parts Department bin 132,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
029bd1d0-cece-4db7-9e9f-ad69d9a714b4,3e718b82-035d-435d-9395-69c6bb3779fe,7ddafc8d-3751-44c8-a6ff-86ae2c72c361,55c5eddc-c035-598a-9f0f-5b14ce10b895,08566f18-bfb5-4a86-bd9a-382e2c905315,QUARTS,0,CASE,In Parts Department bin 132,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
029bd1d0-cece-4db7-9e9f-ad69d9a714b4,3e718b82-035d-435d-9395-69c6bb3779fe,27c56ffa-f99c-49ab-b793-1e2839733846,30ae2c7a-5f80-5487-b74c-0beb45d3edb1,e09f22dc-007f-4724-8f2c-07f1ebc8ef97,QUARTS,0,CASE,In Parts Department bin 132,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
029bd1d0-cece-4db7-9e9f-ad69d9a714b4,3e718b82-035d-435d-9395-69c6bb3779fe,c176fdc2-2ffa-40de-80cc-635f4b6b51d3,2facd23c-b724-55f7-a761-befa54ae871b,a3400338-0446-42e1-a72a-dbc9003bbbf1,QUARTS,0,CASE,In parts department in bin 133,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
029bd1d0-cece-4db7-9e9f-ad69d9a714b4,3e718b82-035d-435d-9395-69c6bb3779fe,acdce48f-4bd4-46b8-b0f8-9f31e03c6c9f,46f7143b-946c-54c7-ae4f-d904b7556452,af277812-acee-4675-9e09-c31a1abf94f5,GALLONS,0,CASE,in Parts Department bin 135,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
029bd1d0-cece-4db7-9e9f-ad69d9a714b4,3e718b82-035d-435d-9395-69c6bb3779fe,f69a5932-8000-4d2d-9a92-a6db184e5911,df545f5c-9752-5d5e-ab32-298e65d6a455,cb6fcdf9-8723-42fa-a9af-ac7aa14658c0,QUARTS,0,CASE,in parts department bin 134,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
029bd1d0-cece-4db7-9e9f-ad69d9a714b4,3e718b82-035d-435d-9395-69c6bb3779fe,03238a94-f482-4da9-b6a4-31e6f9632cc4,b9d7f644-84a0-59b9-ab03-90a8aee06dd5,a21912b9-db52-4f77-a512-e832b6290d97,OUNCES,0,CASE,In the Parts department,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
029bd1d0-cece-4db7-9e9f-ad69d9a714b4,3e718b82-035d-435d-9395-69c6bb3779fe,480edda1-5c07-44b3-8d2a-da89ded8803c,21dedd83-bdf1-5b38-8e1a-169781f82573,127705c0-6ecd-4bd3-aab5-f64cf202f8da,OUNCES,0,CASE,Parts Department bin 137,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
029bd1d0-cece-4db7-9e9f-ad69d9a714b4,3e718b82-035d-435d-9395-69c6bb3779fe,919df57a-8b33-47b1-a847-8f5afc45455d,7777f9a0-62e3-5b10-b984-96a97b94cbca,1ad9062e-173c-4244-a74f-4e1e01285ad2,GALLONS,0,CASE,Parts Department Bin 137,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
029bd1d0-cece-4db7-9e9f-ad69d9a714b4,3e718b82-035d-435d-9395-69c6bb3779fe,54f047ff-2377-43b4-8611-cbc86354b242,b34fab17-ed9a-5308-a6ad-aeecb3bdfcb7,4cc1b2d3-8f39-4ec5-91fc-a7346c7259fc,GALLONS,0,STEEL_DRUM,Parts Department bin 137,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
029bd1d0-cece-4db7-9e9f-ad69d9a714b4,3e718b82-035d-435d-9395-69c6bb3779fe,e2ad9c7b-5c72-45ad-9b17-1b4f9d826249,7eeedc5e-78b4-5bee-8cd8-14c19a423ca4,0640160e-78b0-40a5-bb69-2b9c9e4975f3,GALLONS,0,CAN,Parts Department in bin 137,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
029bd1d0-cece-4db7-9e9f-ad69d9a714b4,3e718b82-035d-435d-9395-69c6bb3779fe,4ff5191c-246d-435d-87e8-5ba0b1d6ef01,61752d26-5cd5-5206-a5c5-f7c75d78294f,9d9c5047-5d16-4320-b247-7098ce9ad2a0,GALLONS,300,ABOVEGROUND_STORAGE_TANK,In Rear of service area,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
029bd1d0-cece-4db7-9e9f-ad69d9a714b4,3e718b82-035d-435d-9395-69c6bb3779fe,545fd69f-0445-4785-8b7b-eba4bc000331,9505d318-e78c-5dfa-aff2-4b378008d15e,efa2a8a7-6b41-413e-9538-5aeb2e901ed3,GALLONS,0,CAN,Parts Department in Bin 127,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
029bd1d0-cece-4db7-9e9f-ad69d9a714b4,3e718b82-035d-435d-9395-69c6bb3779fe,b0b962e1-5816-4642-9811-4de5b8560992,a0110158-02fc-5c24-9634-a83e3269b3b8,b9482b71-6d05-4dbf-a10e-51ef6b0e6f32,GALLONS,0,CASE,Parts Department in bin 137,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
