Tenant ID,Facility ID,Storage Location ID,Description
3e718b82-035d-435d-9395-69c6bb3779fe,029bd1d0-cece-4db7-9e9f-ad69d9a714b4,4e790ecd-6c02-4940-a3fd-65530d0ebebd, Stored east side parts dept. back shelf
3e718b82-035d-435d-9395-69c6bb3779fe,029bd1d0-cece-4db7-9e9f-ad69d9a714b4,6f84f562-a09e-43d8-b946-5b3b20c1944c,North side of Service Department
3e718b82-035d-435d-9395-69c6bb3779fe,029bd1d0-cece-4db7-9e9f-ad69d9a714b4,cf8c8088-3344-49d2-b9d0-3b245e58aced, In storage room west side of main shop
3e718b82-035d-435d-9395-69c6bb3779fe,029bd1d0-cece-4db7-9e9f-ad69d9a714b4,23e15bdd-1a31-4fee-a8c0-efea1573f13a,Parts Department
3e718b82-035d-435d-9395-69c6bb3779fe,029bd1d0-cece-4db7-9e9f-ad69d9a714b4,7206349f-38a6-43f5-a692-05a19eb384c3, stored in parts in bin 100
3e718b82-035d-435d-9395-69c6bb3779fe,029bd1d0-cece-4db7-9e9f-ad69d9a714b4,b0426895-6604-47f9-884a-28c5a98d4741, 500 gallon tank stored in room west side of main shop facility
3e718b82-035d-435d-9395-69c6bb3779fe,029bd1d0-cece-4db7-9e9f-ad69d9a714b4,a1673824-ae86-4c64-9e5b-b7d906833792, 500 gallon tank stored in rear area of quick lane facility
3e718b82-035d-435d-9395-69c6bb3779fe,029bd1d0-cece-4db7-9e9f-ad69d9a714b4,98f2c27b-c9f3-4235-b52d-88ba01b5bc21, 500 gallon tank stored in west side of Truck shop Facility
3e718b82-035d-435d-9395-69c6bb3779fe,029bd1d0-cece-4db7-9e9f-ad69d9a714b4,a4cdca92-6740-4378-a1df-8c7ab2319bf6, Case oil stored in parts dept bin 100
3e718b82-035d-435d-9395-69c6bb3779fe,029bd1d0-cece-4db7-9e9f-ad69d9a714b4,fa4e0efb-8445-4a27-b7db-ba64caae816a,In the Parts Department bin 66
3e718b82-035d-435d-9395-69c6bb3779fe,029bd1d0-cece-4db7-9e9f-ad69d9a714b4,c509da6b-0200-4558-b8ee-759a65bceae3,Parts Department
3e718b82-035d-435d-9395-69c6bb3779fe,029bd1d0-cece-4db7-9e9f-ad69d9a714b4,8de67aea-59b1-4596-9ab8-af4abde1d544,IN parts department in bin 130
3e718b82-035d-435d-9395-69c6bb3779fe,029bd1d0-cece-4db7-9e9f-ad69d9a714b4,415347bd-eb76-48ec-ad0e-76f2f8f4cc8c,In parts department bin 132
3e718b82-035d-435d-9395-69c6bb3779fe,029bd1d0-cece-4db7-9e9f-ad69d9a714b4,30faf8c7-73a1-4f24-8c7e-c3e049c4f0f0,In Parts department bin 133
3e718b82-035d-435d-9395-69c6bb3779fe,029bd1d0-cece-4db7-9e9f-ad69d9a714b4,8c1f88e6-d6e7-4bfa-a250-e2d63d40d402,In Parts Department bin 132
3e718b82-035d-435d-9395-69c6bb3779fe,029bd1d0-cece-4db7-9e9f-ad69d9a714b4,08566f18-bfb5-4a86-bd9a-382e2c905315,In Parts Department bin 132
3e718b82-035d-435d-9395-69c6bb3779fe,029bd1d0-cece-4db7-9e9f-ad69d9a714b4,e09f22dc-007f-4724-8f2c-07f1ebc8ef97,In Parts Department bin 132
3e718b82-035d-435d-9395-69c6bb3779fe,029bd1d0-cece-4db7-9e9f-ad69d9a714b4,a3400338-0446-42e1-a72a-dbc9003bbbf1,In parts department in bin 133
3e718b82-035d-435d-9395-69c6bb3779fe,029bd1d0-cece-4db7-9e9f-ad69d9a714b4,af277812-acee-4675-9e09-c31a1abf94f5,in Parts Department bin 135
3e718b82-035d-435d-9395-69c6bb3779fe,029bd1d0-cece-4db7-9e9f-ad69d9a714b4,cb6fcdf9-8723-42fa-a9af-ac7aa14658c0,in parts department bin 134
3e718b82-035d-435d-9395-69c6bb3779fe,029bd1d0-cece-4db7-9e9f-ad69d9a714b4,a21912b9-db52-4f77-a512-e832b6290d97,In the Parts department
3e718b82-035d-435d-9395-69c6bb3779fe,029bd1d0-cece-4db7-9e9f-ad69d9a714b4,127705c0-6ecd-4bd3-aab5-f64cf202f8da,Parts Department bin 137
3e718b82-035d-435d-9395-69c6bb3779fe,029bd1d0-cece-4db7-9e9f-ad69d9a714b4,1ad9062e-173c-4244-a74f-4e1e01285ad2,Parts Department Bin 137
3e718b82-035d-435d-9395-69c6bb3779fe,029bd1d0-cece-4db7-9e9f-ad69d9a714b4,4cc1b2d3-8f39-4ec5-91fc-a7346c7259fc,Parts Department bin 137
3e718b82-035d-435d-9395-69c6bb3779fe,029bd1d0-cece-4db7-9e9f-ad69d9a714b4,0640160e-78b0-40a5-bb69-2b9c9e4975f3,Parts Department in bin 137
3e718b82-035d-435d-9395-69c6bb3779fe,029bd1d0-cece-4db7-9e9f-ad69d9a714b4,9d9c5047-5d16-4320-b247-7098ce9ad2a0,In Rear of service area
3e718b82-035d-435d-9395-69c6bb3779fe,029bd1d0-cece-4db7-9e9f-ad69d9a714b4,efa2a8a7-6b41-413e-9538-5aeb2e901ed3,Parts Department in Bin 127
3e718b82-035d-435d-9395-69c6bb3779fe,029bd1d0-cece-4db7-9e9f-ad69d9a714b4,b9482b71-6d05-4dbf-a10e-51ef6b0e6f32,Parts Department in bin 137
3e718b82-035d-435d-9395-69c6bb3779fe,029bd1d0-cece-4db7-9e9f-ad69d9a714b4,d11f2fa8-d017-4a23-b89d-0ea8c6a97a13,Parts Department in Bin 137
3e718b82-035d-435d-9395-69c6bb3779fe,029bd1d0-cece-4db7-9e9f-ad69d9a714b4,620574c9-04f2-4c98-a04b-fedd9a753f71,In parts department bin 130
3e718b82-035d-435d-9395-69c6bb3779fe,029bd1d0-cece-4db7-9e9f-ad69d9a714b4,06777343-f5d8-46b2-a6d0-f9b1d65816d8,In parts department bin 131
3e718b82-035d-435d-9395-69c6bb3779fe,029bd1d0-cece-4db7-9e9f-ad69d9a714b4,1edb71f2-8671-4bb2-83fe-d305416be5d9,Parts Department bin 66
3e718b82-035d-435d-9395-69c6bb3779fe,029bd1d0-cece-4db7-9e9f-ad69d9a714b4,2123054e-5973-4591-bcae-e6063df6be5b,Parts Department bin 66
3e718b82-035d-435d-9395-69c6bb3779fe,029bd1d0-cece-4db7-9e9f-ad69d9a714b4,e9fc92f7-2b94-4786-bff9-91a7cebd15f3,In the parts department bin 66
3e718b82-035d-435d-9395-69c6bb3779fe,029bd1d0-cece-4db7-9e9f-ad69d9a714b4,187703e1-08d6-4b2d-8b30-6f22dbe6db4e, stored on torch tank dollie in west side store room
