Component ID,Chemical ID,Name,Is EHS?,Component Percentage,CAS Number,No CAS Number?,Weight or Volume?,EHS Form
92faac29-48d3-59b8-b823-1a3fb726041c,d95c2e00-578c-429a-be07-53c63f043752,ETHYLENE GLYCOL,False,100.0,107-21-1,False,WEIGHT,NONE
8181a2b0-9f43-5768-b2d1-7a7298a895aa,d95c2e00-578c-429a-be07-53c63f043752,DIETHYLENE GLYCOL,False,5.0,111-46-6,False,WEIGHT,NONE
dfbe73ba-ecb8-58ec-8102-708ec53267cb,d95c2e00-578c-429a-be07-53c63f043752,SODIUM BENZOATE,False,5.0,532-32-1,False,WEIGHT,NONE
cf3e5dc6-2a4c-5baa-99b1-7aae0c01505e,d95c2e00-578c-429a-be07-53c63f043752,DISODIUM TETRABORATE,False,5.0,1330-43-4,False,WEIGHT,NONE
55612952-3d77-53d9-a145-a6558c9364af,d95c2e00-578c-429a-be07-53c63f043752,SODIUM NITRITE,False,0.5,7632-00-0,False,WEIGHT,NONE
cc35b3ad-2e92-5007-8cb8-da9494059ae1,d95c2e00-578c-429a-be07-53c63f043752,SODIUM NITRATE,False,0.5,7631-99-4,False,WEIGHT,NONE
9c592e4e-637b-5470-8921-6fbee86fa067,d8905ee7-40f0-420f-bfbc-c84a62352116,ETHANEDIOL,False,60.0,107-21-1,False,VOLUME,NONE
5748dfa2-193b-56fe-9e1f-f8cc9dce84c3,d8905ee7-40f0-420f-bfbc-c84a62352116,SODIUM BENZOATE,False,1.0,532-32-1,False,VOLUME,NONE
c90d6d79-a8c4-5f78-9702-5731329af5d8,d8905ee7-40f0-420f-bfbc-c84a62352116,TOLYLTRIAZOLE,False,1.0,29385-43-1,False,VOLUME,NONE
63d88a64-d925-52e8-80b3-fd838b641294,d8905ee7-40f0-420f-bfbc-c84a62352116,SODIUM (TRIHYDROXYSILYL)PROPYLMETHYLPHOSPHONATE,False,1.0,84962-98-1,False,VOLUME,NONE
864f743a-1adb-5426-ab8d-c12fb2019f21,d8905ee7-40f0-420f-bfbc-c84a62352116,SODIUM METHYL METHYLPHOSPHONATE,False,1.0,73750-69-3,False,VOLUME,NONE
4d4f0fb5-6d07-525b-9ea9-2ffbbe70e7ae,d8905ee7-40f0-420f-bfbc-c84a62352116,METHANOL,False,1.0,67-56-1,False,VOLUME,NONE
fe2451b7-67e1-5078-aa6a-d315938a8d8a,d8905ee7-40f0-420f-bfbc-c84a62352116,"BIS(TRIHYDROXYSILYLPROPYL)METHYLPHOSPHONATE, SODIUM SALT",False,1.0,,True,VOLUME,NONE
c51ee7c2-e1e1-54c7-8655-514b0437a77e,d8905ee7-40f0-420f-bfbc-c84a62352116,DENATONIUM BENZOATE,False,1.0,3734-33-6,False,VOLUME,NONE
3f103656-7874-5dad-8e8b-919ad2a4fbb5,3360c8cb-1497-46f5-baf4-51707e4947b7,ETHYLENE GLYCOL,False,50.0,107-21-1,False,WEIGHT,NONE
8102256a-a9b6-5dc7-b3e3-52c82110536c,3360c8cb-1497-46f5-baf4-51707e4947b7,"2,2'-Oxydiethanol",False,5.0,111-46-6,False,WEIGHT,NONE
ed4a651b-7dce-51b8-9cda-2ef9773b5824,3d21852c-c75a-4455-ac10-c121428d91a8,ethanediol; ethylene glycol,False,75.0,107-21-1,False,WEIGHT,NONE
b5ec390d-1424-556c-9d57-640d348ae0ab,3d21852c-c75a-4455-ac10-c121428d91a8,2-ethylhexanoic acid,False,3.0,149-57-5,False,WEIGHT,NONE
