Tenant ID,Chemical ID,Chemical Name,CAS Number,No CAS Number?,Alternate ID,Is Ehs?,Pure or Mixture?,Is Solid?,Is Liquid?,Is Gas?,Is Trade Secret?,Density,Density Units,Physical Hazards,Health Hazards,Oregon Hazards,IFC Hazards,No Hazards - Not Reporting?,EHS Form,Needs Review?
8c9c4866-0f59-43e6-a326-3c5b95e26a03,e40cd4b0-6fa4-444f-8b74-9bbef7dd981e,BATTERY-TERMINAL PROTECTORS,,TRUE,1301,FALSE,MIXTURE,TRUE,FALSE,FALSE,FALSE,0.85,KILOGRAMS_PER_LITER,FLAMMABLE,ACUTE_TOXICITY|SKIN_IRRITANT|EYE_IRRITANT,,,FALSE,NONE,
8c9c4866-0f59-43e6-a326-3c5b95e26a03,c9314fcb-bf89-4aae-8f4b-b835897586f1,MULTI-CLEAN™,,TRUE,117,FALSE,MIXTURE,FALSE,TRUE,FALSE,TRUE,0.83,KILOGRAMS_PER_LITER,FLAMMABLE|COMBUSTIBLE_DUST,ACUTE_TOXICITY|CARCINOGENIC|ASPIRATION_HAZARD,,COMBUSTIBLE|TOXIC,FALSE,NONE,
8c9c4866-0f59-43e6-a326-3c5b95e26a03,80641344-b1c6-4289-89b2-448da391e748,E-SHIELD™,,TRUE,107,FALSE,MIXTURE,FALSE,TRUE,FALSE,TRUE,0.82,KILOGRAMS_PER_LITER,FLAMMABLE|COMBUSTIBLE_DUST,ACUTE_TOXICITY|EYE_IRRITANT|GERM_CELL_MUTAGENIC|CARCINOGENIC|ASPIRATION_HAZARD,,COMBUSTIBLE|FLAMMABLE,FALSE,NONE,
8c9c4866-0f59-43e6-a326-3c5b95e26a03,6f17d373-fe6f-45ae-a656-6092d4632c22,BATTERY CLEANER & LEAK DETECTOR,533-96-0,FALSE,150,FALSE,MIXTURE,FALSE,TRUE,FALSE,TRUE,1.02,KILOGRAMS_PER_LITER,,,,,TRUE,NONE,
8c9c4866-0f59-43e6-a326-3c5b95e26a03,ec1d331b-e3d7-45fb-875c-b053066704c1,Used Motor Oil Composite Standard,75-09-2,FALSE,31465,FALSE,MIXTURE,FALSE,TRUE,FALSE,FALSE,1.3258,KILOGRAMS_PER_LITER,,CARCINOGENIC,,,FALSE,NONE,
8c9c4866-0f59-43e6-a326-3c5b95e26a03,25f58628-f45d-48a3-a714-3b9c1d9f1eb6,PREMIUM FUEL GUARD™,,TRUE,129,FALSE,MIXTURE,FALSE,TRUE,FALSE,TRUE,0.88,KILOGRAMS_PER_LITER,FLAMMABLE|COMBUSTIBLE_DUST,ACUTE_TOXICITY|SKIN_IRRITANT|EYE_IRRITANT|ASPIRATION_HAZARD,,COMBUSTIBLE|CORROSIVE,FALSE,NONE,
8c9c4866-0f59-43e6-a326-3c5b95e26a03,b37de071-4e1a-430c-97cc-7cd9a35aba80,COOL OFF™,107-21-1,FALSE,142,FALSE,MIXTURE,FALSE,TRUE,FALSE,TRUE,1.07,KILOGRAMS_PER_LITER,,SPECIFIC_TARGET_ORGAN_TOXICITY,,,FALSE,NONE,
8c9c4866-0f59-43e6-a326-3c5b95e26a03,a8d21118-aea1-4aac-ab42-438c3ae3c4b6,COOLING SYSTEM TREATMENT™,107-21-1,FALSE,143,FALSE,MIXTURE,FALSE,TRUE,FALSE,TRUE,1.07,KILOGRAMS_PER_LITER,,SPECIFIC_TARGET_ORGAN_TOXICITY,,,FALSE,NONE,
8c9c4866-0f59-43e6-a326-3c5b95e26a03,da5142bf-0af0-458f-b580-baa5e4440063,BOOST™,,TRUE,442,FALSE,MIXTURE,FALSE,TRUE,FALSE,TRUE,0.9,KILOGRAMS_PER_LITER,FLAMMABLE,ACUTE_TOXICITY|SKIN_IRRITANT|EYE_IRRITANT|GERM_CELL_MUTAGENIC|CARCINOGENIC|ASPIRATION_HAZARD,,FLAMMABLE,FALSE,NONE,
8c9c4866-0f59-43e6-a326-3c5b95e26a03,e227cefe-3947-4a37-81d2-aac96d800f3d,ARCTICBLAST™,PROPRIETARY,TRUE,620,FALSE,MIXTURE,FALSE,TRUE,FALSE,TRUE,1.04,KILOGRAMS_PER_LITER,,,,,TRUE,NONE,
