Component ID,Chemical ID,Name,Is EHS?,Component Percentage,CAS Number,No CAS Number?,Weight or Volume?,EHS Form
0a37721b-861a-509f-87c3-7792c5fe544b,c9314fcb-bf89-4aae-8f4b-b835897586f1,"Petroleum distillates, solvent dewaxed heavy paraffinic",FALSE,60.0,64742-65-0,FALSE,WEIGHT,NONE
4de97908-a28a-58d5-8673-985c1fc33724,c9314fcb-bf89-4aae-8f4b-b835897586f1,"Lubricating oils, petroleum, hydrotreated spent",FALSE,60.0,64742-58-1,FALSE,WEIGHT,NONE
46c4634b-1c20-5c2f-a5d0-c7ad1f62817e,c9314fcb-bf89-4aae-8f4b-b835897586f1,Hydrotreated Light Petroleum Distillates,FALSE,50.0,64742-47-8,FALSE,WEIGHT,NONE
10009bd0-d67f-516e-9b37-5dffe11c0afc,c9314fcb-bf89-4aae-8f4b-b835897586f1,9-Octadecenoic Acid,FALSE,5.0,112-80-1,FALSE,WEIGHT,NONE
02aa6289-453a-5d35-a827-94d24f629cfa,c9314fcb-bf89-4aae-8f4b-b835897586f1,Dipropylene Glycol Methyl Ether,FALSE,3.0,34590-94-8,FALSE,WEIGHT,NONE
69bf7f4a-363c-5cd8-afa1-85e7d7a694ad,80641344-b1c6-4289-89b2-448da391e748,Hydrotreated Light Petroleum Distillates,FALSE,85.0,64742-47-8,FALSE,WEIGHT,NONE
f3a6316d-cf0d-5895-abae-ee911314bbaa,80641344-b1c6-4289-89b2-448da391e748,Monoalkylaryl alkoxylate aminated,FALSE,12.0,,TRUE,WEIGHT,NONE
8ffc4af1-4aa6-514b-ba87-ec1a9d25147d,80641344-b1c6-4289-89b2-448da391e748,Light Aromatic Solvent Naphtha,FALSE,12.0,64742-95-6,FALSE,WEIGHT,NONE
a19eec77-2fe4-52b0-bccd-04a87055955c,80641344-b1c6-4289-89b2-448da391e748,"1,2,4-Trimethylbenzene",FALSE,6.0,95-63-6,FALSE,WEIGHT,NONE
3972eb7a-da84-52dc-b075-aacb34dfaeca,80641344-b1c6-4289-89b2-448da391e748,N-Propylbenzene,FALSE,3.0,103-65-1,FALSE,WEIGHT,NONE
5866871f-7fe2-5a59-985f-f82f7c78c934,80641344-b1c6-4289-89b2-448da391e748,"1,3,5-Trimethylbenzene",FALSE,3.0,108-67-8,FALSE,WEIGHT,NONE
2472150f-c71e-59f2-895b-b7ae207cc58a,80641344-b1c6-4289-89b2-448da391e748,"Benzenamine, N-Phenyl-, Reaction Products With 2,4,4-Trimethylpentene",FALSE,2.0,68411-46-1,FALSE,WEIGHT,NONE
2df9a01b-47db-5e60-8bc6-45bf6010012b,80641344-b1c6-4289-89b2-448da391e748,Alkyl diphenylamine,FALSE,2.0,184378-08-3,FALSE,WEIGHT,NONE
f5c06714-9f68-51bf-b29f-a8ddbd673161,80641344-b1c6-4289-89b2-448da391e748,Cumene,FALSE,1.0,98-82-8,FALSE,WEIGHT,NONE
b911ba9f-2e3e-5bb4-ae9b-bfaeba731c84,80641344-b1c6-4289-89b2-448da391e748,"1,2,3-Trimethylbenzene",FALSE,1.0,526-73-8,FALSE,WEIGHT,NONE
09e9531d-6f67-5234-bf40-e3328b55e1e6,80641344-b1c6-4289-89b2-448da391e748,Ethylbenzene,FALSE,0.4,100-41-4,FALSE,WEIGHT,NONE
170806db-864d-5911-a81e-886a65bbe5aa,6f17d373-fe6f-45ae-a656-6092d4632c22,Sodium Sesquicarbonate,FALSE,100.0,533-96-0,FALSE,WEIGHT,NONE
4f81a5de-25ab-59c6-99e4-20a2cddea1bc,ec1d331b-e3d7-45fb-875c-b053066704c1,Dichloromethane,FALSE,95.0,75-09-2,FALSE,WEIGHT,NONE
ea252baf-4821-5410-9805-5d6c6ea6860a,ec1d331b-e3d7-45fb-875c-b053066704c1,Used Motor Oil Composite,FALSE,5.0,,TRUE,WEIGHT,NONE
a2961d7b-73dc-5b0c-9325-6eecf5929e60,25f58628-f45d-48a3-a714-3b9c1d9f1eb6,Hydrotreated Light Petroleum Distillates,FALSE,45.0,64742-47-8,FALSE,WEIGHT,NONE
844359a8-e9b2-5e6f-a931-74a67566ef60,25f58628-f45d-48a3-a714-3b9c1d9f1eb6,2-Butoxyethanol,FALSE,45.0,111-76-2,FALSE,WEIGHT,NONE
a14c9e10-f6be-580f-a8a0-f5dbab25a79f,25f58628-f45d-48a3-a714-3b9c1d9f1eb6,"Benzene, C10-16-Alkyl Derivatives",FALSE,5.0,68648-87-3,FALSE,WEIGHT,NONE
e125a7d8-e64b-5620-ac12-7d72d660d80c,b37de071-4e1a-430c-97cc-7cd9a35aba80,Ethylene Glycol,FALSE,10.0,107-21-1,FALSE,WEIGHT,NONE
2e71f3e0-faf7-50ef-8dc6-1d9242e558b4,a8d21118-aea1-4aac-ab42-438c3ae3c4b6,Ethylene Glycol,FALSE,10.0,107-21-1,FALSE,WEIGHT,NONE
bb47d388-0571-5d8e-a23c-4151ca6a3c89,da5142bf-0af0-458f-b580-baa5e4440063,Light Aromatic Solvent Naphtha,FALSE,50.0,64742-95-6,FALSE,WEIGHT,NONE
a3b67459-a3c1-5af2-8610-fa3916d0a3b8,da5142bf-0af0-458f-b580-baa5e4440063,Hydrotreated Light Petroleum Distillates,FALSE,40.0,64742-47-8,FALSE,WEIGHT,NONE
d0c4fa15-8e76-502c-a6ab-5be10be745c4,da5142bf-0af0-458f-b580-baa5e4440063,Monoalkylaryl alkoxylate aminated,FALSE,40.0,,TRUE,WEIGHT,NONE
5d092213-2824-5454-bde8-8dbec66792f4,da5142bf-0af0-458f-b580-baa5e4440063,"1,2,4-Trimethylbenzene",FALSE,15.0,95-63-6,FALSE,WEIGHT,NONE
d066dd9b-ed1b-5640-82c6-13f0091a9239,da5142bf-0af0-458f-b580-baa5e4440063,"1,3,5-Trimethylbenzene",FALSE,12.0,108-67-8,FALSE,WEIGHT,NONE
b3a92383-83bd-5deb-9282-83796fb12cfd,da5142bf-0af0-458f-b580-baa5e4440063,Polyolefin Alkyl Phenol Alkyl Amine,FALSE,12.0,,TRUE,WEIGHT,NONE
cc7dfc97-854b-55ed-a6d0-7f042fa15c83,da5142bf-0af0-458f-b580-baa5e4440063,N-Propylbenzene,FALSE,10.0,103-65-1,FALSE,WEIGHT,NONE
730300b1-1ee4-59ba-a430-96fd45c5e6c8,da5142bf-0af0-458f-b580-baa5e4440063,Xylene,FALSE,6.0,1330-20-7,FALSE,WEIGHT,NONE
c0fa0c28-c691-59f2-9384-426e81b54168,da5142bf-0af0-458f-b580-baa5e4440063,Cumene,FALSE,6.0,98-82-8,FALSE,WEIGHT,NONE
20245e7a-1c7c-5fd2-8d07-d13993e4a271,da5142bf-0af0-458f-b580-baa5e4440063,"1,2,3-Trimethylbenzene",FALSE,6.0,526-73-8,FALSE,WEIGHT,NONE
2b4e0ec3-9b63-50d2-90fb-46c93c5e6b64,da5142bf-0af0-458f-b580-baa5e4440063,o-Ethyltoluene,FALSE,1.0,611-14-3,FALSE,WEIGHT,NONE
77004a5c-9f06-55a0-b9a4-e18c9f701f73,da5142bf-0af0-458f-b580-baa5e4440063,Ethylbenzene,FALSE,1.0,100-41-4,FALSE,WEIGHT,NONE
f4311cb5-8ca0-5770-a85d-4771b1bb9bad,e227cefe-3947-4a37-81d2-aac96d800f3d,Siloxane,FALSE,100.0,PROPRIETARY,TRUE,WEIGHT,NONE
590c4450-dbe6-5f13-94f8-e6bebfea32b5,37f5383a-80d5-4dac-b6b3-9be14a85bb38,Hydrotreated Heavy Paraffinic Oil,FALSE,55.0,64742-54-7,FALSE,WEIGHT,NONE
0ec0accb-d1f1-52f3-bd5e-49c5681f72e9,37f5383a-80d5-4dac-b6b3-9be14a85bb38,Hydrotreated Light Petroleum Distillates,FALSE,45.0,64742-47-8,FALSE,WEIGHT,NONE
47d8668d-4039-527d-a485-dfb626dbfd79,37f5383a-80d5-4dac-b6b3-9be14a85bb38,Mineral Oil,FALSE,15.0,64742-54-7,FALSE,WEIGHT,NONE
