Tenant ID,Facility ID,Storage Location ID,Description
5a9b2331-09e9-4bea-b35d-1556e4a160b2,e17e2bf3-7900-4239-9430-eb50bc37b56c,6b3aaef5-539c-4d11-82c8-0f35fc9ce427,Inside shelf
5a9b2331-09e9-4bea-b35d-1556e4a160b2,e17e2bf3-7900-4239-9430-eb50bc37b56c,21889f4f-8018-4aec-8166-30ca1924b31d,Inside shelfs
5a9b2331-09e9-4bea-b35d-1556e4a160b2,e17e2bf3-7900-4239-9430-eb50bc37b56c,f2b164df-da67-44f9-a2b8-02ab4d9a2ca2,Inside workshop
5a9b2331-09e9-4bea-b35d-1556e4a160b2,e17e2bf3-7900-4239-9430-eb50bc37b56c,46144ccc-720f-4172-b179-20fe90767db5,Inside shelf
5a9b2331-09e9-4bea-b35d-1556e4a160b2,e17e2bf3-7900-4239-9430-eb50bc37b56c,e3f6489f-0d94-4d96-8649-e5ccb0a906d8,Inside shelf
5a9b2331-09e9-4bea-b35d-1556e4a160b2,e17e2bf3-7900-4239-9430-eb50bc37b56c,1b623b87-f17e-467f-afc1-f66ea7e7f4b3,Inside workshop
5a9b2331-09e9-4bea-b35d-1556e4a160b2,e17e2bf3-7900-4239-9430-eb50bc37b56c,fcae675a-aaa4-404a-ac98-087c014e5ad2,Inside workshop
5a9b2331-09e9-4bea-b35d-1556e4a160b2,e17e2bf3-7900-4239-9430-eb50bc37b56c,1b1ab3e1-3325-4cec-b375-2f80efa667c0,Inside shelf
5a9b2331-09e9-4bea-b35d-1556e4a160b2,e17e2bf3-7900-4239-9430-eb50bc37b56c,0898e00d-8f75-44b2-931b-84ffbfa08423,Inside service area
5a9b2331-09e9-4bea-b35d-1556e4a160b2,e17e2bf3-7900-4239-9430-eb50bc37b56c,85d414be-0179-4037-ab40-025ea706be96,Inside shelf
5a9b2331-09e9-4bea-b35d-1556e4a160b2,e17e2bf3-7900-4239-9430-eb50bc37b56c,2d85e0eb-7f49-4645-af18-9cee5f4aafee,Inside Building/Service Workshop
5a9b2331-09e9-4bea-b35d-1556e4a160b2,e17e2bf3-7900-4239-9430-eb50bc37b56c,5d41bd98-d09b-46d0-88fe-e4eb9a219158,Inside Buildings/ Service Workshops. waste oil tanks
5a9b2331-09e9-4bea-b35d-1556e4a160b2,e17e2bf3-7900-4239-9430-eb50bc37b56c,9aed1e81-f99f-47b1-9611-2ab3e03fcbfe,south side of service area
5a9b2331-09e9-4bea-b35d-1556e4a160b2,e17e2bf3-7900-4239-9430-eb50bc37b56c,c7bffc03-978d-4793-b1e6-9417e266321b,south side of service area
5a9b2331-09e9-4bea-b35d-1556e4a160b2,de6fc613-1631-4719-94ae-e5a240863c7b,d2299b20-edba-47ae-bddb-844d67f314c2,south side of storage area
5a9b2331-09e9-4bea-b35d-1556e4a160b2,de6fc613-1631-4719-94ae-e5a240863c7b,7ba299bc-f906-4691-bc4a-cb38a02f6b38,south side of service area
5a9b2331-09e9-4bea-b35d-1556e4a160b2,de6fc613-1631-4719-94ae-e5a240863c7b,d05af3ec-da17-4c9b-bb0b-c36e458f02d7,south side of service area
5a9b2331-09e9-4bea-b35d-1556e4a160b2,de6fc613-1631-4719-94ae-e5a240863c7b,1645cb1e-0b0d-4e97-8ccd-b79569e325ba,south side of service area
5a9b2331-09e9-4bea-b35d-1556e4a160b2,de6fc613-1631-4719-94ae-e5a240863c7b,4875004d-e99d-411e-9cf4-8d9dcec90a26,sw side of service area in compressor room
5a9b2331-09e9-4bea-b35d-1556e4a160b2,de6fc613-1631-4719-94ae-e5a240863c7b,32f1eb83-4ec2-48d4-a47b-8dce6655300a,sw side of service area in compressor room
5a9b2331-09e9-4bea-b35d-1556e4a160b2,de6fc613-1631-4719-94ae-e5a240863c7b,5ecc1fb5-994c-4300-95c9-ab6a67d8f599,sw side of service area in compressor room
