Chemical ID,Chemical Name,CAS Number,No CAS Number?,Alternate ID,Is Ehs?,Pure or Mixture?,Is Solid?,Is Liquid?,Is Gas?,Is Trade Secret?,Density,Density Units,Physical Hazards,Health Hazards,Oregon Hazards,IFC Hazards,No Hazards - Not Reporting?,EHS Form,Needs Review?
8f29dfed-c702-4c5b-b6ae-d2c16c20f69c,BG Air Intake & Valve Cleaner,N/A,TRUE,260,FALSE,MIXTURE,FALSE,TRUE,FALSE,FALSE,0.8618,KILOGRAMS_PER_LITER,FLAMMABLE,ACUTE_TOXICITY|SKIN_IRRITANT|EYE_IRRITANT|SPECIFIC_TARGET_ORGAN_TOXICITY|ASPIRATION_HAZARD,,FLAMMABLE,FALSE,NONE,
da467bf7-b6c0-4195-a9f8-3a02d93f1d06,Master Appliance Ultratane Butane Fuel,,TRUE,"Petroleum Gases, Liquefied",FALSE,MIXTURE,FALSE,FALSE,TRUE,FALSE,0.1554,POUNDS_PER_CUBIC_FOOT,FLAMMABLE|COMPRESSED_GAS,SIMPLE_ASPHYXIANT|SPECIFIC_TARGET_ORGAN_TOXICITY,,FLAMMABLE,FALSE,NONE,
4ebb2f00-5676-45d0-b9d3-f83d72dd9500,Antifreeze/Coolant,,TRUE,1991,FALSE,MIXTURE,FALSE,TRUE,FALSE,FALSE,1.115,KILOGRAMS_PER_LITER,,ACUTE_TOXICITY|REPRODUCTIVE_TOXICITY|SPECIFIC_TARGET_ORGAN_TOXICITY,,,FALSE,NONE,
81fdde31-ddfc-4d33-8464-d78dd16d5fa8,TP-3200,,TRUE,TP-3200-0001,FALSE,MIXTURE,FALSE,TRUE,FALSE,TRUE,0.88653,KILOGRAMS_PER_LITER,,ACUTE_TOXICITY|EYE_IRRITANT,,,FALSE,NONE,
9ac89b52-1f9c-4594-8d83-c4df707287ef,Flammable Gas Mixture: Argon / Helium / Hydrogen / Krypton / Nitrogen / Oxygen,,TRUE,X06HY99C15AC004,FALSE,MIXTURE,FALSE,FALSE,TRUE,FALSE,0.083,POUNDS_PER_CUBIC_FOOT,FLAMMABLE|COMPRESSED_GAS,,,FLAMMABLE,FALSE,NONE,
78454019-521f-40cf-b60c-9842f6c1e475,"Flammable Gas Mixture: 1,3-Butadiene / Acetylene / Carbon Monoxide / Ethane / Ethylene / Hydrogen / Methane / Methyl Acetylene / Nitrogen / Propadiene / Propane / Propylene",,TRUE,X12EY53C80AC000,FALSE,MIXTURE,FALSE,FALSE,TRUE,FALSE,0.07,POUNDS_PER_CUBIC_FOOT,FLAMMABLE|COMPRESSED_GAS,SPECIFIC_TARGET_ORGAN_TOXICITY,,FLAMMABLE,FALSE,NONE,
4f585d04-34f2-49a9-8f66-4572dabb1e84,70 Tough Green,,TRUE,90897070,FALSE,MIXTURE,FALSE,TRUE,FALSE,TRUE,1,KILOGRAMS_PER_LITER,,SKIN_IRRITANT|EYE_IRRITANT,,,FALSE,NONE,
8dfc8d31-4715-4fcb-b15c-293775c7b784,USED OIL,Not Available,TRUE,81451,FALSE,MIXTURE,FALSE,TRUE,FALSE,FALSE,7.3,POUNDS_PER_GALLON,,ASPIRATION_HAZARD|SKIN_IRRITANT|EYE_IRRITANT|CAUSES_RESPIRATORY_OR_SKIN_SENSITIZATION|GERM_CELL_MUTAGENIC|CARCINOGENIC|REPRODUCTIVE_TOXICITY|SPECIFIC_TARGET_ORGAN_TOXICITY,,,FALSE,NONE,
f08aa55a-465a-4557-bb80-630363e95471,FRAM FULL SYN 5W-30 DEXOS1,,TRUE,816153081,FALSE,MIXTURE,FALSE,TRUE,FALSE,TRUE,1,KILOGRAMS_PER_LITER,,,,,TRUE,NONE,
b332f0ed-754e-419a-b55c-536dc80920cb,Valvoline™ Advanced Full Synthetic SAE 0W-16 Motor Oil,64742-54-7,FALSE,887892,FALSE,MIXTURE,FALSE,TRUE,FALSE,TRUE,0.845,KILOGRAMS_PER_LITER,,,,,TRUE,NONE,
dd4cb16b-a155-4ffb-af88-5f77c92cbc91,MOL Hykomol Synt 75W-90 semi-synthetic automotive gear oil,,TRUE,"8AV0-F07R-Y009-6VCY, YQN0-G036-D006-8KH0",FALSE,MIXTURE,FALSE,TRUE,FALSE,FALSE,0.88,KILOGRAMS_PER_LITER,,CAUSES_RESPIRATORY_OR_SKIN_SENSITIZATION,,COMBUSTIBLE,FALSE,NONE,
51e576f9-66ba-4671-9b44-c30bef797499,"Lead-acid Battery, Wet, filled with acid",N/A,TRUE,UN2794,TRUE,MIXTURE,FALSE,TRUE,FALSE,FALSE,0,POUNDS_PER_GALLON,,ACUTE_TOXICITY|SKIN_IRRITANT|EYE_IRRITANT|CARCINOGENIC|GERM_CELL_MUTAGENIC|SPECIFIC_TARGET_ORGAN_TOXICITY,,CORROSIVE,FALSE,NONE,
3d91f535-c50e-4b92-a018-013c590d6aed,Arctic Blast Ice Melter,,TRUE,,FALSE,MIXTURE,TRUE,FALSE,FALSE,FALSE,0,POUNDS_PER_CUBIC_FOOT,CORROSIVE_TO_METAL,ACUTE_TOXICITY|EYE_IRRITANT,,,FALSE,NONE,
4c96bad4-8a8a-437f-b7f4-60df447776fc,Beck/Arnley Prediluted Antifreeze / Coolant EXTENDED LIFE BLUE,,TRUE,252-1501,FALSE,MIXTURE,FALSE,TRUE,FALSE,TRUE,1.07,KILOGRAMS_PER_LITER,CORROSIVE_TO_METAL,ACUTE_TOXICITY|SKIN_IRRITANT|EYE_IRRITANT|CAUSES_RESPIRATORY_OR_SKIN_SENSITIZATION|SPECIFIC_TARGET_ORGAN_TOXICITY,,,FALSE,NONE,
9aa60d8c-076e-4f86-83c7-06198f950f7b,MAG 1 PSF 12/12OZ #813,,TRUE,MAG00813,FALSE,MIXTURE,FALSE,TRUE,FALSE,TRUE,0.86,KILOGRAMS_PER_LITER,,,,,TRUE,NONE,
0923217c-cb92-48cd-88b2-1dfe09512683,LubriGold Full Synthetic Motor Oil,64742-54-7,FALSE,LG-001,FALSE,MIXTURE,FALSE,TRUE,FALSE,TRUE,0.86,KILOGRAMS_PER_LITER,,,,,TRUE,NONE,
cbaa07da-3a98-4d1b-8308-a7681be93319,BG Battery Cleaner & Leak Detector,7732-18-5,FALSE,885,FALSE,MIXTURE,FALSE,TRUE,FALSE,FALSE,1.0108,KILOGRAMS_PER_LITER,FLAMMABLE,,,FLAMMABLE,FALSE,NONE,
