Component ID,Chemical ID,Name,Is EHS?,Component Percentage,CAS Number,No CAS Number?,Weight or Volume?,EHS Form
d49a8c84-c022-5802-8e1a-fe4302c541a8,8f29dfed-c702-4c5b-b6ae-d2c16c20f69c,propan-2-ol,FALSE,50,67-63-0,FALSE,WEIGHT,NONE
64465b92-08b1-53e4-9c5e-2049ee39239b,8f29dfed-c702-4c5b-b6ae-d2c16c20f69c,xylene,FALSE,25,1330-20-7,FALSE,WEIGHT,NONE
d7dabc57-992f-585f-ab94-d5b2da1d67d4,8f29dfed-c702-4c5b-b6ae-d2c16c20f69c,2-butoxyethanol,FALSE,25,111-76-2,FALSE,WEIGHT,NONE
9d5a556d-0bdf-558b-9596-059b93853694,8f29dfed-c702-4c5b-b6ae-d2c16c20f69c,butan-1-ol,FALSE,10,71-36-3,FALSE,WEIGHT,NONE
1f66ef74-989d-54a5-b109-e1f6c76ab618,8f29dfed-c702-4c5b-b6ae-d2c16c20f69c,ethylbenzene,FALSE,10,100-41-4,FALSE,WEIGHT,NONE
f83b056e-f3d1-5e7a-8e7c-cb39110fa2b5,8f29dfed-c702-4c5b-b6ae-d2c16c20f69c,morpholine,FALSE,3,110-91-8,FALSE,WEIGHT,NONE
f8236249-5857-5097-bcc2-7fd48c80cd19,da467bf7-b6c0-4195-a9f8-3a02d93f1d06,Isobutane,FALSE,100,75-28-5,FALSE,VOLUME,NONE
f8a7d123-3b43-5939-97f1-45e41a6fdf7d,da467bf7-b6c0-4195-a9f8-3a02d93f1d06,Propane,FALSE,100,74-98-6,FALSE,VOLUME,NONE
e43c6650-cb3f-5c83-b706-11f7ff9ae9b0,da467bf7-b6c0-4195-a9f8-3a02d93f1d06,Butane,FALSE,100,106-97-8,FALSE,VOLUME,NONE
1634f926-9228-57d8-a8ee-c10d7b83aa5f,4ebb2f00-5676-45d0-b9d3-f83d72dd9500,Ethylene glycol,FALSE,100,107-21-1,FALSE,WEIGHT,NONE
79ea0569-cd6b-53d2-8191-72afa3668095,4ebb2f00-5676-45d0-b9d3-f83d72dd9500,4-tert-Butylbenzoic acid,FALSE,5,98-73-7,FALSE,WEIGHT,NONE
a0ea8aaa-4098-55cc-b5e7-acd96156b0d5,81fdde31-ddfc-4d33-8464-d78dd16d5fa8,Mineral Oil,FALSE,30,,TRUE,WEIGHT,NONE
d0b8ac83-b139-5060-8f9f-9a8510f4cbbb,81fdde31-ddfc-4d33-8464-d78dd16d5fa8,Fluorescent Dye,FALSE,95,,TRUE,WEIGHT,NONE
071f567c-e1b5-5cdd-a48e-96845b4d952d,9ac89b52-1f9c-4594-8d83-c4df707287ef,hydrogen,FALSE,99.999,1333-74-0,FALSE,VOLUME,NONE
bb47d33f-58f0-51fb-b1aa-1282ee026e2e,9ac89b52-1f9c-4594-8d83-c4df707287ef,Argon,FALSE,0.0001,7440-37-1,FALSE,VOLUME,NONE
