Facility ID,Facility Chemical Storage Location ID,Facility Chemical ID,Storage Location ID,Unit,Max Amount,Storage Type,Storage Type Description,Pressure,Temperature
5bf7854b-39a1-4908-bc88-8751d2f532b4,a1286d10-6901-4c22-9f88-54491718a2cf,8f29dfed-c702-4c5b-b6ae-d2c16c20f69c,12492d1d-99ec-4cfe-9cb6-f21c172fc2e1,OUNCES,22,CAN,Parts dept retail pkg,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
5bf7854b-39a1-4908-bc88-8751d2f532b4,5a90beb8-0e03-452a-95c4-0c3a95f36abe,da467bf7-b6c0-4195-a9f8-3a02d93f1d06,76ef9232-ae3b-4fc8-9c7a-8653d8a7e1f7,OUNCES,1000,CAN,Vending,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
5bf7854b-39a1-4908-bc88-8751d2f532b4,f152a93a-8225-48c7-85fa-913106175631,4ebb2f00-5676-45d0-b9d3-f83d72dd9500,4416f520-5384-47ce-8ce5-07cb3cfe6650,GALLONS,1,PLASTIC_BOTTLE,parts,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
5bf7854b-39a1-4908-bc88-8751d2f532b4,f152a93a-8225-48c7-85fa-913106175631,4ebb2f00-5676-45d0-b9d3-f83d72dd9500,09e4d32c-3fea-432e-aa7c-77f520b18e56,GALLONS,1,PLASTIC_BOTTLE,Parts,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
5bf7854b-39a1-4908-bc88-8751d2f532b4,b4c26885-ebe7-43f7-85be-7b510a298efa,81fdde31-ddfc-4d33-8464-d78dd16d5fa8,5ebe7ba6-bcf9-428f-a045-01fda74ff8cf,OUNCES,10,CAN,Vending,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
5bf7854b-39a1-4908-bc88-8751d2f532b4,8ebb5107-3d1a-48a7-a74d-66b6ffd02612,9ac89b52-1f9c-4594-8d83-c4df707287ef,88aad357-bf2a-48d2-bd88-e2d6ef9e7d57,POUNDS,6,CYLINDER,Eastside of shop,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
5bf7854b-39a1-4908-bc88-8751d2f532b4,dbb50a76-fb81-4c53-a3cb-8d97edb1e421,78454019-521f-40cf-b60c-9842f6c1e475,c9121dd9-2e19-4736-8415-3559fa237496,GALLONS,6,CYLINDER,Eastside of shop,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
5bf7854b-39a1-4908-bc88-8751d2f532b4,4bc8abe2-a480-43c0-a99b-9f000a6e105c,4f585d04-34f2-49a9-8f66-4572dabb1e84,0ce44f04-65aa-4142-a142-24461e5d84df,GALLONS,55,STEEL_DRUM,Southeast chemical storage room.,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
5bf7854b-39a1-4908-bc88-8751d2f532b4,258732b0-f703-4289-88b3-639ffe7550e1,8dfc8d31-4715-4fcb-b15c-293775c7b784,58977836-20db-4f21-8ee1-67c543dde8cc,GALLONS,1200,TANK_INSIDE_BUILDING,Southeast chemical storage,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
5bf7854b-39a1-4908-bc88-8751d2f532b4,2df0d712-6a3f-4eb6-86a1-79f6e48e4072,f08aa55a-465a-4557-bb80-630363e95471,632eacd8-1f71-4422-a9f0-b41559397c06,GALLONS,6,BOX,eastside of shop on racks,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
5bf7854b-39a1-4908-bc88-8751d2f532b4,3fa30754-31d6-4fb5-9588-aef2ba8206a0,b332f0ed-754e-419a-b55c-536dc80920cb,165839a2-07bc-4c88-a35e-d9f3f4c29e27,GALLONS,55,STEEL_DRUM,east side of shop,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
5bf7854b-39a1-4908-bc88-8751d2f532b4,f8b5efc1-3237-438c-bfc2-20416c764138,dd4cb16b-a155-4ffb-af88-5f77c92cbc91,5d5cc76d-25e4-4814-92d1-08b88c7a56ad,GALLONS,10,STEEL_DRUM,Eastside shop ,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
5bf7854b-39a1-4908-bc88-8751d2f532b4,6ede8b30-b451-4fe8-b7e7-864d3d8cd169,51e576f9-66ba-4671-9b44-c30bef797499,321f8b8b-d53a-48d8-bafc-5f9da0f70ca3,POUNDS,1,BOX,Receiving room,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
5bf7854b-39a1-4908-bc88-8751d2f532b4,71b2ef51-4ba0-42b2-8fd2-7088ab3e6cb7,3d91f535-c50e-4b92-a018-013c590d6aed,75f567d6-931c-4b6d-b8ed-4c639f762053,POUNDS,40,BAG,receiving bay,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
5bf7854b-39a1-4908-bc88-8751d2f532b4,52c69c74-75f6-442d-9d83-c5d132737dab,4c96bad4-8a8a-437f-b7f4-60df447776fc,27a960d9-d2aa-4247-ab03-4349968fb712,GALLONS,1,PLASTIC_BOTTLE,Parts,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
5bf7854b-39a1-4908-bc88-8751d2f532b4,45616040-bbf8-4953-a1c0-e9ff634d97a2,9aa60d8c-076e-4f86-83c7-06198f950f7b,011b416e-5d19-4fb7-ba13-540c0df4fbc2,OUNCES,10000,PLASTIC_BOTTLE,Parts,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
5bf7854b-39a1-4908-bc88-8751d2f532b4,4d8a816c-e3e7-4c6e-a4cf-a9fc81aa021e,0923217c-cb92-48cd-88b2-1dfe09512683,541a2e67-a61c-43e7-aa45-d8531573ba75,GALLONS,350,STEEL_DRUM,Southeast chemical storage,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
5bf7854b-39a1-4908-bc88-8751d2f532b4,1ee1cdfd-716b-4d66-a220-b6f5a019dc89,cbaa07da-3a98-4d1b-8308-a7681be93319,d417c1ec-117f-4fe0-967a-5ac5ad7d652c,OUNCES,50,PLASTIC_BOTTLE,Parts shelf,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
5bf7854b-39a1-4908-bc88-8751d2f532b4,c8595ebe-7b0e-4da6-a5a0-78762e5f92a0,ab742f24-4cfb-4bf1-b651-968fe83a3911,b719aed4-1bee-4992-a0f4-28af3ba6c6a5,QUARTS,1,PLASTIC_BOTTLE,Parts for resale/pkg,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
5bf7854b-39a1-4908-bc88-8751d2f532b4,09f02187-0c48-4da3-8e7a-12444212a5f9,7a02c522-1ed5-4de0-aa85-ce6ad5e5ca12,66831f79-9c5f-4ddf-8716-b0614cf49da6,POUNDS,30,CYLINDER,Eastside of shop,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
3a293270-b495-40f4-b39d-6515a7debed1,a3c2b77b-cb3f-4167-84a6-b9f4750ed3a5,8f29dfed-c702-4c5b-b6ae-d2c16c20f69c,43687e54-1b21-4999-ab05-04e7e21f115c,OUNCES,7,CAN,On BG Shelf,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
