Facility ID,Storage Location ID,Description
5bf7854b-39a1-4908-bc88-8751d2f532b4,12492d1d-99ec-4cfe-9cb6-f21c172fc2e1,Parts dept retail pkg
5bf7854b-39a1-4908-bc88-8751d2f532b4,76ef9232-ae3b-4fc8-9c7a-8653d8a7e1f7,Vending
5bf7854b-39a1-4908-bc88-8751d2f532b4,4416f520-5384-47ce-8ce5-07cb3cfe6650,parts
5bf7854b-39a1-4908-bc88-8751d2f532b4,09e4d32c-3fea-432e-aa7c-77f520b18e56,Parts
5bf7854b-39a1-4908-bc88-8751d2f532b4,5ebe7ba6-bcf9-428f-a045-01fda74ff8cf,Vending
5bf7854b-39a1-4908-bc88-8751d2f532b4,88aad357-bf2a-48d2-bd88-e2d6ef9e7d57,Eastside of shop
5bf7854b-39a1-4908-bc88-8751d2f532b4,c9121dd9-2e19-4736-8415-3559fa237496,Eastside of shop
5bf7854b-39a1-4908-bc88-8751d2f532b4,0ce44f04-65aa-4142-a142-24461e5d84df,Southeast chemical storage room.
5bf7854b-39a1-4908-bc88-8751d2f532b4,58977836-20db-4f21-8ee1-67c543dde8cc,Southeast chemical storage
5bf7854b-39a1-4908-bc88-8751d2f532b4,632eacd8-1f71-4422-a9f0-b41559397c06,eastside of shop on racks
5bf7854b-39a1-4908-bc88-8751d2f532b4,165839a2-07bc-4c88-a35e-d9f3f4c29e27,east side of shop
5bf7854b-39a1-4908-bc88-8751d2f532b4,5d5cc76d-25e4-4814-92d1-08b88c7a56ad,Eastside shop 
5bf7854b-39a1-4908-bc88-8751d2f532b4,321f8b8b-d53a-48d8-bafc-5f9da0f70ca3,Receiving room
5bf7854b-39a1-4908-bc88-8751d2f532b4,75f567d6-931c-4b6d-b8ed-4c639f762053,receiving bay
5bf7854b-39a1-4908-bc88-8751d2f532b4,27a960d9-d2aa-4247-ab03-4349968fb712,Parts
5bf7854b-39a1-4908-bc88-8751d2f532b4,011b416e-5d19-4fb7-ba13-540c0df4fbc2,Parts
5bf7854b-39a1-4908-bc88-8751d2f532b4,541a2e67-a61c-43e7-aa45-d8531573ba75,Southeast chemical storage
5bf7854b-39a1-4908-bc88-8751d2f532b4,d417c1ec-117f-4fe0-967a-5ac5ad7d652c,Parts shelf
5bf7854b-39a1-4908-bc88-8751d2f532b4,b719aed4-1bee-4992-a0f4-28af3ba6c6a5,Parts for resale/pkg
5bf7854b-39a1-4908-bc88-8751d2f532b4,66831f79-9c5f-4ddf-8716-b0614cf49da6,Eastside of shop
3a293270-b495-40f4-b39d-6515a7debed1,43687e54-1b21-4999-ab05-04e7e21f115c,On BG Shelf
3a293270-b495-40f4-b39d-6515a7debed1,69133c82-e6ae-475c-b591-a2854c1ca07a,on shelf
3a293270-b495-40f4-b39d-6515a7debed1,8961dcdb-f864-40b5-82c2-8a26d54dcef0,Parts department 
3a293270-b495-40f4-b39d-6515a7debed1,70d0d477-a02b-4f28-8df6-6834865a9200,Parts department 
3a293270-b495-40f4-b39d-6515a7debed1,88933815-8278-48e5-9054-42c954270721,Parts department 
3a293270-b495-40f4-b39d-6515a7debed1,a224a6d2-b1a0-4955-a47d-db55760022a4,Parts department 
3a293270-b495-40f4-b39d-6515a7debed1,7183362c-7613-4923-99d8-aa5818484933,Parts department 
3a293270-b495-40f4-b39d-6515a7debed1,de836c0b-07e7-4832-9454-0789f9c2f277,Parts department 
3a293270-b495-40f4-b39d-6515a7debed1,ed1a9ca8-f9a8-4c3e-a9af-7d7e67e2b073,Parts department 
3a293270-b495-40f4-b39d-6515a7debed1,c2f7990f-2236-409e-8d43-14ef0b8d1a67,Parts department 
3a293270-b495-40f4-b39d-6515a7debed1,57bcf613-a07d-4e07-b4e5-9cb473da92ad,Parts department 
3a293270-b495-40f4-b39d-6515a7debed1,b11903aa-73e1-41d7-be51-d0878697b795,Parts department 
3a293270-b495-40f4-b39d-6515a7debed1,8b91aaa5-dd1f-4d2a-a48a-07a1869c3002,Parts department 
3a293270-b495-40f4-b39d-6515a7debed1,985ddb65-e6f8-4f26-982a-3d854250212c,Parts department 
3a293270-b495-40f4-b39d-6515a7debed1,20b2a6c5-b226-44ff-a260-131381e05636,Lower service bay
3a293270-b495-40f4-b39d-6515a7debed1,f62775d1-7e9b-40cd-bf59-d0063e536d27,Parts department 
3a293270-b495-40f4-b39d-6515a7debed1,90a7fd4c-37e3-4a7d-bfc3-5477bc659cae,Parts department 
3a293270-b495-40f4-b39d-6515a7debed1,def97591-1ab4-42d8-907d-f88ac81032d1,Lower service bay
3a293270-b495-40f4-b39d-6515a7debed1,6504b6bb-e482-4712-8ccf-00471095fc89,Parts Department
3a293270-b495-40f4-b39d-6515a7debed1,a9f46968-d1f8-4719-aebc-ac4561d60985,Parts department 
3a293270-b495-40f4-b39d-6515a7debed1,93d9c75e-6f9f-45bc-a6b0-c763aabf72ac,Lower service bay
3a293270-b495-40f4-b39d-6515a7debed1,6c7951cf-de61-4576-80c5-b8c0ffb6ff9d,Parts department 
3a293270-b495-40f4-b39d-6515a7debed1,3d6d6415-8e19-4bc6-b5ef-9065bb6c7972,Parts department 
3a293270-b495-40f4-b39d-6515a7debed1,30cea4dd-4d0f-4c74-8e50-33f208758bc2,have one 30 pound canister  in storage with rest of chemicals
3a293270-b495-40f4-b39d-6515a7debed1,8b432405-1932-4e9c-94e8-cc6b19c1613e,N/A
01b820ce-85fb-4c6f-98e2-5049fa79aed1,4874de35-5d64-48a2-a398-d6c526fba511,Body Shop
01b820ce-85fb-4c6f-98e2-5049fa79aed1,be70759e-b2a5-421d-a383-e11eb877d702,BODY SHOP
01b820ce-85fb-4c6f-98e2-5049fa79aed1,5575e74e-8ac4-4c69-b47f-8d77a279f81e,BODY SHOP
01b820ce-85fb-4c6f-98e2-5049fa79aed1,22d3a836-afdf-44d3-9b15-6c45be770e1c,N/A
01b820ce-85fb-4c6f-98e2-5049fa79aed1,2f09b78f-ee07-40f5-bfbd-45d5be8566a5,N/A
01b820ce-85fb-4c6f-98e2-5049fa79aed1,ae5be4c6-e4cb-4bc8-b37a-80a218f755c2,N/A
01b820ce-85fb-4c6f-98e2-5049fa79aed1,f338efc7-454e-4a4e-91a8-ac5752336641,N/A
01b820ce-85fb-4c6f-98e2-5049fa79aed1,4aa5c9e4-461f-42f8-a85d-30a2da016114,Parts department west wall shelves
b561cf4f-8d1f-4bcd-9cc5-0e0e900cb90e,a3181c7a-7cfe-4ca5-aa6c-8d330b6df0b6,Parts department west wall shelves
b561cf4f-8d1f-4bcd-9cc5-0e0e900cb90e,6d42efdb-4b35-43ee-9b3e-1206d4bf89c4,Parts department west wall shelves
b561cf4f-8d1f-4bcd-9cc5-0e0e900cb90e,31dade14-e898-48c3-a5c2-27c5d6ec837e,Service bay coolant machines 
b561cf4f-8d1f-4bcd-9cc5-0e0e900cb90e,181957e8-3e81-4811-9f29-536203232708,Service bay workstation
