Component ID,Chemical ID,Name,Is EHS?,Component Percentage,CAS Number,No CAS Number?,Weight or Volume?,EHS Form
63002b0e-91ea-45c7-a5a1-d7fd77feb1a7,03a1f46f-7eef-4386-831d-596de684311c,Base oil severely refined,FALSE,100.0,,TRUE,WEIGHT,
170c905e-2d58-4d18-a2a8-4ea2b4d4f7e4,03a1f46f-7eef-4386-831d-596de684311c,Base oil severely refined,FALSE,100.0,,TRUE,WEIGHT,
e0a498ee-8856-42a1-96b4-5788b5c53a3c,61eed175-191a-4036-819f-46bb0ab81046,ALKOXY HETEROCYCLIC ETHER,FALSE,2.5,18760-44-6,FALSE,WEIGHT,
9891ea6a-d82e-44da-b9b4-0f1189d1aadf,61eed175-191a-4036-819f-46bb0ab81046,ALKYL PHOSPHITES,FALSE,1.0,,TRUE,WEIGHT,
2f0d830d-6dc6-4df1-8c2e-36b7ed6c780f,61eed175-191a-4036-819f-46bb0ab81046,"DISTILLATES, HEAVY, C18-50 - BRANCHED, CYCLIC AND LINEAR",FALSE,70.0,848301-69-9,FALSE,WEIGHT,
24d62390-7c99-47ac-a2f3-61fbf5a6ddfc,d5cc0890-8248-4737-b9d5-d10da0f2a20e,ETHYLBENZENE,FALSE,0.1,100-41-4,FALSE,WEIGHT,
31d9477a-44db-460e-8719-b16e2f0fd5cf,f2f56f71-131c-4e0d-8d40-14d38c0c6f0e,"Fuels, diesel, no. 2",FALSE,100.0,68476-34-6,FALSE,VOLUME,
858d1d2e-d9f8-4833-b747-04785ffe6e2c,f2f56f71-131c-4e0d-8d40-14d38c0c6f0e,Biodiesel - Fatty acid methyl esters,FALSE,10.0,67762-38-3,FALSE,VOLUME,
ac683b98-0282-4ca7-9d72-ccf2074cd4c9,f2f56f71-131c-4e0d-8d40-14d38c0c6f0e,"Fuels, diesel, C9-18-alkane branched and linear",FALSE,5.0,1159170-26-9,FALSE,VOLUME,
f7e9eb48-9a39-4caf-bb3a-c6cf474a8e38,f2f56f71-131c-4e0d-8d40-14d38c0c6f0e,n-Nonane,FALSE,3.0,111-84-2,FALSE,VOLUME,
a7d19557-69c4-4c87-a7d2-dfcdcc2230c1,f2f56f71-131c-4e0d-8d40-14d38c0c6f0e,Octane (All isomers),FALSE,2.0,111-65-9,FALSE,VOLUME,
88f5be4f-6bbf-45d6-9387-776744236560,f2f56f71-131c-4e0d-8d40-14d38c0c6f0e,Hexane (Other isomers),FALSE,1.0,96-14-0,FALSE,VOLUME,
32ab78b4-a2d7-4159-88cf-9ee55db4a414,f2f56f71-131c-4e0d-8d40-14d38c0c6f0e,Naphthalene,FALSE,1.0,91-20-3,FALSE,VOLUME,
