Facility Chemical Storage Location ID,Facility Chemical ID,Storage Location ID,Unit,Max Amount,Storage Type,Storage Type Description,Pressure,Pressure Value (if OTHER),Temperature
b46d3a8d-28db-44c2-8750-d6e703b91c25,0a350b8e-4a4f-537a-b917-98586a4ba5cc,0aeede24-bf59-5474-a577-0c92caa9bfb8,GALLONS,3400,ABOVEGROUND_STORAGE_TANK,,AMBIENT_PRESSURE,,AMBIENT_TEMPERATURE
75e1bba5-8588-4e28-b753-34d2d7211478,1cda72fb-c08d-5358-9639-8dd16be1d5ed,54caacb0-8950-5615-bf8f-56107b541872,CUBIC_FEET,145,Cylinder,,AMBIENT_PRESSURE,,AMBIENT_TEMPERATURE
6ba09e11-1b23-4c9d-ba61-69c0ed098400,2f970338-d221-56a6-acd9-292b2694a2a0,07a4c844-8038-58f2-8c4c-30b147db0aad,GALLONS,3,PLASTIC_BOTTLE,,AMBIENT_PRESSURE,,AMBIENT_TEMPERATURE
b9145ff1-9dda-4b8f-b621-f0d75abfb729,1619d52c-ada4-52f1-81c1-c3b94563c4bb,68e4492b-a6c8-5bcc-83ba-c0cf443c7fa6,GALLONS,5,Can,,AMBIENT_PRESSURE,,AMBIENT_TEMPERATURE
140216c0-a777-4a61-9d42-d7cdcf30d1e1,ab96525f-b768-5f3e-b00e-1a966659c1b3,c62c9309-b8a3-55ac-a19e-3f5c952c7b33,GALLONS,500,ABOVEGROUND_STORAGE_TANK,,AMBIENT_PRESSURE,,AMBIENT_TEMPERATURE
37789eb4-da8f-416f-a299-4900346b060d,cf4dd6cf-cf03-5f08-afee-5a789eed4e25,3d80bff8-b397-5198-bb83-84f232662157,GALLONS,2,PLASTIC_BOTTLE,,AMBIENT_PRESSURE,,AMBIENT_TEMPERATURE
2e1783bc-dd64-49bb-b495-f9011b014d53,a546eda7-fbbc-5197-8155-a4eecd3c9238,03a18699-14fa-525d-90d0-724b8bdea68e,GALLONS,31,PLASTIC_BOTTLE,,AMBIENT_PRESSURE,,AMBIENT_TEMPERATURE
917c8c15-68f9-4e86-b805-22853fc80fe9,ef546d1f-408b-5b7d-bf4b-86dcc7820f68,03a18699-14fa-525d-90d0-724b8bdea68e,GALLONS,13,PLASTIC_BOTTLE,,AMBIENT_PRESSURE,,AMBIENT_TEMPERATURE
3fb25272-bc0c-4716-97c0-d5f3b7fe8f62,d807a9f7-399b-5426-984c-ad3a15828c67,03a18699-14fa-525d-90d0-724b8bdea68e,GALLONS,24,PLASTIC_BOTTLE,,AMBIENT_PRESSURE,,AMBIENT_TEMPERATURE
299be410-7d24-4d27-a3ff-a90a6b7833ab,61752d26-5cd5-5206-a5c5-f7c75d78294f,75b8d2c7-bd53-5646-bf8d-8407a730653b,GALLONS,300,ABOVEGROUND_STORAGE_TANK,,AMBIENT_PRESSURE,,AMBIENT_TEMPERATURE
