Facility Chemical ID,Facility ID,Chemical ID,Reporting Year,Max Amount,Max Amount Code,Average Amount,Average Amount Code,Max Amount Largest Container,Unit,Days On Site,Has Confidential Storage Locations?,Always report this chemical even when it is below reporting thresholds
0a350b8e-4a4f-537a-b917-98586a4ba5cc,eee4eeff-59df-4c2a-b32e-4cc2ffd653bc,9d0e4066-42b6-40d8-b59f-c934453dd9cb,2023,2400.0,4,1500.0,4,2400.0,GALLONS,365,False,True
1cda72fb-c08d-5358-9639-8dd16be1d5ed,eee4eeff-59df-4c2a-b32e-4cc2ffd653bc,18ceda4c-75fd-4b7e-b5e0-2122b92db8f0,2023,145.0,2,145.0,2,145.0,CUBIC_FEET,365,False,True
2f970338-d221-56a6-acd9-292b2694a2a0,76dd69a4-aad6-409c-b938-8bd12c99973c,d5cc0890-8248-4737-b9d5-d10da0f2a20e,2023,3.0,1,3.0,1,3.0,GALLONS,365,False,True
1619d52c-ada4-52f1-81c1-c3b94563c4bb,029bd1d0-cece-4db7-9e9f-ad69d9a714b4,9d0e4066-42b6-40d8-b59f-c934453dd9cb,2023,5.0,1,5.0,1,5.0,GALLONS,365,False,True
ab96525f-b768-5f3e-b00e-1a966659c1b3,029bd1d0-cece-4db7-9e9f-ad69d9a714b4,f2f56f71-131c-4e0d-8d40-14d38c0c6f0e,2023,500.0,3,400.0,2,500.0,GALLONS,365,False,True
cf4dd6cf-cf03-5f08-afee-5a789eed4e25,76dd69a4-aad6-409c-b938-8bd12c99973c,3572a26e-f0b5-45a6-9f4b-537080ad01a7,2023,2.0,1,2.0,1,2.0,GALLONS,365,False,True
a546eda7-fbbc-5197-8155-a4eecd3c9238,76dd69a4-aad6-409c-b938-8bd12c99973c,3a62db00-c23f-4f22-afe8-35069713d896,2023,31.0,1,31.0,1,31.0,GALLONS,365,False,True
ef546d1f-408b-5b7d-bf4b-86dcc7820f68,76dd69a4-aad6-409c-b938-8bd12c99973c,78b7d6d9-6c1b-4e8e-a275-0536e6007bc6,2023,13.0,1,13.0,1,13.0,GALLONS,365,False,True
d807a9f7-399b-5426-984c-ad3a15828c67,76dd69a4-aad6-409c-b938-8bd12c99973c,126faa5c-30f8-4324-ab86-b02b68d5186c,2023,25.0,1,25.0,1,24.0,GALLONS,365,False,True
61752d26-5cd5-5206-a5c5-f7c75d78294f,029bd1d0-cece-4db7-9e9f-ad69d9a714b4,f021e49a-0ee3-49fc-8741-2aa702fd7866,2023,300.0,2,100.0,2,300.0,GALLONS,365,False,True
c1505fb6-9b1e-568d-b9ea-e9ee0319a17e,029bd1d0-cece-4db7-9e9f-ad69d9a714b4,18ceda4c-75fd-4b7e-b5e0-2122b92db8f0,2023,80.0,1,80.0,1,80.0,CUBIC_FEET,365,False,True
91ee44d1-8763-5c5e-9e09-05cf0eacff76,eee4eeff-59df-4c2a-b32e-4cc2ffd653bc,9a98a9e3-45a2-4646-ba58-71bca31e7fc1,2023,397.0,2,397.0,2,397.0,CUBIC_FEET,365,False,True
237bcfa6-50a7-57e7-85d0-4709b9ec829d,029bd1d0-cece-4db7-9e9f-ad69d9a714b4,9af4a39b-2220-46a6-9de3-d6a0368505b8,2023,3.0,1,3.0,1,3.0,GALLONS,365,False,True
caa92adb-c122-5c2d-826c-5c8fce24754a,eee4eeff-59df-4c2a-b32e-4cc2ffd653bc,d2788d9e-c2d3-47c9-92b3-c8d8e35d7633,2023,136.0,2,136.0,2,45.0,POUNDS,365,False,True
2efd89b9-be11-51a1-a828-b90871cef683,76dd69a4-aad6-409c-b938-8bd12c99973c,9d0e4066-42b6-40d8-b59f-c934453dd9cb,2023,5.0,1,1.0,1,5.0,GALLONS,365,False,True
a0c99256-79ac-5b11-9d45-ba2a3d5dfae3,76dd69a4-aad6-409c-b938-8bd12c99973c,f2f56f71-131c-4e0d-8d40-14d38c0c6f0e,2023,25.0,1,25.0,1,25.0,GALLONS,365,False,True
61d37155-71ad-5a92-92af-e53c8608b94e,029bd1d0-cece-4db7-9e9f-ad69d9a714b4,3a62db00-c23f-4f22-afe8-35069713d896,2023,2500.0,4,2500.0,4,500.0,GALLONS,365,False,True
d18530e5-b265-56e3-9378-7171253a8a4e,eee4eeff-59df-4c2a-b32e-4cc2ffd653bc,c303144b-3c63-42c9-9432-3d26216980c8,2023,397.0,2,397.0,2,397.0,CUBIC_FEET,365,False,True
12cdc37f-e01c-5fcc-b0d8-eb4489599148,76dd69a4-aad6-409c-b938-8bd12c99973c,f58c4f87-1b9f-4578-8dd7-794ad56adc35,2023,60.0,1,60.0,1,60.0,GALLONS,365,False,True
fec60a91-50f6-52bd-a421-51c9b6fa3209,76dd69a4-aad6-409c-b938-8bd12c99973c,73796a46-adae-47a2-85a3-a8596403a6c0,2023,15.0,1,15.0,1,15.0,GALLONS,365,False,True
1f1f613c-ae43-5a1d-b889-5d42d80dc02a,76dd69a4-aad6-409c-b938-8bd12c99973c,9af4a39b-2220-46a6-9de3-d6a0368505b8,2023,18.0,1,18.0,1,18.0,GALLONS,365,False,True
bf4e7701-ec55-5051-887d-76f48cee80f8,029bd1d0-cece-4db7-9e9f-ad69d9a714b4,d2788d9e-c2d3-47c9-92b3-c8d8e35d7633,2023,0.0078125,1,0.0078125,1,0.0078125,GALLONS,365,False,True
345f63d6-b534-5210-b1de-2ba717e97efb,76dd69a4-aad6-409c-b938-8bd12c99973c,f576ce3e-0cd9-43d3-a760-12004047d3b2,2023,6.0,1,6.0,1,6.0,GALLONS,365,False,True
81e198f4-c078-5f95-b71f-e6bc0fe8a8d9,76dd69a4-aad6-409c-b938-8bd12c99973c,f5e52940-f35e-4e23-843b-539952704202,2023,157.0,2,157.0,2,157.0,GALLONS,365,False,True
1a7dd288-532a-524b-b1dc-fe63f0272eb8,76dd69a4-aad6-409c-b938-8bd12c99973c,b91cb2dc-474a-44ce-93f9-bd1e5bc2a407,2023,15.0,1,15.0,1,15.0,GALLONS,365,False,True
206f8651-b146-5b37-b82f-ca6e488d6188,76dd69a4-aad6-409c-b938-8bd12c99973c,03a1f46f-7eef-4386-831d-596de684311c,2023,8.0,1,8.0,1,8.0,GALLONS,365,False,True
ac7230e0-0059-5894-9933-798ecfa0c308,76dd69a4-aad6-409c-b938-8bd12c99973c,18ceda4c-75fd-4b7e-b5e0-2122b92db8f0,2023,1.0,1,1.0,1,1.0,CUBIC_FEET,365,False,True
8af735a2-27c0-545f-a947-d1d22bcb1ffe,76dd69a4-aad6-409c-b938-8bd12c99973c,8c6f990e-ef39-400b-bf25-05e8ed325445,2023,0.75,1,0.75,1,0.75,GALLONS,365,False,True
b6cc052c-d216-53b4-8577-27d735779b5c,76dd69a4-aad6-409c-b938-8bd12c99973c,d2788d9e-c2d3-47c9-92b3-c8d8e35d7633,2023,50.0,1,50.0,1,50.0,POUNDS,365,False,True
7363f686-0a1c-507d-a1c3-6fff957b911e,76dd69a4-aad6-409c-b938-8bd12c99973c,f021e49a-0ee3-49fc-8741-2aa702fd7866,2023,4.0,1,4.0,1,4.0,GALLONS,365,False,True
