Storage Location ID,Facility ID,Description,CA Map Number,CA Grid Number,OR Inside Outside,OR Storage Building,OR Storage Floor,OR Storage Area,OR Storage Room,OR Storage Quadrant
3d80bff8-b397-5198-bb83-84f232662157,76dd69a4-aad6-409c-b938-8bd12c99973c,"BIN ""OIL"" IN PARTS DEPT",,,,,,,,
0aeede24-bf59-5474-a577-0c92caa9bfb8,eee4eeff-59df-4c2a-b32e-4cc2ffd653bc,Service Department,,,,,,,,
ee24c15d-3c30-508c-994c-feb48bbf19e6,029bd1d0-cece-4db7-9e9f-ad69d9a714b4,stored on torch tank dollie in west side store room,,,,,,,,
68e4492b-a6c8-5bcc-83ba-c0cf443c7fa6,029bd1d0-cece-4db7-9e9f-ad69d9a714b4,In storage room west side of main shop,,,,,,,,
59a036a0-90c5-5ba3-a908-1ec4a045ce4e,76dd69a4-aad6-409c-b938-8bd12c99973c,Parts dept bin 100,,,,,,,,
6e8bf163-a04e-5271-8266-82ec2fd4c744,eee4eeff-59df-4c2a-b32e-4cc2ffd653bc,In 3 onsite forklifts,,,,,,,,
83a8b630-01f9-50bc-826b-03f7e0f17e1c,029bd1d0-cece-4db7-9e9f-ad69d9a714b4,500 gallon tank stored in room west side of main shop facility,,,,,,,,
f797f09a-2f0f-521f-b5cd-9d849a94013d,029bd1d0-cece-4db7-9e9f-ad69d9a714b4,500 gallon tank stored in rear area of quick lane facility,,,,,,,,
feaf3f30-bb44-5944-bacb-9dd0a6d1739a,029bd1d0-cece-4db7-9e9f-ad69d9a714b4,500 gallon tank stored in west side of Truck shop Facility,,,,,,,,
07a4c844-8038-58f2-8c4c-30b147db0aad,76dd69a4-aad6-409c-b938-8bd12c99973c,A100 PARTS DEPT,,,,,,,,
bcdb7460-c95d-55a0-b502-507a78c0ad90,76dd69a4-aad6-409c-b938-8bd12c99973c,FUEL FOR SHOP FORKLIFT,,,,,,,,
571520a8-d101-56c7-a61b-e70269578797,76dd69a4-aad6-409c-b938-8bd12c99973c,BIN A100 IN PARTS DEPT,,,,,,,,
8270bfce-7837-584e-bb87-982a7159248e,76dd69a4-aad6-409c-b938-8bd12c99973c,NORTH WALL OF THE MAIN SHOP,,,,,,,,
19aa6f4c-3477-5e06-9db0-caf40d278dc5,029bd1d0-cece-4db7-9e9f-ad69d9a714b4,stored in parts in bin 100,,,,,,,,
74fd201a-fdf3-547c-ace7-1dad1577895c,029bd1d0-cece-4db7-9e9f-ad69d9a714b4,Case oil stored in parts dept bin 100,,,,,,,,
75b8d2c7-bd53-5646-bf8d-8407a730653b,029bd1d0-cece-4db7-9e9f-ad69d9a714b4,In Rear of service area,,,,,,,,
c62c9309-b8a3-55ac-a19e-3f5c952c7b33,029bd1d0-cece-4db7-9e9f-ad69d9a714b4,North side of Service Department,,,,,,,,
03a18699-14fa-525d-90d0-724b8bdea68e,76dd69a4-aad6-409c-b938-8bd12c99973c,BIN A100 IN PARTS DEPT,,,,,,,,
2d96584e-13f2-5df2-ab40-0620a2ae58a5,76dd69a4-aad6-409c-b938-8bd12c99973c,"BIN ""OIL"" IN PARTS DEPT",,,,,,,,
762ed46c-aac8-5f41-94e0-29e20aa13072,029bd1d0-cece-4db7-9e9f-ad69d9a714b4,Stored east side parts dept. back shelf,,,,,,,,
72f22110-6c6e-52d9-a0a3-71ba61a6c63d,76dd69a4-aad6-409c-b938-8bd12c99973c,Gasoline only kept in approved containment can stored at rear of shop area,,,,,,,,
1f27723e-9dd7-52c8-8e6f-47c017736611,76dd69a4-aad6-409c-b938-8bd12c99973c,EMPTY PALLET IN THE BACK OF THE PARTS DEPT TO THE EAST SIDE OF THE MAIN SHOP,,,,,,,,
54caacb0-8950-5615-bf8f-56107b541872,eee4eeff-59df-4c2a-b32e-4cc2ffd653bc,In shop,,,,,,,,
