Component ID,Chemical ID,Name,Is EHS?,Component Percentage,CAS Number,No CAS Number?,Weight or Volume?,EHS Form
86041606-4cab-44d2-8397-9b74fd494797,4f3b2eb5-fa97-4afc-90c3-3f96279204b5,Carbon Dioxide,False,25.0,124-38-9,False,VOLUME,
7c957f7b-ec67-4e9e-8430-9378a78b172e,4f3b2eb5-fa97-4afc-90c3-3f96279204b5,Argon,False,75.0,7440-37-1,False,VOLUME,
4baaaebd-374b-49d4-b862-cc96099d1ac9,ae38acb4-15a1-4dee-ad99-674402301172,"Lubricating oils, petroleum, C20-50, hydrotreated neutral oil-based",False,60.0,72623-87-1,False,WEIGHT,
12791c5f-c763-46ea-a5dd-15deed7168da,ae38acb4-15a1-4dee-ad99-674402301172,Highly refined mineral oil (C15 - C50),False,40.0,8042-47-5,True,WEIGHT,
fa29e290-6fee-408f-8c31-1a64347dc1cc,ae38acb4-15a1-4dee-ad99-674402301172,"Distillates, hydrotreated light paraffinic",False,30.0,64742-55-8,False,WEIGHT,
2bcec612-e30a-40bd-a654-ddef661d25a8,25f58628-f45d-48a3-a714-3b9c1d9f1eb6,Hydrotreated Light Petroleum Distillates,False,45.0,64742-47-8,False,WEIGHT,
ca9c4672-d2d7-4c56-aa96-9b8352354561,25f58628-f45d-48a3-a714-3b9c1d9f1eb6,2-Butoxyethanol,False,45.0,111-76-2,False,WEIGHT,
8c99e3fa-bfdb-4d73-a79a-48f1764883e0,25f58628-f45d-48a3-a714-3b9c1d9f1eb6,"Benzene, C10-16-Alkyl Derivatives",False,5.0,68648-87-3,False,WEIGHT,
c13f9b85-c806-4158-b6e4-5636f968dbf9,e227cefe-3947-4a37-81d2-aac96d800f3d,Siloxane,False,100.0,PROPRIETARY,True,WEIGHT,
555570d1-1981-4a86-b092-cac1ba74ff72,fbed212d-1ced-4bc9-851b-02658a89c132,Highly refined mineral oil (C15 - C50),False,99.0,8042-47-5,True,WEIGHT,
a15e75b4-e43a-4db9-9ddc-6ac64796df1f,207ddbcf-d9c1-438a-82d2-ccaf95e73114,Triethylene Glycol Monomethyl Ether Borate ester,False,40.0,30989-05-0,False,WEIGHT,
e17c8ec3-8c29-4f52-90ab-566a61dc8ac0,207ddbcf-d9c1-438a-82d2-ccaf95e73114,Triethylene Glycol Monomethyl Ether,False,40.0,112-35-6,False,WEIGHT,
adcb304e-b898-4d25-9dac-da72ab5e74ff,207ddbcf-d9c1-438a-82d2-ccaf95e73114,Triethylene Glycol Monobutyl Ether,False,40.0,143-22-6,False,WEIGHT,
a2068685-a908-454c-b863-53755556578d,207ddbcf-d9c1-438a-82d2-ccaf95e73114,Triethylene Glycol,False,20.0,112-27-6,False,WEIGHT,
fcc9f88f-4715-492c-8358-a97dcb339c52,207ddbcf-d9c1-438a-82d2-ccaf95e73114,Polyethylene Glycol Monomethyl Ether,False,28.0,9004-74-4,False,WEIGHT,
e8c5653b-8f0d-41d7-b082-8d3d67e08870,207ddbcf-d9c1-438a-82d2-ccaf95e73114,Tetraethylene Glycol,False,10.0,112-60-7,False,WEIGHT,
8749bfee-f259-4241-bc98-f1ca0dd50784,207ddbcf-d9c1-438a-82d2-ccaf95e73114,Diethylene Glycol,False,10.0,111-46-6,False,WEIGHT,
abbe34dc-2976-4751-b406-70c920c2d815,207ddbcf-d9c1-438a-82d2-ccaf95e73114,Polyethylene Glycol Monobutyl Ether,False,5.0,9004-77-7,False,WEIGHT,
1ef434e9-2d4f-491a-a8ea-3410516bce86,207ddbcf-d9c1-438a-82d2-ccaf95e73114,Diisopropanolamine,False,5.0,110-97-4,False,WEIGHT,
09163d7e-3f17-4893-9772-51a7ee3d5466,207ddbcf-d9c1-438a-82d2-ccaf95e73114,Diethylene Glycol Monobutyl Ether,False,3.0,112-34-5,False,WEIGHT,
eb10bf27-7580-4cf2-bfcf-9e9e346608ae,207ddbcf-d9c1-438a-82d2-ccaf95e73114,Tetraethylene Glycol Monobutyl Ether,False,3.0,1559-34-8,False,WEIGHT,
d55a8d24-751e-496d-8aae-d7ec0b53e630,207ddbcf-d9c1-438a-82d2-ccaf95e73114,Diethylene Glycol Monomethyl Ether,False,1.0,111-77-3,False,WEIGHT,
ce315145-badf-4a77-a072-ae241d36b053,207ddbcf-d9c1-438a-82d2-ccaf95e73114,"2,6-Di-tert-butyl-p-cresol",False,1.0,128-37-0,False,WEIGHT,
afb31b8a-5c4c-4d9f-8cd6-71feab513038,35dd7569-07f4-4b50-9036-ad5648df37e5,"Distillates (petroleum), hydrotreated heavy paraffinic; Baseoil— unspecified",False,75.0,64742-54-7,False,WEIGHT,
a350fcb1-1bb7-497b-bcc5-cbc345cc0736,35dd7569-07f4-4b50-9036-ad5648df37e5,"Amines, polyethylenepoly-, reaction products with succinic anhydride polyisobutenyl derivs.",False,2.5,84605-20-9,False,WEIGHT,
772a5046-f4f6-41ef-9aec-ba291d264d9f,1b5dcd64-a55c-40f6-8be0-307059992577,ethylene glycol,False,50.0,107-21-1,False,WEIGHT,
a75d8fa4-86a9-45f8-a0a1-efea6129c43e,1b5dcd64-a55c-40f6-8be0-307059992577,water,False,50.0,7732-18-5,False,WEIGHT,
c227c2ad-d240-4280-b437-6d4846ee4fb3,1b5dcd64-a55c-40f6-8be0-307059992577,diethylene glycol,False,3.0,111-46-6,False,WEIGHT,
0a36a38e-c4db-4d62-8516-2b36a6e3a692,1b5dcd64-a55c-40f6-8be0-307059992577,denatonium benzoate,False,0.01,3734-33-6,False,WEIGHT,
ae8c7680-7e3d-4626-bd28-3a724c8204f0,1b5dcd64-a55c-40f6-8be0-307059992577,ethylene glycol,False,50.0,107-21-1,False,WEIGHT,
2439b1ba-7059-4ce9-993c-8aeeb03c1050,1b5dcd64-a55c-40f6-8be0-307059992577,water,False,50.0,7732-18-5,False,WEIGHT,
7247160c-cc42-4d33-a227-8cef93672146,1b5dcd64-a55c-40f6-8be0-307059992577,diethylene glycol,False,3.0,111-46-6,False,WEIGHT,
d2a3210f-0f61-4a01-9b8d-a2c7b9d898d3,1b5dcd64-a55c-40f6-8be0-307059992577,denatonium benzoate,False,0.01,3734-33-6,False,WEIGHT,
7883bccb-f742-4708-9c61-e7ac8e535508,1936c811-91fc-4d83-a410-d532c5f74a7f,Highly refined mineral oil (C15 - C50),False,99.0,8042-47-5,True,WEIGHT,
6d7a53db-3553-4ef3-95a9-341bb7348e42,1936c811-91fc-4d83-a410-d532c5f74a7f,Olefin sulfide,False,5.0,72162-26-6,True,WEIGHT,
62168b04-8e9d-4b72-a575-d2b5ea993ef0,1936c811-91fc-4d83-a410-d532c5f74a7f,"Phosphoric acid ester, amine salt",False,2.5,10361-65-6,True,WEIGHT,
0a4afb38-9c0c-4010-ae08-bdc30fd388f3,1936c811-91fc-4d83-a410-d532c5f74a7f,"Amines, C12-14 tert-alkyl",False,1.0,68955-53-3,False,WEIGHT,
947fd474-7a68-4368-9930-f4ee14621463,1732d325-3968-4088-bbd7-b7798e08abe5,Highly refined mineral oil (C15 - C50),False,99.0,,True,WEIGHT,
939292b3-bf06-4d14-ae43-c8d99b67e26f,a8d21118-aea1-4aac-ab42-438c3ae3c4b6,Ethylene Glycol,False,10.0,107-21-1,False,WEIGHT,
f949a4c8-0ea1-434b-82ac-ac85a0d87bce,096c2a37-33e8-46b6-a681-207adc482663,Highly refined mineral oil (C15 - C50),False,99.0,,True,WEIGHT,
0363cd54-ac0c-4fef-92ed-3e1091fc8549,2781d8e8-0481-4859-bb40-24ab609ddcd5,Triethylene Glycol Monobutyl Ether,False,35.0,143-22-6,False,WEIGHT,
ca0ff2d9-c0fc-427b-8452-07cebe78dcde,2781d8e8-0481-4859-bb40-24ab609ddcd5,Triethylene Glycol Monoethyl Ether,False,20.0,112-50-5,False,WEIGHT,
1b8aa40b-2e9a-4d90-98b1-4280729d79e0,2781d8e8-0481-4859-bb40-24ab609ddcd5,Diethylene glycol,False,20.0,111-46-6,False,WEIGHT,
f47fb17c-e9c1-48e4-bed9-0205cfc55c50,2781d8e8-0481-4859-bb40-24ab609ddcd5,"3,6,9,12-Tetraoxahexadecan-1-ol",False,14.0,1559-34-8,False,WEIGHT,
f2593e00-3fb8-47db-8d67-8296c5caf695,2781d8e8-0481-4859-bb40-24ab609ddcd5,Triethylene Glycol Monomethyl Ether,False,10.0,112-35-6,False,WEIGHT,
cb42960a-b5ec-4b34-b797-ce03b31d6914,2781d8e8-0481-4859-bb40-24ab609ddcd5,Tetraethylene Glycol,False,10.0,112-60-7,False,WEIGHT,
c2a11141-1fdf-4f6a-8eda-92b924ef8afd,2781d8e8-0481-4859-bb40-24ab609ddcd5,Diethylene Glycol Monobutyl Ether,False,8.0,112-34-5,False,WEIGHT,
5ebb6046-ef49-468a-9ffe-c529b1ffb5e2,2781d8e8-0481-4859-bb40-24ab609ddcd5,"3,6,9,12,15,18-Hexaoxaeicosane",False,5.0,23601-39-0,False,WEIGHT,
6edf96b2-4a61-46ef-87af-ec213433c228,2781d8e8-0481-4859-bb40-24ab609ddcd5,Polyethylene Glycol Monomethyl Ether,False,4.0,9004-74-4,False,WEIGHT,
9a618ef9-1fa6-4b75-bbf4-b6a677249f19,2781d8e8-0481-4859-bb40-24ab609ddcd5,Diethylene Glycol Monoethyl Ether,False,2.0,111-90-0,False,WEIGHT,
702c39cc-e2a2-473c-8b21-09827887bd18,2781d8e8-0481-4859-bb40-24ab609ddcd5,Diethylene Glycol Monomethyl Ether,False,1.0,111-77-3,False,WEIGHT,
79baaa73-b14a-4490-a05c-e8a72443dd07,2781d8e8-0481-4859-bb40-24ab609ddcd5,Triethylene Glycol Monobutyl Ether,False,35.0,143-22-6,False,WEIGHT,
e8c8e788-e406-42b2-a300-216c81a1ecd5,2781d8e8-0481-4859-bb40-24ab609ddcd5,Triethylene Glycol Monoethyl Ether,False,20.0,112-50-5,False,WEIGHT,
ed45a625-34df-4333-ba9a-f75a275c9d52,2781d8e8-0481-4859-bb40-24ab609ddcd5,Diethylene glycol,False,20.0,111-46-6,False,WEIGHT,
b2a7be6c-9891-412f-8e33-9ff1fd2b76a3,2781d8e8-0481-4859-bb40-24ab609ddcd5,"3,6,9,12-Tetraoxahexadecan-1-ol",False,14.0,1559-34-8,False,WEIGHT,
9db4f694-426e-4f6e-bcaa-9edc5fa2b578,2781d8e8-0481-4859-bb40-24ab609ddcd5,Triethylene Glycol Monomethyl Ether,False,10.0,112-35-6,False,WEIGHT,
ca45878c-81bf-4869-9de5-8d255014d985,2781d8e8-0481-4859-bb40-24ab609ddcd5,Tetraethylene Glycol,False,10.0,112-60-7,False,WEIGHT,
657af09c-6000-4479-b1c3-0180bea97c9a,2781d8e8-0481-4859-bb40-24ab609ddcd5,Diethylene Glycol Monobutyl Ether,False,8.0,112-34-5,False,WEIGHT,
10926b03-7626-45b1-956c-565dad5f223f,2781d8e8-0481-4859-bb40-24ab609ddcd5,"3,6,9,12,15,18-Hexaoxaeicosane",False,5.0,23601-39-0,False,WEIGHT,
c671689e-0ddd-42ac-9e4d-7c1fc43f8db8,2781d8e8-0481-4859-bb40-24ab609ddcd5,Polyethylene Glycol Monomethyl Ether,False,4.0,9004-74-4,False,WEIGHT,
81e5472a-277d-4dd6-8d83-12ff5a0f1b30,2781d8e8-0481-4859-bb40-24ab609ddcd5,Diethylene Glycol Monoethyl Ether,False,2.0,111-90-0,False,WEIGHT,
