Facility Chemical Regulatory Info ID,Facility ID,Chemical ID,Reporting Year,Key,Value,Extension Type,Jurisdiction
2c2d0a5c-8c4f-46e6-923d-818dbdadf4d2,b66a0187-e901-4d48-8539-4c9270e7180c,45d9f40f-ace3-492a-9cb6-2988f1abc5f3,2023,commonName,Welding cas,EPCRA,STATE_CA
364fb733-6aaa-47c4-940d-70bedb375842,b66a0187-e901-4d48-8539-4c9270e7180c,2781d8e8-0481-4859-bb40-24ab609ddcd5,2023,stateWasteCode,,EPCRA,STATE_CA
bcd72824-13ef-4a51-a2e7-6181d5dbb951,b66a0187-e901-4d48-8539-4c9270e7180c,2781d8e8-0481-4859-bb40-24ab609ddcd5,2023,physicalStateInTransit,,EPCRA,STATE_CA
d1b78a15-ea02-4d7b-bee1-021ede0445f7,b66a0187-e901-4d48-8539-4c9270e7180c,2781d8e8-0481-4859-bb40-24ab609ddcd5,2023,annualWasteAmount,0,EPCRA,STATE_CA
ac4b6337-1d49-404f-b417-2d878efaabde,dcc55b73-0822-47e8-a18a-97561dbf735f,1936c811-91fc-4d83-a410-d532c5f74a7f,2023,physicalStateInTransit,liquid,EPCRA,STATE_CA
6427ec41-5507-418f-bcde-f2208f5bc24d,dcc55b73-0822-47e8-a18a-97561dbf735f,1936c811-91fc-4d83-a410-d532c5f74a7f,2023,annualWasteAmount,0,EPCRA,STATE_CA
31293f76-622c-4426-a589-1d670f0cecfa,dcc55b73-0822-47e8-a18a-97561dbf735f,60070f8a-5ebe-445a-95a7-7a07398cbb7a,2023,daysOnSite,365,EPCRA,STATE_CA
0e52f7e3-3de9-4e82-9ad4-9633b312f1c5,dcc55b73-0822-47e8-a18a-97561dbf735f,60070f8a-5ebe-445a-95a7-7a07398cbb7a,2023,commonName,refrigerant,EPCRA,STATE_CA
dc86605f-3e01-4f7f-b2b5-a98b3e397503,49b18507-9614-424b-8b9f-7b35efbb4ba1,207ddbcf-d9c1-438a-82d2-ccaf95e73114,2023,annualWasteAmount,0,EPCRA,STATE_CA
b7799fcf-55e9-4054-949e-0055550a63d8,49b18507-9614-424b-8b9f-7b35efbb4ba1,c9314fcb-bf89-4aae-8f4b-b835897586f1,2023,daysOnSite,365,EPCRA,STATE_CA
d3c7b3af-cc18-44ed-8f79-0096f91ec0f2,dcc55b73-0822-47e8-a18a-97561dbf735f,ca21cb68-f920-43be-a4fa-878b3daea927,2023,commonName,motor oil,EPCRA,STATE_CA
0d92d667-7ea9-4c36-b7ed-37f548d71659,dcc55b73-0822-47e8-a18a-97561dbf735f,1ea66df5-0671-4ea3-82ec-b38d6f874ddd,2023,annualWasteAmount,0,EPCRA,STATE_CA
863546fc-f102-4fde-a375-23ebd58579ae,dcc55b73-0822-47e8-a18a-97561dbf735f,35dd7569-07f4-4b50-9036-ad5648df37e5,2023,daysOnSite,365,EPCRA,STATE_CA
a119202e-b57e-4d9c-a67e-92d8aee7a6f4,dcc55b73-0822-47e8-a18a-97561dbf735f,35dd7569-07f4-4b50-9036-ad5648df37e5,2023,commonName,waste oil,EPCRA,STATE_CA
973cb208-681f-4cd5-9731-1fa900f47a6a,dcc55b73-0822-47e8-a18a-97561dbf735f,35dd7569-07f4-4b50-9036-ad5648df37e5,2023,curies,,EPCRA,STATE_CA
c8fc5b3f-760a-414d-b6b7-a0eb4359a35c,49b18507-9614-424b-8b9f-7b35efbb4ba1,2781d8e8-0481-4859-bb40-24ab609ddcd5,2023,commonName,brake fluid,EPCRA,STATE_CA
d3c5981e-3673-4eb9-b0ac-0bef833a8cee,49b18507-9614-424b-8b9f-7b35efbb4ba1,2781d8e8-0481-4859-bb40-24ab609ddcd5,2023,curies,,EPCRA,STATE_CA
ff2c8b39-df30-4afe-b375-ee8e17fe4360,49b18507-9614-424b-8b9f-7b35efbb4ba1,2781d8e8-0481-4859-bb40-24ab609ddcd5,2023,radioactive,no,EPCRA,STATE_CA
0e47ff35-c8c0-4bed-899a-53551e59e70f,49b18507-9614-424b-8b9f-7b35efbb4ba1,2781d8e8-0481-4859-bb40-24ab609ddcd5,2023,stateWasteCode,343,EPCRA,STATE_CA
0ef987e0-f205-4bf6-922b-60d4b4d55fce,dcc55b73-0822-47e8-a18a-97561dbf735f,096c2a37-33e8-46b6-a681-207adc482663,2023,physicalStateInTransit,liquid,EPCRA,STATE_CA
