Storage Location ID,Facility ID,Description,CA Map Number,CA Grid Number,OR Inside Outside,OR Storage Building,OR Storage Floor,OR Storage Area,OR Storage Room,OR Storage Quadrant
5b2c6f19-f34c-5345-965a-b8b05764ef4b,b66a0187-e901-4d48-8539-4c9270e7180c,In the South end of the shop - Parts room,,,,,,,,
cd9fda81-740a-5723-81ab-7ee9be5f2fa3,b66a0187-e901-4d48-8539-4c9270e7180c,West side of Metal Shop,,,,,,,,
f11de6c9-44e5-5929-bcb6-e6af03d19a1d,b66a0187-e901-4d48-8539-4c9270e7180c,West Side of Paint Shop,,,,,,,,
48c1934a-f4f7-5b62-a304-e448e84413fb,dcc55b73-0822-47e8-a18a-97561dbf735f,Stored inside Parts Department,,,,,,,,
6cc3bab0-77fd-5726-b2c7-eb7833c05819,49b18507-9614-424b-8b9f-7b35efbb4ba1,Inside workshop,,,,,,,,
4b37039f-a1a8-522a-b0a7-92a241206758,dcc55b73-0822-47e8-a18a-97561dbf735f,West end of Metal Shop,,,,,,,,
711aea1b-ee35-531a-907e-6dff6aec08df,dcc55b73-0822-47e8-a18a-97561dbf735f,south side of storage area,,,,,,,,
036e52bf-7665-5abc-8f6e-7b2991e16e30,dcc55b73-0822-47e8-a18a-97561dbf735f,Parked and Charged on North side of New Car Prep - Overnight,,,,,,,,
28d59b2e-2510-5e65-a54a-a1291ec00452,dcc55b73-0822-47e8-a18a-97561dbf735f,Stored in Parts department,,,,,,,,
4f7ec1a5-418b-5c51-84ef-510dd74640e8,dcc55b73-0822-47e8-a18a-97561dbf735f,Storage area upstairs above parts department,,,,,,,,
2491f68f-1d67-52ae-bb97-178b8655a1e7,dcc55b73-0822-47e8-a18a-97561dbf735f,sw side of service area in compressor room,,,,,,,,
e3802ccb-3247-5f29-8d8c-b3f09cf09d73,dcc55b73-0822-47e8-a18a-97561dbf735f,south side of service area,,,,,,,,
6d71744d-682a-577c-b1d4-5da16e0cfb72,dcc55b73-0822-47e8-a18a-97561dbf735f,SW side of building - in Parking lot,,,,,,,,
81b3444f-cf0b-5b11-ae7f-1b5ce3fa4103,b66a0187-e901-4d48-8539-4c9270e7180c,around shop,,,,,,,,
320e3e28-e894-5d00-b54a-b9f9156ccbdd,dcc55b73-0822-47e8-a18a-97561dbf735f,South side of Service area west of divide,,,,,,,,
fea2b388-72a9-517c-9c30-39f813a6fdc3,49b18507-9614-424b-8b9f-7b35efbb4ba1,Inside shelfs,,,,,,,,
a623f8ee-3d7a-505b-b49f-3bf8d6fb1431,49b18507-9614-424b-8b9f-7b35efbb4ba1,Inside shelf,,,,,,,,
ec387663-9a20-5cae-8cfd-6c8e20f58efd,49b18507-9614-424b-8b9f-7b35efbb4ba1,south side of service area,,,,,,,,
