Tenant ID,Chemical ID,Chemical Name,CAS Number,No CAS Number?,Alternate ID,Is Ehs?,Pure or Mixture?,Is Solid?,Is Liquid?,Is Gas?,Is Trade Secret?,Density,Density Units,Physical Hazards,Health Hazards,Oregon Hazards,IFC Hazards,No Hazards - Not Reporting?,EHS Form,Needs Review?
e8c719a3-a1c8-4aa9-be64-54479fd6c270,0c797d87-17f0-447f-a8b4-70afd6427ab6,Subaru CVT Fluid Lineartronic,,True,1830025,False,MIXTURE,False,True,False,False,0.85,KILOGRAMS_PER_LITER,COMBUSTIBLE_DUST,,,COMBUSTIBLE,False,NONE,
e8c719a3-a1c8-4aa9-be64-54479fd6c270,8f3b3132-0ee4-4d54-b373-b43712769422,Valvoline Professional Series Intake Cleaner,,True,884526,False,MIXTURE,False,True,False,False,0.934,KILOGRAMS_PER_LITER,FLAMMABLE,,,FLAMMABLE,False,NONE,
e8c719a3-a1c8-4aa9-be64-54479fd6c270,3d91f535-c50e-4b92-a018-013c590d6aed,Arctic Blast Ice Melter,,True,,False,MIXTURE,True,False,False,False,,POUNDS_PER_CUBIC_FOOT,CORROSIVE_TO_METAL,ACUTE_TOXICITY|EYE_IRRITANT,,,False,NONE,
e8c719a3-a1c8-4aa9-be64-54479fd6c270,234d3cf8-ea9f-4296-bdb1-258c7b7deb8a,BG EPR ENGINE PERFORMANCE RESTORATION,,True,109M,False,MIXTURE,False,True,False,False,0.88,KILOGRAMS_PER_LITER,FLAMMABLE,SKIN_IRRITANT|ASPIRATION_HAZARD,,,False,NONE,
e8c719a3-a1c8-4aa9-be64-54479fd6c270,ca89d0e9-b8b2-499e-89b0-0fc739db6cbe,BG DOT 4 Brake Fluid,,True,P840-xxxx,False,MIXTURE,False,True,False,False,1.07,KILOGRAMS_PER_LITER,,ACUTE_TOXICITY|EYE_IRRITANT,,,False,NONE,
e8c719a3-a1c8-4aa9-be64-54479fd6c270,a6715aed-39da-40af-85b1-0349ace5138e,BG QUICK CLEAN FOR TRANSMISSIONS,,True,P106-XXXX,False,MIXTURE,False,True,False,False,0.89,KILOGRAMS_PER_LITER,,ASPIRATION_HAZARD,,,False,NONE,
e8c719a3-a1c8-4aa9-be64-54479fd6c270,5c0a9109-2333-4236-b89b-7574ec88fc5e,ALUMINATE,7664-93-9,True,"20741, 20745C, 207455",True,MIXTURE,False,True,False,False,9.32,POUNDS_PER_GALLON,CORROSIVE_TO_METAL,ACUTE_TOXICITY|SKIN_IRRITANT|EYE_IRRITANT,,CORROSIVE,False,NONE,
e8c719a3-a1c8-4aa9-be64-54479fd6c270,9aa60d8c-076e-4f86-83c7-06198f950f7b,MAG 1 PSF 12/12OZ #813,,True,MAG00813,False,MIXTURE,False,True,False,True,0.86,KILOGRAMS_PER_LITER,,,,,True,NONE,
e8c719a3-a1c8-4aa9-be64-54479fd6c270,c5bf5421-b8e6-4949-9ed2-73852cb016c4,"Oxygen, compressed",7782-44-7,False,P-4638,False,PURE,False,False,True,False,1.4289,KILOGRAMS_PER_CUBIC_FOOT,OXIDIZER|COMPRESSED_GAS,,,,False,NONE,
e8c719a3-a1c8-4aa9-be64-54479fd6c270,99408f92-f245-4366-badf-3193864218a7,PENTOSIN CHF 11S,,True,NE,False,MIXTURE,False,True,False,False,0.825,KILOGRAMS_PER_LITER,,SKIN_IRRITANT|EYE_IRRITANT|CAUSES_RESPIRATORY_OR_SKIN_SENSITIZATION|ASPIRATION_HAZARD,,COMBUSTIBLE,False,NONE,
e8c719a3-a1c8-4aa9-be64-54479fd6c270,ca715237-4b95-424d-b21e-865b5c60f848,BG Universal Cooling System Cleaner,,True,P540-xxxx,False,MIXTURE,False,True,False,False,8.87,POUNDS_PER_GALLON,,,,,True,NONE,
e8c719a3-a1c8-4aa9-be64-54479fd6c270,4399814a-d015-4d71-b42c-1a3aac32ff82,MaxLife™ Full Synthetic Multi-Vehicle Automatic Transmission Fluid,,True,VV3246,False,MIXTURE,False,True,False,True,0.844,KILOGRAMS_PER_LITER,FLAMMABLE,,,,False,NONE,
e8c719a3-a1c8-4aa9-be64-54479fd6c270,6befc1a2-cb49-47b7-9072-b1835b72391a,Toyota Long Life Antifreeze/Coolant,,True,00272-1LLAC,False,MIXTURE,False,True,False,True,1.13,KILOGRAMS_PER_LITER,,ACUTE_TOXICITY|SKIN_IRRITANT|EYE_IRRITANT|CAUSES_RESPIRATORY_OR_SKIN_SENSITIZATION|SPECIFIC_TARGET_ORGAN_TOXICITY,,,False,NONE,
e8c719a3-a1c8-4aa9-be64-54479fd6c270,08941d9c-7c06-4827-bf28-24ed477e92ae,BG 540 Universal Cooling System Cleaner,,True,540P,False,MIXTURE,False,True,False,False,1.074,KILOGRAMS_PER_LITER,,,,,True,NONE,
e8c719a3-a1c8-4aa9-be64-54479fd6c270,4c96bad4-8a8a-437f-b7f4-60df447776fc,Beck/Arnley Prediluted Antifreeze / Coolant EXTENDED LIFE BLUE,,True,252-1501,False,MIXTURE,False,True,False,True,1.07,KILOGRAMS_PER_LITER,CORROSIVE_TO_METAL,ACUTE_TOXICITY|SKIN_IRRITANT|EYE_IRRITANT|CAUSES_RESPIRATORY_OR_SKIN_SENSITIZATION|SPECIFIC_TARGET_ORGAN_TOXICITY,,,False,NONE,
e8c719a3-a1c8-4aa9-be64-54479fd6c270,3dc2f76e-0d52-4577-8cad-5a22ade3987f,FANFARO 6712 SM for Subaru 5W-30,,True,49.0.15,False,MIXTURE,False,True,False,False,0.85,KILOGRAMS_PER_LITER,,,,,True,NONE,
e8c719a3-a1c8-4aa9-be64-54479fd6c270,2ecdda9d-c585-43fd-b209-7969711facd6,Acetylene Gas,74-86-2,False,00244563,False,PURE,False,False,True,False,0.0011747,KILOGRAMS_PER_LITER,FLAMMABLE|COMPRESSED_GAS,SIMPLE_ASPHYXIANT,,FLAMMABLE,False,NONE,
e8c719a3-a1c8-4aa9-be64-54479fd6c270,dd4cb16b-a155-4ffb-af88-5f77c92cbc91,MOL Hykomol Synt 75W-90 semi-synthetic automotive gear oil,,True,"8AV0-F07R-Y009-6VCY, YQN0-G036-D006-8KH0",False,MIXTURE,False,True,False,False,0.88,KILOGRAMS_PER_LITER,,CAUSES_RESPIRATORY_OR_SKIN_SENSITIZATION,,COMBUSTIBLE,False,NONE,
e8c719a3-a1c8-4aa9-be64-54479fd6c270,0923217c-cb92-48cd-88b2-1dfe09512683,LubriGold Full Synthetic Motor Oil,64742-54-7,False,LG-001,False,MIXTURE,False,True,False,True,0.86,KILOGRAMS_PER_LITER,,,,,True,NONE,
e8c719a3-a1c8-4aa9-be64-54479fd6c270,c7b40778-d793-442e-896f-ee54b8771696,BG ADVANCED FORMULA MOA®,,True,115M,False,MIXTURE,False,True,False,False,863.0,KILOGRAMS_PER_CUBIC_FOOT,,,,,True,NONE,
e8c719a3-a1c8-4aa9-be64-54479fd6c270,a7d98aba-75f2-426d-917d-cae78190eedc,BG DOT 4 Brake Fluid,,True,P840-xxxx,False,MIXTURE,False,True,False,False,1.07,KILOGRAMS_PER_LITER,,ACUTE_TOXICITY,,,False,NONE,
e8c719a3-a1c8-4aa9-be64-54479fd6c270,dcabb816-d626-4e96-98ae-bf447161ba80,[placeholder - sds failed to parse #2],,,,False,PURE,False,False,False,False,,,,,,,False,,
e8c719a3-a1c8-4aa9-be64-54479fd6c270,3a8675b0-fe8d-486f-a191-ae66c9bc130a,44K® Platinum,64742-48-9,False,PF05,False,MIXTURE,False,True,False,False,0.8677,KILOGRAMS_PER_LITER,FLAMMABLE,SKIN_IRRITANT|ACUTE_TOXICITY|ASPIRATION_HAZARD,,FLAMMABLE,False,NONE,
e8c719a3-a1c8-4aa9-be64-54479fd6c270,32a53778-ad81-471c-b055-e06e07fe1515,"Idemitsu Full Synthetic Engine Oil 0W-20 GF-6, 12x1 Quart",,True,30013012-75000C020,False,MIXTURE,False,True,False,False,0.84,KILOGRAMS_PER_LITER,,,,COMBUSTIBLE,True,NONE,
e8c719a3-a1c8-4aa9-be64-54479fd6c270,81fdde31-ddfc-4d33-8464-d78dd16d5fa8,TP-3200,,True,TP-3200-0001,False,MIXTURE,False,True,False,True,0.88653,KILOGRAMS_PER_LITER,,ACUTE_TOXICITY|EYE_IRRITANT,,,False,NONE,
e8c719a3-a1c8-4aa9-be64-54479fd6c270,fa9e3b0e-3796-42ce-bac0-d7cdc2268c4d,SUBARU AUTOMATIC TRANSMISSION FLUID/POWER STEERING FLUID,,True,"SOA868V9240, SOA868V9241",False,MIXTURE,False,True,False,False,0.86,KILOGRAMS_PER_LITER,COMBUSTIBLE_DUST,SKIN_IRRITANT|EYE_IRRITANT,,COMBUSTIBLE,False,NONE,
