Component ID,Chemical ID,Name,Is EHS?,Component Percentage,CAS Number,No CAS Number?,Weight or Volume?,EHS Form
18bedf47-ca14-4ae9-a362-b9b392c29c84,0c797d87-17f0-447f-a8b4-70afd6427ab6,"Petroleum distillates, hydrotreated heavy paraffinic",False,90.0,64742-54-7,False,WEIGHT,
d9315db3-e99c-467d-bf1a-b3c204318c97,0c797d87-17f0-447f-a8b4-70afd6427ab6,"Petroleum distillates, hydrotreated light paraffinic",False,5.0,64742-55-8,False,WEIGHT,
c2c37f9d-9d2f-4c3a-b64c-1d307caca70d,8f3b3132-0ee4-4d54-b373-b43712769422,"PROPANOIC ACID, PROPYL ESTER",False,50.0,106-36-5,False,WEIGHT,
d36c8c93-a21f-4f4a-876c-aeb3dde625cf,8f3b3132-0ee4-4d54-b373-b43712769422,ETHANOL,False,10.0,64-17-5,False,WEIGHT,
1ac0ea5b-d68e-4f69-b7cf-29339b2d7d03,8f3b3132-0ee4-4d54-b373-b43712769422,"N,N-dimethyl 9-decenamide",False,10.0,1356964-77-6,False,WEIGHT,
e05fd571-ed7b-478f-86bc-fd670a204323,8f3b3132-0ee4-4d54-b373-b43712769422,ETHYL ACETATE,False,10.0,141-78-6,False,WEIGHT,
dac1a484-0f50-4f6b-9ee4-2a2e98644ea7,8f3b3132-0ee4-4d54-b373-b43712769422,ETHOXYLATED ALCOHOL,False,5.0,,True,WEIGHT,
4d8cd7ba-bba5-4c88-bf7e-2a4ea883ed50,8f3b3132-0ee4-4d54-b373-b43712769422,QUATERNARY AMINE COMPOUND,False,5.0,,True,WEIGHT,
a7a54bd3-2a8f-40ce-9f48-88f23ea6ffcf,8f3b3132-0ee4-4d54-b373-b43712769422,GLYCERIN,False,1.5,56-81-5,False,WEIGHT,
c0796c9c-3d2f-480f-9a1f-78ae10b7e55d,3d91f535-c50e-4b92-a018-013c590d6aed,Sodium Chloride,False,99.9,7647-14-5,False,WEIGHT,
5a6f7c91-4a13-4e92-8264-90c61c5a68c9,3d91f535-c50e-4b92-a018-013c590d6aed,Magnesium Chloride,False,5.0,7786-30-3,False,WEIGHT,
71b8b5f5-0439-484e-9ddf-9b5ed19529fb,3d91f535-c50e-4b92-a018-013c590d6aed,Calcium Magnesium Acetate (CMA),False,5.0,76123-46-1,False,WEIGHT,
d1e6f172-85f8-485e-be19-1a9830e82d88,3d91f535-c50e-4b92-a018-013c590d6aed,Potassium Chloride,False,5.0,7447-40-7,False,WEIGHT,
f5a5be6e-07b4-4c8f-8293-3ad48ca34c8e,234d3cf8-ea9f-4296-bdb1-258c7b7deb8a,HYDROTREATED HEAVY PARAFINIC DISTILLATES,False,70.0,64742-54-7,False,WEIGHT,
a6435c0b-5ca1-4226-85ac-0f26922bdbf5,234d3cf8-ea9f-4296-bdb1-258c7b7deb8a,Cyclohexanone,False,30.0,108-94-1,False,WEIGHT,
b89d612f-6c61-4a31-bd23-d72cff9738d4,234d3cf8-ea9f-4296-bdb1-258c7b7deb8a,ETHYLENE GLYCOL MONOPROPYL ETHER,False,20.0,2807-30-9,False,WEIGHT,
9d453b9d-8d27-4aa8-932c-69000fea5f00,234d3cf8-ea9f-4296-bdb1-258c7b7deb8a,4-methylpentan-2-ol,False,10.0,108-11-2,False,WEIGHT,
