Storage Location ID,Facility ID,Description,CA Map Number,CA Grid Number,OR Inside Outside,OR Storage Building,OR Storage Floor,OR Storage Area,OR Storage Room,OR Storage Quadrant
0c5cf97a-4d95-578e-bbb4-3b13b5af9a81,3a293270-b495-40f4-b39d-6515a7debed1,Parts department,,,,,,,,
bda27955-d0b4-5729-b751-1ac425c3a92f,3a293270-b495-40f4-b39d-6515a7debed1,,,,,,,,,
54281227-4050-5904-86de-34b5568ef5b9,6eb9cc89-1aac-4d4f-b08e-7576b684d308,Parts department,,,,,,,,
c7e89e04-3bdc-5b97-bb25-6a882ea4acb8,3a293270-b495-40f4-b39d-6515a7debed1,on shelf,,,,,,,,
0d690a01-8a5f-568c-a97f-703e4926e0de,3a293270-b495-40f4-b39d-6515a7debed1,have one 30 pound canister  in storage with rest of chemicals,,,,,,,,
0d29389c-38cf-5903-b75d-acaf10a068bf,3a293270-b495-40f4-b39d-6515a7debed1,On BG Shelf,,,,,,,,
cf3e7e63-f74c-5a9f-997f-dd01af85e389,01b820ce-85fb-4c6f-98e2-5049fa79aed1,Body Shop,,,,,,,,
da1455a1-02e1-5279-b9e4-a73a82ddd8c9,6eb9cc89-1aac-4d4f-b08e-7576b684d308,parts back room,,,,,,,,
4d279f0a-c9fc-5175-8bdd-358d71766e57,6eb9cc89-1aac-4d4f-b08e-7576b684d308,the south-east side of the building top shelf unit,,,,,,,,
fa0795d3-6258-5038-b498-fcb17e8bae93,6eb9cc89-1aac-4d4f-b08e-7576b684d308,In shop,,,,,,,,
73692acf-b3c6-577f-8035-818f310f7a7a,3a293270-b495-40f4-b39d-6515a7debed1,Parts Department,,,,,,,,
ab9b3235-ca5e-5088-a786-2df17c4663e6,5bf7854b-39a1-4908-bc88-8751d2f532b4,Southeast chemical storage room.,,,,,,,,
40fefe90-31d7-5332-8bc4-227eb3b821fd,5bf7854b-39a1-4908-bc88-8751d2f532b4,eastside of shop on racks,,,,,,,,
56256f8e-662d-58a6-b22c-885428bf9ee3,5bf7854b-39a1-4908-bc88-8751d2f532b4,Receiving room,,,,,,,,
94c4e873-fc7d-53a0-b1e9-0ca7d38a18e7,5bf7854b-39a1-4908-bc88-8751d2f532b4,east side of shop,,,,,,,,
8862b6fd-762d-5480-883e-65c2beea8432,6eb9cc89-1aac-4d4f-b08e-7576b684d308,usually ordered when needed for older cars what was at dealership is now gone but usually kept on shelf,,,,,,,,
104a3322-dc33-565b-9689-5e991d37867d,6eb9cc89-1aac-4d4f-b08e-7576b684d308,south east side of shop,,,,,,,,
67dd77d2-92dd-5915-8079-445c33e83ea6,6eb9cc89-1aac-4d4f-b08e-7576b684d308,back of shop,,,,,,,,
57da9fd5-f575-5676-83f7-bcf2865a972e,5bf7854b-39a1-4908-bc88-8751d2f532b4,receiving bay,,,,,,,,
29d9f7c0-ff8d-5ffe-af2d-bf3389b7075e,5bf7854b-39a1-4908-bc88-8751d2f532b4,Southeast chemical storage,,,,,,,,
deac4fbf-7727-5b04-afd7-d048bf33934b,3a293270-b495-40f4-b39d-6515a7debed1,Lower service bay,,,,,,,,
7586c1e1-2aa8-5612-9272-7ee0cb49ff8c,6eb9cc89-1aac-4d4f-b08e-7576b684d308,Service bay mezzanine,,,,,,,,
cc69881e-0c56-5c91-b7f5-250bfc0b496c,6eb9cc89-1aac-4d4f-b08e-7576b684d308,in stock in shelf,,,,,,,,
3fc961ca-1269-5452-a309-e38c25346613,b561cf4f-8d1f-4bcd-9cc5-0e0e900cb90e,Parts Department west wall shelves,,,,,,,,
28e05703-8d27-53a6-8675-81b71afe6d96,6eb9cc89-1aac-4d4f-b08e-7576b684d308,Around the shop,,,,,,,,
dc6c62c7-27bb-5d35-b27f-1b13954f388e,b561cf4f-8d1f-4bcd-9cc5-0e0e900cb90e,Service bay coolant machines,,,,,,,,
96e25da4-09cb-582c-aa53-c9018da52b3e,6eb9cc89-1aac-4d4f-b08e-7576b684d308,Service bay,,,,,,,,
59e9ffc7-7741-5a55-9a49-3eec8a2cce8e,5bf7854b-39a1-4908-bc88-8751d2f532b4,Eastside shop,,,,,,,,
2c01346a-a88e-52c2-bc82-e183e7fc276a,5bf7854b-39a1-4908-bc88-8751d2f532b4,Parts dept retail pkg,,,,,,,,
860c878e-48bc-5ee5-afb0-12fbc1316341,5bf7854b-39a1-4908-bc88-8751d2f532b4,Parts shelf,,,,,,,,
ce3a68db-dbe1-51d1-9145-6dcb1fb5df83,5bf7854b-39a1-4908-bc88-8751d2f532b4,Eastside of shop,,,,,,,,
34f18fca-5c66-51c6-88a2-c670a2c67bdd,6eb9cc89-1aac-4d4f-b08e-7576b684d308,Parts Department Second Floor,,,,,,,,
18758f12-fa6f-5da1-a046-97faa245b90d,6eb9cc89-1aac-4d4f-b08e-7576b684d308,southeast of shop,,,,,,,,
f25fab36-f31d-5812-ab00-81024691c16e,b561cf4f-8d1f-4bcd-9cc5-0e0e900cb90e,Parts department second floor,,,,,,,,
203c91dc-e4b0-5967-a895-c3e20b884b61,5bf7854b-39a1-4908-bc88-8751d2f532b4,parts,,,,,,,,
50798216-788d-57b1-8e62-76835f5b0d9a,5bf7854b-39a1-4908-bc88-8751d2f532b4,Parts,,,,,,,,
a46cab91-8c01-5ee4-bcf9-933a8391964e,5bf7854b-39a1-4908-bc88-8751d2f532b4,Vending,,,,,,,,
3603efc3-3b74-50a5-a1f8-9f5c08b50342,6eb9cc89-1aac-4d4f-b08e-7576b684d308,south east of shop,,,,,,,,
65930774-ed29-5b8a-9ae3-868b0ce09473,6eb9cc89-1aac-4d4f-b08e-7576b684d308,Parts Department,,,,,,,,
531f9e5b-6c01-5d15-be90-c6a83dca8f79,b561cf4f-8d1f-4bcd-9cc5-0e0e900cb90e,Service bay welding/cutting carts,,,,,,,,
925eddf0-c333-534c-ac35-fb15c0c1465d,b561cf4f-8d1f-4bcd-9cc5-0e0e900cb90e,Parts Dept west wall shelves,,,,,,,,
2e811b9c-14c7-5e50-bd5c-4beab9b9f7ee,b561cf4f-8d1f-4bcd-9cc5-0e0e900cb90e,Parts department receiving bay,,,,,,,,
96c3ad8d-c9bb-5559-9b3c-366cdc12cf52,b561cf4f-8d1f-4bcd-9cc5-0e0e900cb90e,Service bay welding cart,,,,,,,,
211b2462-1798-5256-95fe-5efd0c4ca65c,b561cf4f-8d1f-4bcd-9cc5-0e0e900cb90e,on shelf,,,,,,,,
d1109165-8e61-590b-8236-e7ba36364084,b561cf4f-8d1f-4bcd-9cc5-0e0e900cb90e,Service bay workstation,,,,,,,,
a63b36a4-f03a-5192-a5b8-cdb6b7177221,b561cf4f-8d1f-4bcd-9cc5-0e0e900cb90e,south east of shop,,,,,,,,
8c32a930-069c-5eac-915e-50ac1f596a9d,b561cf4f-8d1f-4bcd-9cc5-0e0e900cb90e,Parts department west wall shelves,,,,,,,,
3b91fe12-e94e-5e8b-8a03-38b93e0a17a6,01b820ce-85fb-4c6f-98e2-5049fa79aed1,BODY SHOP,,,,,,,,
76b34731-bae7-5c71-a08f-421ca50d137a,01b820ce-85fb-4c6f-98e2-5049fa79aed1,,,,,,,,,
8d96d174-ee2f-57f5-8598-ea00da74598b,b561cf4f-8d1f-4bcd-9cc5-0e0e900cb90e,Parts department west wall shelves,,,,,,,,
a8ae4043-ce70-5167-9f6d-890fda50c611,6eb9cc89-1aac-4d4f-b08e-7576b684d308,Storage shed,,,,,,,,
