Component ID,Chemical ID,Name,Is EHS?,Component Percentage,CAS Number,No CAS Number?,Weight or Volume?,EHS Form
0d2a2d13-8022-460b-9307-5259178f23a2,98ec8ceb-27b7-4ee3-b97f-310f966c817e,Alkylphenol dodecylphenol,FALSE,0.9,27193-86-8,FALSE,WEIGHT,
556507de-43d3-4742-b4fd-8dad5d341224,98ec8ceb-27b7-4ee3-b97f-310f966c817e,Alkaryl amine bis(nonylphenyl amine),FALSE,3.0,36878-20-3,FALSE,WEIGHT,
bbe9e40f-5542-4ea0-b40d-7aa0f20f17bc,98ec8ceb-27b7-4ee3-b97f-310f966c817e,"Distillates (Fischer-Tropsch), heavy, C18-50-branched, cyclic and linear",FALSE,90.0,848301-69-9,FALSE,WEIGHT,
cd01537c-62a6-4d73-990b-7b7e9b776013,15d2a98f-70b9-4517-ae77-1fc4efa45749,"1-Decene, dimer, hydrogenated",FALSE,81.08,68649-11-6,FALSE,WEIGHT,
84cba276-4501-4482-af01-22033e76d2ed,15d2a98f-70b9-4517-ae77-1fc4efa45749,"Reaction products of 1-decene and 1-dodecene, dimer, hydrogenated",FALSE,81.08,151006-58-5,FALSE,WEIGHT,
3ee13f46-5960-4f52-8d88-ca53566cb2a5,15d2a98f-70b9-4517-ae77-1fc4efa45749,"Distillates (petroleum), hydrotreated middle",FALSE,10.66932,64742-46-7,FALSE,WEIGHT,
e3b248dc-6d14-4364-b665-66a9d0e6aac4,207b2a17-3c5a-4a37-b53a-553226366902,ethylene glycol,FALSE,50.0,107-21-1,FALSE,WEIGHT,
771353c2-92df-418b-8ac4-0008262a9bda,207b2a17-3c5a-4a37-b53a-553226366902,water,FALSE,50.0,7732-18-5,FALSE,WEIGHT,
8181859a-f0ae-4c49-a9f5-d465958501fb,207b2a17-3c5a-4a37-b53a-553226366902,diethylene glycol,FALSE,3.0,111-46-6,FALSE,WEIGHT,
1db40829-498f-4981-ad5d-674140dff7d3,207b2a17-3c5a-4a37-b53a-553226366902,denatonium benzoate,FALSE,0.005,3734-33-6,FALSE,WEIGHT,
527c282a-8c66-4fbf-ae4b-1a946cb89cb5,2cd6b35e-f4bb-437b-bc3e-dbed1ecd5647,ethylene glycol,FALSE,50.0,107-21-1,FALSE,WEIGHT,
005236f1-1fed-43dc-a14b-b22deffd4a75,2cd6b35e-f4bb-437b-bc3e-dbed1ecd5647,water,FALSE,50.0,7732-18-5,FALSE,WEIGHT,
14bb0084-4ef8-4769-9e0d-8ab2d2afab19,2cd6b35e-f4bb-437b-bc3e-dbed1ecd5647,diethylene glycol,FALSE,5.0,111-46-6,FALSE,WEIGHT,
300d797e-1581-4e31-86b8-67b0a059da37,2cd6b35e-f4bb-437b-bc3e-dbed1ecd5647,denatonium benzoate,FALSE,0.005,3734-33-6,FALSE,WEIGHT,
fdca6167-22ca-4d15-ada6-76bf5650e90a,3aae5e42-9652-486f-af57-5140338b0224,ETHYLENE GLYCOL,FALSE,53.0,107-21-1,FALSE,WEIGHT,
901539d1-1064-4727-8127-df4c1d4b11c5,3aae5e42-9652-486f-af57-5140338b0224,"1,2-Benzisothiazolin-3-one",FALSE,6.0,2634-33-5,FALSE,WEIGHT,
86285eb4-6689-4a69-9a8a-7cad46376b00,3aae5e42-9652-486f-af57-5140338b0224,POTASSIUM HYDROXIDE,FALSE,6.0,1310-58-3,FALSE,WEIGHT,
89e94c35-7eba-4498-a14b-1de842de047c,07afe417-069f-4b6e-853d-b98ef275c3a3,"1-DECENE, HOMOPOLYMER HYDROGENATED",FALSE,80.0,68037-01-4,FALSE,WEIGHT,
8cdec561-019e-4960-8321-52317a6df0a3,07afe417-069f-4b6e-853d-b98ef275c3a3,"DISTILLATES, HEAVY, C18-50 - BRANCHED, CYCLIC AND LINEAR",FALSE,20.0,848301-69-9,FALSE,WEIGHT,
515872e7-30fa-4461-920a-d0940dc5a2c7,b9edad54-9065-4a5c-b8c8-cd95323c0427,Deionized Water,FALSE,0.01051,7732-18-5,FALSE,VOLUME,
21a3ae5b-4edb-4c15-b0ef-9dc41296fda3,b9edad54-9065-4a5c-b8c8-cd95323c0427,Sodium Hydroxide 50%,FALSE,0.01051,1310-73-2,FALSE,VOLUME,
bdd69403-668d-48da-8381-d4cb8d5def33,7d0f0a01-9b48-49a1-ad79-566ee2cd0ef3,Olefin Sulfide,FALSE,5.0,,TRUE,WEIGHT,
8c792924-6931-480c-97c9-e722f30d6729,7d0f0a01-9b48-49a1-ad79-566ee2cd0ef3,Phosphoric acid esters/amine salt,FALSE,1.0,,TRUE,WEIGHT,
0a446ae6-e024-4c1f-8914-95942dfd0b91,5fe8bf3b-1c37-43f4-99c6-b47b5eae783d,Olefin Sulfide,FALSE,5.0,,TRUE,WEIGHT,
1a52d60c-5154-48ad-b422-95ae62ee33af,5fe8bf3b-1c37-43f4-99c6-b47b5eae783d,Phosphoric acid esters/amine salt,FALSE,1.0,,TRUE,WEIGHT,
5ab26b4e-9a5c-4155-ba42-7c030c099ed4,4293fb33-e4f2-4016-8d3b-6270b97924f6,Methanol,FALSE,100.0,67-56-1,FALSE,VOLUME,
71cf2f8d-f4f8-4aa1-ae36-e3afbcb61295,4293fb33-e4f2-4016-8d3b-6270b97924f6,Gasoline: low boiling point naphtha - unspecified,FALSE,3.0,86290-81-5,FALSE,VOLUME,
f43beb83-86b4-4b4d-960d-cc01c5e3bf0f,d18aefd3-c95f-4c58-8b48-2d3eaf0ecd9e,"Interchangeable low viscosity base oil (<20,5 cSt @40°C)",FALSE,20.5,Not Assigned,TRUE,WEIGHT,
a9ee105d-d91f-4926-8911-a1caeae027c4,d18aefd3-c95f-4c58-8b48-2d3eaf0ecd9e,Alkaryl amine bis(nonylphenyl amine),FALSE,3.0,36878-20-3,FALSE,WEIGHT,
caf12f8a-cf9f-4d91-aa82-0fba7cb774ad,4b3f0dd6-40bc-458d-9350-e57e371d1d62,"paraffinic distillate, light, solvent-dewaxed (severe)",FALSE,75.0,64742-56-9,FALSE,WEIGHT,
49c3daae-cfef-4c38-8b97-c166c1105264,4b3f0dd6-40bc-458d-9350-e57e371d1d62,"naphthenic distillate, light, hydrotreated (severe)",FALSE,25.0,64742-53-6,FALSE,WEIGHT,
707458b7-ddfa-4fba-a05e-3c73f1de9ef4,4b3f0dd6-40bc-458d-9350-e57e371d1d62,"distillates, petroleum, middle, hydrotreated",FALSE,10.0,64742-46-7,FALSE,WEIGHT,
94d6f3e6-7389-4192-941b-c43a40faa71e,4b3f0dd6-40bc-458d-9350-e57e371d1d62,"zinc O,O-bis(2-ethylhexyl, iso-Bu, iso-Pr) dithiophosphate",FALSE,1.2,85940-28-9,FALSE,WEIGHT,
6f32a247-ab3c-40c4-91e6-05e06acbb275,4b3f0dd6-40bc-458d-9350-e57e371d1d62,"naphthenic distillate, heavy, hydrotreated (severe)",FALSE,3.0,64742-52-5,FALSE,WEIGHT,
4438ab26-57f2-4996-9199-82d671f6e222,4b3f0dd6-40bc-458d-9350-e57e371d1d62,mineral oil,FALSE,3.0,,TRUE,WEIGHT,
f1cf02f0-5f87-48b5-ab78-89835080d5dd,4b3f0dd6-40bc-458d-9350-e57e371d1d62,formaldehyde,TRUE,0.1,50-00-0,FALSE,WEIGHT,
f04c3d20-cbdd-4362-a004-c98406fc15ab,4b3f0dd6-40bc-458d-9350-e57e371d1d62,toluene,FALSE,0.1,108-88-3,FALSE,WEIGHT,
4b550447-b1fc-4583-a3a1-fe180f0ed9b4,8c42d057-c06a-4d80-8448-65f210b35b48,Lead,FALSE,34.0,7439-92-1,FALSE,WEIGHT,
da632eb9-7d91-4847-92df-10c9a990a9f1,8c42d057-c06a-4d80-8448-65f210b35b48,Lead Oxide,FALSE,31.0,1309-60-0,FALSE,WEIGHT,
a08b8032-6694-4ce6-96b2-413e12ed7a01,8c42d057-c06a-4d80-8448-65f210b35b48,Lead Sulfate (Anglesite),FALSE,1.0,7446-14-2,FALSE,WEIGHT,
68b19107-e9dc-4928-bd75-afe067f6f378,8c42d057-c06a-4d80-8448-65f210b35b48,Battery Electrolyte (Sulfuric Acid (35%)),TRUE,34.0,7664-93-9,FALSE,WEIGHT,
de1aadfd-3913-4750-80cc-ec96bdc51efd,0673377f-ed03-4567-b85b-3a92b6fbd822,"Distillates, hydrotreated heavy paraffinic",FALSE,90.0,64742-54-7,FALSE,WEIGHT,
55853c66-e49a-4c3b-94b8-2938e6f3791b,0673377f-ed03-4567-b85b-3a92b6fbd822,Highly refined mineral oil (C15 - C50),FALSE,15.0,Mixture,TRUE,WEIGHT,
182921b5-1d19-41b3-b68a-9609448cf26c,153ced20-8caa-4057-8965-d390abf0b356,"1-DECENE, HOMOPOLYMER HYDROGENATED",FALSE,40.0,68037-01-4,FALSE,WEIGHT,
dab3a030-50be-4fed-967f-c1cf208bb458,153ced20-8caa-4057-8965-d390abf0b356,"2-PENTANOL, 4-METHYL-, HYDROGEN PHOSPHORODITHIOATE, ZINC SALT",FALSE,1.0,2215-35-2,FALSE,WEIGHT,
24278623-0ead-4049-837f-5e15dd6a6292,153ced20-8caa-4057-8965-d390abf0b356,"DISTILLATES, HEAVY, C18-50 - BRANCHED, CYCLIC AND LINEAR",FALSE,20.0,848301-69-9,FALSE,WEIGHT,
271b5ec4-1091-4d9f-b3c4-7fe4dfa40f68,153ced20-8caa-4057-8965-d390abf0b356,"PHOSPHORODITHIOIC ACID, MIXED 0,0 BIS (1,3-DIMETHYLBUTYL AND ISO-PR)ESTERS, ZINC SALTS",FALSE,1.0,84605-29-8,FALSE,WEIGHT,
31ca0cc5-540a-412a-b4fe-429a73f14e81,153ced20-8caa-4057-8965-d390abf0b356,SEVERELY HYDROTREATED HEAVY PARAFFINIC DISTILLATE,FALSE,40.0,64742-54-7,FALSE,WEIGHT,
18ff427a-53a7-43b6-9642-4b324c33b694,b94781fd-ed0e-4dbb-a060-c77f40553a22,Synthetic Base Stocks and Additives,FALSE,100.0,,TRUE,VOLUME,
9ddec350-a6b8-4c50-b7bd-0f4d7df24ffe,a3e98a9b-ac01-4500-a9f8-609df76a1c17,Petroleum Hydrocarbon,FALSE,90.0,64741-97-5,FALSE,WEIGHT,
16c4242a-f6b7-47be-8a72-b9bd5a6d9f33,45dd3f3d-39b8-4463-879a-98590fe256f1,PROPANE/ISOBUTANE/N-BUTANE,FALSE,20.0,68476-86-8,FALSE,WEIGHT,
5e778faa-2f78-4ce6-b8df-6a7b394ddebc,45dd3f3d-39b8-4463-879a-98590fe256f1,SODIUM BICARBONATE,FALSE,10.0,144-55-8,FALSE,WEIGHT,
d9ab7820-506a-4939-9eea-137607ce3ae3,45dd3f3d-39b8-4463-879a-98590fe256f1,TRIETHANOLAMINE,FALSE,10.0,102-71-6,FALSE,WEIGHT,
923df922-3042-4bdf-9ee9-1c3d33024b8b,45dd3f3d-39b8-4463-879a-98590fe256f1,ETHYLENE GLYCOL,FALSE,0.01,107-21-1,FALSE,WEIGHT,
7a7fde4f-2b81-4b4d-b25d-348b76c144ed,45dd3f3d-39b8-4463-879a-98590fe256f1,DIETHANOLAMINE,FALSE,0.001,111-42-2,FALSE,WEIGHT,
908a46c0-27bb-4410-8989-4691ed0ea226,45dd3f3d-39b8-4463-879a-98590fe256f1,ETHYLENE OXIDE,FALSE,0.0001,75-21-8,FALSE,WEIGHT,
c489d967-3956-4f31-9f20-f41f62efd76c,45dd3f3d-39b8-4463-879a-98590fe256f1,"1,4-DIOXANE",FALSE,0.0001,123-91-1,FALSE,WEIGHT,
9b05f266-0b14-4bf7-8140-04cd336ff2be,e69c1106-bb9b-411c-9fcc-ba5ba4efaa73,Olefin Sulfide,FALSE,5.0,,TRUE,WEIGHT,
45e667b9-1802-48f9-a5bb-de273524b685,e69c1106-bb9b-411c-9fcc-ba5ba4efaa73,Phosphoric acid esters/amine salt,FALSE,1.0,,TRUE,WEIGHT,
ef095c5e-70bd-4d46-b94e-a8b44fc705b6,1e542e06-d909-4cdc-80db-08fc7c33f679,"Distillates (petroleum), hydrotreated light naphthenic",FALSE,100.0,64742-53-6,FALSE,WEIGHT,
ae82aae0-1512-4e42-99b3-204124e68640,1e542e06-d909-4cdc-80db-08fc7c33f679,"Solvent naphtha (petroleum), heavy arom.",FALSE,5.0,64742-94-5,FALSE,WEIGHT,
0065088c-425e-4732-8bf7-43ba6e59edc2,33c5a060-d68b-4f0d-8dbc-71effca62d43,"Interchangeable low viscosity base oil (<20,5 cSt @40°C)",FALSE,20.5,Not Assigned,TRUE,WEIGHT,
74d3dc2d-2cf8-4aea-97b8-9a8bb8d2ef20,33c5a060-d68b-4f0d-8dbc-71effca62d43,Alkaryl amine bis(nonylphenyl amine),FALSE,3.0,36878-20-3,FALSE,WEIGHT,
83bb0b30-6fca-4eac-a212-6fb444843ad8,bac56512-7522-436d-ad6f-561c1aedba87,Non-toxic solvents with high cleaning properties,FALSE,100.0,,TRUE,VOLUME,
027d786f-5c88-4e00-bac4-c836375f8c4c,17f18c68-f18e-4816-b688-cce9146f600f,ETHYLENE GLYCOL,FALSE,94.0,107-21-1,FALSE,WEIGHT,
565f10ec-4f0b-424b-b1e9-0911c4a4c275,17f18c68-f18e-4816-b688-cce9146f600f,WATER,FALSE,6.0,7732-18-5,FALSE,WEIGHT,
1b9a0500-e5a9-4e0f-8c9b-1bf24911d305,17f18c68-f18e-4816-b688-cce9146f600f,POTASSIUM PHOSPHATE DIBASIC,FALSE,2.0,7758-11-4,FALSE,WEIGHT,
24927f66-ba67-48bc-ba83-b3a02bf9f25b,17f18c68-f18e-4816-b688-cce9146f600f,DIETHYLENE GLYCOL,FALSE,5.0,111-46-6,FALSE,WEIGHT,
aad8ac54-e54e-4d77-bfbf-2b9d517a5b11,17f18c68-f18e-4816-b688-cce9146f600f,Methyl-1H-benzotriazole,FALSE,1.0,29385-43-1,FALSE,WEIGHT,
226281c0-678c-4d9e-a129-83128a80e44b,17f18c68-f18e-4816-b688-cce9146f600f,BUSINESS SECRET(S1),FALSE,1.0,,TRUE,WEIGHT,
3689ef49-77e1-49b0-9a07-87b15cbf0f8c,8299f07d-fe8a-477a-8a9f-c751831e799c,"Distillates (Fischer-Tropsch), heavy, C18-50 – branched, cyclic and linear",FALSE,90.0,848301-69-9,FALSE,WEIGHT,
8c7c53b5-e06e-4467-87eb-ac63f9594c32,8299f07d-fe8a-477a-8a9f-c751831e799c,Alkaryl amine bis(nonylphenyl)amine,FALSE,3.0,36878-20-3,FALSE,WEIGHT,
