Facility Chemical ID,Facility ID,Chemical ID,Reporting Year,Max Amount,Max Amount Code,Average Amount,Average Amount Code,Max Amount Largest Container,Unit,Days On Site,Has Confidential Storage Locations?,Always report this chemical even when it is below reporting thresholds
8c42d057-c06a-4d80-8448-65f210b35b48,bb2138ce-b567-4721-b9dc-cacd5be69285,8c42d057-c06a-4d80-8448-65f210b35b48,2023,40.0,1,40.0,1,40.0,CUBIC_FEET,365,FALSE,TRUE
4293fb33-e4f2-4016-8d3b-6270b97924f6,e4a7984d-efb8-451e-8628-7f17580ba8a6,4293fb33-e4f2-4016-8d3b-6270b97924f6,2023,2000.0,4,1000.0,4,2000.0,GALLONS,365,FALSE,TRUE
18daf51b-44ec-48e3-b40c-92849b0a351d,7a12966d-1451-4bf9-a095-9369483ed803,18daf51b-44ec-48e3-b40c-92849b0a351d,2023,1.0,1,1.0,1,1.0,GALLONS,365,FALSE,TRUE
246b3be6-d588-4435-bff4-9892e6681ee3,7a12966d-1451-4bf9-a095-9369483ed803,246b3be6-d588-4435-bff4-9892e6681ee3,2023,1.25,1,1.25,1,1.25,GALLONS,365,FALSE,TRUE
153ced20-8caa-4057-8965-d390abf0b356,44439b28-57c8-45bd-86ef-b9e024f1e2a2,153ced20-8caa-4057-8965-d390abf0b356,2023,1.0,1,1.0,1,250.0,GALLONS,365,FALSE,TRUE
b24480dd-dac6-422a-9130-767d9770029c,44439b28-57c8-45bd-86ef-b9e024f1e2a2,b24480dd-dac6-422a-9130-767d9770029c,2023,1.0,1,1.0,1,1.0,GALLONS,365,FALSE,TRUE
4b3f0dd6-40bc-458d-9350-e57e371d1d62,44439b28-57c8-45bd-86ef-b9e024f1e2a2,4b3f0dd6-40bc-458d-9350-e57e371d1d62,2023,5.0,1,5.0,1,5.0,GALLONS,365,FALSE,TRUE
d18aefd3-c95f-4c58-8b48-2d3eaf0ecd9e,07ee7c7e-0778-442b-8a3b-345343e3a0d5,d18aefd3-c95f-4c58-8b48-2d3eaf0ecd9e,2023,61.0,1,61.0,1,61.0,GALLONS,365,FALSE,TRUE
15d2a98f-70b9-4517-ae77-1fc4efa45749,07ee7c7e-0778-442b-8a3b-345343e3a0d5,15d2a98f-70b9-4517-ae77-1fc4efa45749,2023,10.0,1,7.5,1,10.0,GALLONS,365,FALSE,TRUE
985d0789-d71a-4b67-9d03-b89c2f071a97,07ee7c7e-0778-442b-8a3b-345343e3a0d5,985d0789-d71a-4b67-9d03-b89c2f071a97,2023,25.0,1,15.0,1,25.0,GALLONS,365,FALSE,TRUE
5bd7c116-b78d-4d48-a327-827127cbdb82,07ee7c7e-0778-442b-8a3b-345343e3a0d5,5bd7c116-b78d-4d48-a327-827127cbdb82,2023,13.0,1,13.0,1,13.0,GALLONS,365,FALSE,TRUE
f2efcd2f-87d0-448d-aa99-ca8d15ec0a5c,07ee7c7e-0778-442b-8a3b-345343e3a0d5,f2efcd2f-87d0-448d-aa99-ca8d15ec0a5c,2023,50.0,1,30.0,1,50.0,GALLONS,365,FALSE,TRUE
