Storage Location ID,Facility ID,Description,CA Map Number,CA Grid Number,OR Inside Outside,OR Storage Building,OR Storage Floor,OR Storage Area,OR Storage Room,OR Storage Quadrant
eddb552e-b2f3-54e1-86ae-87d02a27f1c9,49c6661c-7425-4e9f-934c-5cc50781ff01,Parts Department Storage Rack,,,,,,,,
c8c00c88-b792-5da9-87da-a09d9b1809d2,bb2138ce-b567-4721-b9dc-cacd5be69285,Back Warehouse,,,,,,,,
d37be46a-f48c-590f-a609-93ca35d917f7,e4a7984d-efb8-451e-8628-7f17580ba8a6,,,,,,,,,
f5308140-3f7f-50a2-93af-ec884d373e08,7a12966d-1451-4bf9-a095-9369483ed803,North and South Service Areas,,,,,,,,
d895e0a4-5e1a-5703-95e7-33c23c55c7d6,07ee7c7e-0778-442b-8a3b-345343e3a0d5,Service Storeroom,,,,,,,,
32fbcb1b-9010-5c99-a82d-5d36f2a9eda5,a4a1b0b4-05e8-4145-bbaf-0120bbb6c76b,SOP,,,,,,,,
97acb852-bb57-5c95-a0d3-ab939cfc1f7b,a4a1b0b4-05e8-4145-bbaf-0120bbb6c76b,Bulk,,,,,,,,
493ff4ab-5a1e-5617-b7e2-9e3b8d24e537,a4a1b0b4-05e8-4145-bbaf-0120bbb6c76b,OS2,,,,,,,,
855bb360-b198-53a4-a6da-ecf63db77c8e,a4a1b0b4-05e8-4145-bbaf-0120bbb6c76b,SHED,,,,,,,,
109cb54b-7509-53a2-a3fd-269d2fe49027,44439b28-57c8-45bd-86ef-b9e024f1e2a2,West End of Repair Shop,,,,,,,,
7ac57d93-e5bd-5137-9dcd-3f46b36970ff,44439b28-57c8-45bd-86ef-b9e024f1e2a2,Parts Department Storage Rack,,,,,,,,
be4bbe37-4796-500f-abe4-af9277811ae0,7a12966d-1451-4bf9-a095-9369483ed803,South Service Area,,,,,,,,
5dd3fca2-e13e-58c7-bb44-83f4e3da0635,a4a1b0b4-05e8-4145-bbaf-0120bbb6c76b,BC2,,,,,,,,
16588153-9f50-524f-a842-e6f91fd2f5fe,a4a1b0b4-05e8-4145-bbaf-0120bbb6c76b,53A,,,,,,,,
2f1d47c9-c4f8-545d-ac7c-ce71bdcba7d5,a4a1b0b4-05e8-4145-bbaf-0120bbb6c76b,HOSE1,,,,,,,,
b876e44e-0769-56e8-bc97-3d686c9d4d39,a4a1b0b4-05e8-4145-bbaf-0120bbb6c76b,53D,,,,,,,,
09b7dc2b-a7fe-518f-b41c-7cbbd1e4f4de,a4a1b0b4-05e8-4145-bbaf-0120bbb6c76b,SHED1,,,,,,,,
3fd5533c-5725-5b6e-ac11-872bde15ef42,74f1625b-e4bc-4f7c-963f-064e73e78b14,300,,,,,,,,
ee402f43-f9a8-5ba9-8edf-f1604d8e12c8,a4a1b0b4-05e8-4145-bbaf-0120bbb6c76b,Battery,,,,,,,,
c9490c27-a573-5b01-a813-ff9fae3d9b41,74f1625b-e4bc-4f7c-963f-064e73e78b14,210,,,,,,,,
1100ecd6-c2c8-5b5f-810f-c496e8e868cb,74f1625b-e4bc-4f7c-963f-064e73e78b14,216,,,,,,,,
93c8faff-6692-5cb8-a642-1b98c23320c4,74f1625b-e4bc-4f7c-963f-064e73e78b14,999,,,,,,,,
b92c380a-ec29-5c14-9c2e-f90e7ab0aca3,74f1625b-e4bc-4f7c-963f-064e73e78b14,101,,,,,,,,
edc5d962-c715-570d-b0fc-a3865512ba6b,74f1625b-e4bc-4f7c-963f-064e73e78b14,Shop,,,,,,,,
841768a6-45b8-5cb2-a717-ee6c33efacf9,74f1625b-e4bc-4f7c-963f-064e73e78b14,215,,,,,,,,
92e6219e-dc32-5bab-80ae-950d5cd10c6b,74f1625b-e4bc-4f7c-963f-064e73e78b14,217,,,,,,,,
060c5e6b-8bc5-5206-ab90-6e63a98402da,74f1625b-e4bc-4f7c-963f-064e73e78b14,shop,,,,,,,,
6886801c-32bb-5292-bc1d-fa95713d32b7,7a12966d-1451-4bf9-a095-9369483ed803,North Service Area,,,,,,,,
a2519347-2e65-591c-9ded-b13f1b653ea6,bb2138ce-b567-4721-b9dc-cacd5be69285,Warehouse,,,,,,,,
3abc25d7-adb8-5488-8320-0e5fe1114b47,7a12966d-1451-4bf9-a095-9369483ed803,Service Storeroom,,,,,,,,
