Tenant ID,Chemical ID,Chemical Name,CAS Number,No CAS Number?,Alternate ID,Is Ehs?,Pure or Mixture?,Is Solid?,Is Liquid?,Is Gas?,Is Trade Secret?,Density,Density Units,Physical Hazards,Health Hazards,Oregon Hazards,IFC Hazards,No Hazards - Not Reporting?,EHS Form,Needs Review?
2da28b2c-c6e7-4acc-87ba-63e8770f77ae,90746c49-81fb-496a-bba3-1395a5304cd6,ADVANCED DIESEL TREATMENT (A.D.T.),,TRUE,0145,FALSE,MIXTURE,FALSE,TRUE,FALSE,TRUE,0.84,KILOGRAMS_PER_LITER,FLAMMABLE|COMBUSTIBLE_DUST,ACUTE_TOXICITY|GERM_CELL_MUTAGENIC|CARCINOGENIC|ASPIRATION_HAZARD,,COMBUSTIBLE|TOXIC,FALSE,NONE,
2da28b2c-c6e7-4acc-87ba-63e8770f77ae,05c53001-bdf8-4118-8560-f12e3c7bab8f,BATTERY CLEANER & LEAK DETECTOR,,TRUE,0150,FALSE,MIXTURE,FALSE,TRUE,FALSE,TRUE,1.02,KILOGRAMS_PER_LITER,,SKIN_IRRITANT|EYE_IRRITANT|ACUTE_TOXICITY,,,FALSE,NONE,
2da28b2c-c6e7-4acc-87ba-63e8770f77ae,2b0eae8e-4896-43e6-a1b6-8586ae944d22,BRAKE FLUID-DOT 3-HEAVY DUTY,,TRUE,0600,FALSE,MIXTURE,FALSE,TRUE,FALSE,TRUE,1.03,KILOGRAMS_PER_LITER,FLAMMABLE|COMBUSTIBLE_DUST,ACUTE_TOXICITY|EYE_IRRITANT|REPRODUCTIVE_TOXICITY|SPECIFIC_TARGET_ORGAN_TOXICITY,,COMBUSTIBLE|CORROSIVE,FALSE,SOLUTION,
2da28b2c-c6e7-4acc-87ba-63e8770f77ae,65c5071c-41a4-4699-8ebb-4808c575e657,BRAKE FLUID-DOT 4-PREMIUM PLUS,,TRUE,0601,FALSE,MIXTURE,FALSE,TRUE,FALSE,TRUE,1.06,KILOGRAMS_PER_LITER,FLAMMABLE|COMBUSTIBLE_DUST,ACUTE_TOXICITY|EYE_IRRITANT|REPRODUCTIVE_TOXICITY|SPECIFIC_TARGET_ORGAN_TOXICITY,,COMBUSTIBLE,FALSE,NONE,
2da28b2c-c6e7-4acc-87ba-63e8770f77ae,c93efc1f-91f2-417c-bce7-38a8c370e381,ENGINE-OIL SUPPLEMENT,,TRUE,0151,FALSE,MIXTURE,FALSE,TRUE,FALSE,TRUE,0.86,KILOGRAMS_PER_LITER,,ACUTE_TOXICITY,,,FALSE,NONE,
2da28b2c-c6e7-4acc-87ba-63e8770f77ae,e6bf7c67-ed87-479a-af8c-4ac9e3571d9c,MOTOR-OIL CONDITIONER,MIXTURE,FALSE,0101,FALSE,MIXTURE,FALSE,TRUE,FALSE,TRUE,0.88,KILOGRAMS_PER_LITER,,ACUTE_TOXICITY,,,FALSE,NONE,
2da28b2c-c6e7-4acc-87ba-63e8770f77ae,fb8dc852-19c0-4918-b02f-0b89eacc26a2,MOTOR-OIL SUPPLEMENT,,TRUE,0501,FALSE,MIXTURE,FALSE,TRUE,FALSE,TRUE,1.0,KILOGRAMS_PER_LITER,,ACUTE_TOXICITY|SKIN_IRRITANT|EYE_IRRITANT|HAZARD_NOT_OTHERWISE_CLASSIFIED_HEALTH,,,FALSE,NONE,
2da28b2c-c6e7-4acc-87ba-63e8770f77ae,d4703ea4-6f24-4b6c-8e41-9d51bd4f811b,FUEL-INDUCTION SYSTEM CLEANER,,TRUE,0126,FALSE,MIXTURE,FALSE,TRUE,FALSE,FALSE,0.87,KILOGRAMS_PER_LITER,FLAMMABLE|EXPLOSIVE,ACUTE_TOXICITY|SKIN_IRRITANT|EYE_IRRITANT|GERM_CELL_MUTAGENIC|CARCINOGENIC|REPRODUCTIVE_TOXICITY|SPECIFIC_TARGET_ORGAN_TOXICITY|ASPIRATION_HAZARD,,FLAMMABLE,FALSE,NONE,
2da28b2c-c6e7-4acc-87ba-63e8770f77ae,496cc246-c49c-481a-9a2b-4c54bd92dac8,FUEL-INJECTOR CLEANER,,TRUE,0106,FALSE,MIXTURE,FALSE,TRUE,FALSE,TRUE,0.8,KILOGRAMS_PER_LITER,FLAMMABLE|COMBUSTIBLE_DUST,ACUTE_TOXICITY|GERM_CELL_MUTAGENIC|CARCINOGENIC|ASPIRATION_HAZARD,,COMBUSTIBLE|FLAMMABLE,FALSE,NONE,
2da28b2c-c6e7-4acc-87ba-63e8770f77ae,c19339ee-b534-4e15-8eb0-a66807ecd708,CLASSIC C4 5W-30,,TRUE,084466,FALSE,MIXTURE,FALSE,TRUE,FALSE,FALSE,0.86,KILOGRAMS_PER_LITER,,,,,TRUE,NONE,
2da28b2c-c6e7-4acc-87ba-63e8770f77ae,ee8fda04-686c-4690-b8be-476926955992,CLASSIC C4 5W-30,,TRUE,084466,FALSE,MIXTURE,FALSE,TRUE,FALSE,FALSE,850.0,KILOGRAMS_PER_CUBIC_METER,,SKIN_IRRITANT,,,TRUE,NONE,
2da28b2c-c6e7-4acc-87ba-63e8770f77ae,4fe7a4b9-f97c-4237-8a6f-dae083e59ba5,MOBIL 1 5W-30,,TRUE,"201510101040, 481119-00",FALSE,MIXTURE,FALSE,TRUE,FALSE,FALSE,0.852,KILOGRAMS_PER_LITER,,SKIN_IRRITANT|EYE_IRRITANT,,,FALSE,NONE,
2da28b2c-c6e7-4acc-87ba-63e8770f77ae,0ab3ff21-0243-41c2-864a-8460f4d0d42c,Castrol EDGE 5W-30 M,Varies,TRUE,469579-TH01,FALSE,MIXTURE,FALSE,TRUE,FALSE,FALSE,1000.0,KILOGRAMS_PER_CUBIC_FOOT,,,,,TRUE,NONE,
2da28b2c-c6e7-4acc-87ba-63e8770f77ae,12281d10-3f1f-4242-ac41-6abd3f9412ce,BG DOT 4 Brake Fluid,,TRUE,840,FALSE,MIXTURE,FALSE,TRUE,FALSE,FALSE,1.06,KILOGRAMS_PER_LITER,,ACUTE_TOXICITY|SKIN_IRRITANT|EYE_IRRITANT|SPECIFIC_TARGET_ORGAN_TOXICITY,,,FALSE,NONE,
