Tenant ID,Facility ID,Storage Location ID,Description
5aa8feab-9558-4b1b-963e-051e14c05b3b,0b6c76b1-b078-45fb-a1e0-e2d600331dcc,b526647b-cced-4530-8a1a-3aa4260ebf7f,on shelf in parts
5aa8feab-9558-4b1b-963e-051e14c05b3b,0b6c76b1-b078-45fb-a1e0-e2d600331dcc,4c161ec4-91db-4e2f-a570-0f41118049b4,on shelf in parts
5aa8feab-9558-4b1b-963e-051e14c05b3b,0b6c76b1-b078-45fb-a1e0-e2d600331dcc,94818dc3-8abd-4a8d-a733-7ea850763ffc,shelf in parts department
5aa8feab-9558-4b1b-963e-051e14c05b3b,0b6c76b1-b078-45fb-a1e0-e2d600331dcc,755db476-e352-4a95-8da6-c14e061de4ee,stored on shelf in parts
5aa8feab-9558-4b1b-963e-051e14c05b3b,0b6c76b1-b078-45fb-a1e0-e2d600331dcc,720cb164-bea0-4985-98ec-68d57113defb,in parts on shelf
5aa8feab-9558-4b1b-963e-051e14c05b3b,0b6c76b1-b078-45fb-a1e0-e2d600331dcc,b027dfe9-1edc-4440-9d87-ff592d8ec840,on shelf in parts
5aa8feab-9558-4b1b-963e-051e14c05b3b,0b6c76b1-b078-45fb-a1e0-e2d600331dcc,b3a47d3d-5592-4dda-b7e1-c72189425e5d,in parts
5aa8feab-9558-4b1b-963e-051e14c05b3b,0b6c76b1-b078-45fb-a1e0-e2d600331dcc,2c7e52a2-6c60-4d57-ad8f-b92a1a70570f,on shelf in parts
5aa8feab-9558-4b1b-963e-051e14c05b3b,0b6c76b1-b078-45fb-a1e0-e2d600331dcc,7bfe5f3b-c9f4-4070-aa22-93bf927764d2,in parts on shelf
5aa8feab-9558-4b1b-963e-051e14c05b3b,0b6c76b1-b078-45fb-a1e0-e2d600331dcc,a35cd51b-bd26-41a2-9c42-bb241215183b,Outside Bulk Storage Garage on Northside Vertical cylinder tank
5aa8feab-9558-4b1b-963e-051e14c05b3b,0b6c76b1-b078-45fb-a1e0-e2d600331dcc,3e0988d8-7713-46d3-8cad-8df4e005c162,Bulk Storage Garage on North side 
5aa8feab-9558-4b1b-963e-051e14c05b3b,0b6c76b1-b078-45fb-a1e0-e2d600331dcc,6421a37c-96bb-40f0-9ed7-08b955a81379,Bulk Storage Garage on North side
5aa8feab-9558-4b1b-963e-051e14c05b3b,0b6c76b1-b078-45fb-a1e0-e2d600331dcc,e9b6f4dc-ffc9-42d8-afb3-58f4340ef30c,Outside Bulk Storage contents in Black drum - Need to verify correct SDS
5aa8feab-9558-4b1b-963e-051e14c05b3b,0b6c76b1-b078-45fb-a1e0-e2d600331dcc,f7e2e37d-9581-40f9-9f71-e4f59854c5f9,Parts Storage Metal shelves inside 
5aa8feab-9558-4b1b-963e-051e14c05b3b,0b6c76b1-b078-45fb-a1e0-e2d600331dcc,cbbbf892-bc9d-475c-b124-6fdd9a63c0a5,West side Tool Room
5aa8feab-9558-4b1b-963e-051e14c05b3b,0b6c76b1-b078-45fb-a1e0-e2d600331dcc,3c040094-bb2a-43a6-904d-94d094cd4b97,Stored in Parts Dept. 
5aa8feab-9558-4b1b-963e-051e14c05b3b,0b6c76b1-b078-45fb-a1e0-e2d600331dcc,629ee42e-8b02-459d-8fbb-8ad530a14060,Repair shop -Note they may be switching to VG Products soon
5aa8feab-9558-4b1b-963e-051e14c05b3b,0b6c76b1-b078-45fb-a1e0-e2d600331dcc,56186328-a357-40d5-b0f5-a5045911ba74,Secured on wheel cart in the Employee Lounge near Admin. Two cylinders with caps and one with regulator
5aa8feab-9558-4b1b-963e-051e14c05b3b,0b6c76b1-b078-45fb-a1e0-e2d600331dcc,7bbfbae3-4cad-41f1-9162-ee5da0c604db,New Red Drum in Outside Oil Storage - Need to verify Part # for correct SDS
5aa8feab-9558-4b1b-963e-051e14c05b3b,0b6c76b1-b078-45fb-a1e0-e2d600331dcc,852ed496-d4eb-4d13-b155-26401a4a910d,Outside Oil Storage Branded as Mobile 1 Full Synthetic 0W30
5aa8feab-9558-4b1b-963e-051e14c05b3b,0b6c76b1-b078-45fb-a1e0-e2d600331dcc,ba7432f4-9785-42fc-9be8-13d6808cad03,Four Batteries in the Electric Cart on Showroom Floor
5aa8feab-9558-4b1b-963e-051e14c05b3b,0b6c76b1-b078-45fb-a1e0-e2d600331dcc,ad3693ce-3374-47a8-afdc-ec58c64349e3,32 oz. bottles in service area
5aa8feab-9558-4b1b-963e-051e14c05b3b,0b6c76b1-b078-45fb-a1e0-e2d600331dcc,98273b8e-f462-494e-94f3-594f691f5f13,Cases of 12oz Bottles in Parts and used in the Service Dept.
5aa8feab-9558-4b1b-963e-051e14c05b3b,0b6c76b1-b078-45fb-a1e0-e2d600331dcc,23b9407c-02b8-4b4e-8a3e-e7d65dd1cf62,on shelf in parts
5aa8feab-9558-4b1b-963e-051e14c05b3b,0b6c76b1-b078-45fb-a1e0-e2d600331dcc,70cef3b5-0324-4857-8b32-2034461c3efc,in parts on shelf
5aa8feab-9558-4b1b-963e-051e14c05b3b,0b6c76b1-b078-45fb-a1e0-e2d600331dcc,cb39257e-6059-4407-9b01-6bca3b662a27,on shelf in parts
5aa8feab-9558-4b1b-963e-051e14c05b3b,0b6c76b1-b078-45fb-a1e0-e2d600331dcc,aced1e31-a771-433a-91a1-fdd726653a2c,Need more info  for where this is stored, verify if this is also in the Infiniti storage area.
5aa8feab-9558-4b1b-963e-051e14c05b3b,0b6c76b1-b078-45fb-a1e0-e2d600331dcc,6a83ed3e-98f4-4b14-a62c-1a989d57683d,Parts department on metal shelving
5aa8feab-9558-4b1b-963e-051e14c05b3b,d81be489-4583-47bc-9bf3-18ce259df7cd,8db10f6a-b44b-4c42-88a7-b35e09bffca9,parts on shelf
5aa8feab-9558-4b1b-963e-051e14c05b3b,d81be489-4583-47bc-9bf3-18ce259df7cd,fd31524e-5776-47fa-b1da-c9f7556dec00,on shelf in parts
5aa8feab-9558-4b1b-963e-051e14c05b3b,d81be489-4583-47bc-9bf3-18ce259df7cd,e8e13066-5086-40c3-86b7-c30effe550f2,parts on shelf
5aa8feab-9558-4b1b-963e-051e14c05b3b,d81be489-4583-47bc-9bf3-18ce259df7cd,1f7f08ca-2405-4803-9fbc-a22293d3ac18,parts on shelf
5aa8feab-9558-4b1b-963e-051e14c05b3b,d81be489-4583-47bc-9bf3-18ce259df7cd,5bd4ecf2-32d6-4ad5-afbc-0eb418221345,parts on shelf
5aa8feab-9558-4b1b-963e-051e14c05b3b,d81be489-4583-47bc-9bf3-18ce259df7cd,a320ddff-5a76-4bc2-a2cf-68d4416c0a33,parts on shelf
5aa8feab-9558-4b1b-963e-051e14c05b3b,d81be489-4583-47bc-9bf3-18ce259df7cd,d081847d-c061-4957-85d1-fb48bb25b96b,parts on shelf
5aa8feab-9558-4b1b-963e-051e14c05b3b,d81be489-4583-47bc-9bf3-18ce259df7cd,5c41fe0d-e41a-4117-aba6-4af39e583ed6,parts on shelf
5aa8feab-9558-4b1b-963e-051e14c05b3b,d81be489-4583-47bc-9bf3-18ce259df7cd,49e03cf7-752b-469a-8dad-4b9756c74be2,parts on shelf
5aa8feab-9558-4b1b-963e-051e14c05b3b,d81be489-4583-47bc-9bf3-18ce259df7cd,f6d5e396-63f2-4458-9db1-3a3f5aa84960,Chemical cabinet in service shop, north wall
5aa8feab-9558-4b1b-963e-051e14c05b3b,d81be489-4583-47bc-9bf3-18ce259df7cd,16e39ec5-479a-48ba-bb5f-27c20058c271,Chemical cabinet service bay, north wall
5aa8feab-9558-4b1b-963e-051e14c05b3b,d81be489-4583-47bc-9bf3-18ce259df7cd,2221548b-5cdc-4311-88b9-a13e5f095e69,Chemical cabinet service area north wall
5aa8feab-9558-4b1b-963e-051e14c05b3b,d81be489-4583-47bc-9bf3-18ce259df7cd,62311996-fa15-4298-a15a-aa19d1187e23,Chemical cabinet service area north wall
5aa8feab-9558-4b1b-963e-051e14c05b3b,d81be489-4583-47bc-9bf3-18ce259df7cd,dc77daa6-5321-4ad9-9099-49fa8c1ccb73,Chemical cabinet service area north wall
5aa8feab-9558-4b1b-963e-051e14c05b3b,d81be489-4583-47bc-9bf3-18ce259df7cd,e39aebdd-0450-4e2d-b5aa-415bd52e145b,Chemical cabinet service area north wall
5aa8feab-9558-4b1b-963e-051e14c05b3b,d81be489-4583-47bc-9bf3-18ce259df7cd,fdf8e21c-ebdb-4f0a-99c4-b6c706ba0d62,Chemical cabinet service area north wall
5aa8feab-9558-4b1b-963e-051e14c05b3b,d81be489-4583-47bc-9bf3-18ce259df7cd,f6d186e0-5e1d-43c5-b7f2-b28c49b27ff5,Chemical cabinet service area north wall
5aa8feab-9558-4b1b-963e-051e14c05b3b,d81be489-4583-47bc-9bf3-18ce259df7cd,8911bbbe-536b-4155-a742-eeb3aea35bd3,Chemical cabinet service area north wall
5aa8feab-9558-4b1b-963e-051e14c05b3b,d81be489-4583-47bc-9bf3-18ce259df7cd,d892b0d6-04b2-4173-b2c7-90265038edb1,Service area north wall
5aa8feab-9558-4b1b-963e-051e14c05b3b,d81be489-4583-47bc-9bf3-18ce259df7cd,c8847a07-abd4-4bad-b4ce-f54d83dc39bf,Chemical cabinet service area north wall
5aa8feab-9558-4b1b-963e-051e14c05b3b,d81be489-4583-47bc-9bf3-18ce259df7cd,87e5e30f-508c-4f11-b3ca-59cb27851dda,Chemical cabinet service area north wall
5aa8feab-9558-4b1b-963e-051e14c05b3b,d81be489-4583-47bc-9bf3-18ce259df7cd,3c643f25-fdcc-4af9-a207-49fd4b1a2105,Chemical cabinet service area north wall
