Tenant ID,Chemical ID,Chemical Name,CAS Number,No CAS Number?,Alternate ID,Is Ehs?,Pure or Mixture?,Is Solid?,Is Liquid?,Is Gas?,Is Trade Secret?,Density,Density Units,Physical Hazards,Health Hazards,Oregon Hazards,IFC Hazards,No Hazards - Not Reporting?,EHS Form,Needs Review?
acf4d48d-cb7d-488e-86c8-da5c12349bef,c3efd744-5917-4e8a-b078-a36e75280d61,Toyota Long Life Antifreeze/Coolant,107-21-1,FALSE,00272-1LLAC,TRUE,MIXTURE,FALSE,TRUE,FALSE,TRUE,1.13,KILOGRAMS_PER_LITER,CORROSIVE_TO_METAL,SKIN_IRRITANT|EYE_IRRITANT|CAUSES_RESPIRATORY_OR_SKIN_SENSITIZATION|SPECIFIC_TARGET_ORGAN_TOXICITY,,,FALSE,NONE,
acf4d48d-cb7d-488e-86c8-da5c12349bef,c66a3020-1fd7-44c5-a326-25aa21dacd65,NAPA Orange 50/50 Prediluted Antifreeze and Coolant,,TRUE,,FALSE,MIXTURE,FALSE,TRUE,FALSE,FALSE,1.06,KILOGRAMS_PER_LITER,,ACUTE_TOXICITY|REPRODUCTIVE_TOXICITY|SPECIFIC_TARGET_ORGAN_TOXICITY,,,FALSE,NONE,
acf4d48d-cb7d-488e-86c8-da5c12349bef,10c85505-fa72-4b6d-bd53-4a27671e601e,ACDELCO FULL SYNTHETIC MOTOR OIL 5W-30 - dexos1:GEN2,,TRUE,20201010E0C0,FALSE,MIXTURE,FALSE,TRUE,FALSE,TRUE,0.85,KILOGRAMS_PER_LITER,,,,,TRUE,NONE,
acf4d48d-cb7d-488e-86c8-da5c12349bef,74404669-a4b5-47d0-9da1-c9952c712b20,DURAGARD® 100% Synthetic SAE 0W-20 Motor Oil dexos1® Approved-Gen2,,TRUE,DURDEXOS1-0W20,FALSE,MIXTURE,FALSE,TRUE,FALSE,TRUE,0.85,KILOGRAMS_PER_LITER,,,,,TRUE,NONE,
acf4d48d-cb7d-488e-86c8-da5c12349bef,721e8ba0-b7f2-4b2f-a0f2-09f0853d7bd5,POWERZOL™ ZG6000,,TRUE,"10-3015, 19355198",FALSE,MIXTURE,FALSE,TRUE,FALSE,TRUE,7.36,POUNDS_PER_GALLON,FLAMMABLE,SKIN_IRRITANT|EYE_IRRITANT|CARCINOGENIC|REPRODUCTIVE_TOXICITY|SPECIFIC_TARGET_ORGAN_TOXICITY|ASPIRATION_HAZARD,,FLAMMABLE|CORROSIVE,FALSE,NONE,
acf4d48d-cb7d-488e-86c8-da5c12349bef,56fde5d5-f121-4280-8b72-1d7e9d4216ad,Lucas Synthetic SAE 5W-30 API SN ILSAC GF-5,Not applicable.,TRUE,Not available.,FALSE,MIXTURE,FALSE,TRUE,FALSE,FALSE,0.8718,KILOGRAMS_PER_LITER,,,,,TRUE,NONE,
acf4d48d-cb7d-488e-86c8-da5c12349bef,1ebe6750-af13-46df-a42d-399819628266,TOYOTA SCAQMD Brake Cleaner,,TRUE,00289-SCBRK-D / BJ0729Brake Wash,FALSE,MIXTURE,FALSE,TRUE,FALSE,FALSE,0.8,KILOGRAMS_PER_LITER,FLAMMABLE,ACUTE_TOXICITY|SKIN_IRRITANT|EYE_IRRITANT|ASPIRATION_HAZARD|SPECIFIC_TARGET_ORGAN_TOXICITY,,FLAMMABLE,FALSE,NONE,
acf4d48d-cb7d-488e-86c8-da5c12349bef,74e690ab-a5e5-4d65-a965-b38ddd9d583a,MANNOL Automatic Special ATF WS,,TRUE,,FALSE,MIXTURE,FALSE,TRUE,FALSE,FALSE,0.84,KILOGRAMS_PER_LITER,,,,,TRUE,NONE,
acf4d48d-cb7d-488e-86c8-da5c12349bef,69e6ccbe-4183-45f7-80fd-f3d480b4b754,UNLEADED GASOLINE FOR EXPORT,86290-81-5,FALSE,4316,FALSE,MIXTURE,FALSE,TRUE,FALSE,FALSE,0.8,KILOGRAMS_PER_LITER,FLAMMABLE,ACUTE_TOXICITY|SKIN_IRRITANT|EYE_IRRITANT|CAUSES_RESPIRATORY_OR_SKIN_SENSITIZATION|GERM_CELL_MUTAGENIC|CARCINOGENIC|REPRODUCTIVE_TOXICITY|SPECIFIC_TARGET_ORGAN_TOXICITY,,FLAMMABLE,FALSE,NONE,
acf4d48d-cb7d-488e-86c8-da5c12349bef,7eaf6383-7c9f-4a7e-8d68-c2b5d4f739fe,Compressor Oil,,TRUE,SL22133,FALSE,MIXTURE,FALSE,TRUE,FALSE,TRUE,0.92,KILOGRAMS_PER_LITER,,,,,TRUE,NONE,
