Component ID,Chemical ID,Name,Is EHS?,Component Percentage,CAS Number,No CAS Number?,Weight or Volume?,EHS Form
066d9a39-53e7-5116-ac8a-95f8fd84b534,c3efd744-5917-4e8a-b078-a36e75280d61,Ethylene Glycol,TRUE,95,107-21-1,FALSE,WEIGHT,NONE
6cfc8937-c88d-5a31-ab8e-48e825f2b67f,c3efd744-5917-4e8a-b078-a36e75280d61,Diethylene Glycol,FALSE,5,111-46-6,FALSE,WEIGHT,NONE
3475abef-ca0c-5e2d-ad28-1e050840350d,c3efd744-5917-4e8a-b078-a36e75280d61,"Hydrated inorganic acid, organic acid salts",FALSE,5,,TRUE,WEIGHT,NONE
afebefcd-ddf0-5d61-bafe-ff13935c8482,c3efd744-5917-4e8a-b078-a36e75280d61,Water,FALSE,5,7732-18-5,FALSE,WEIGHT,NONE
978e5e55-6579-56f5-83b0-b9c98b00d14f,c66a3020-1fd7-44c5-a326-25aa21dacd65,ethylene glycol,FALSE,50,107-21-1,FALSE,WEIGHT,NONE
ee8a3d3b-b98b-5347-8db8-baa9e10fd2e0,c66a3020-1fd7-44c5-a326-25aa21dacd65,water,FALSE,50,7732-18-5,FALSE,WEIGHT,NONE
a52edebb-9a57-5dd3-a181-205adcabd189,c66a3020-1fd7-44c5-a326-25aa21dacd65,diethylene glycol,FALSE,3,111-46-6,FALSE,WEIGHT,NONE
13c017e8-effd-55ab-88f1-d480fcc83b24,c66a3020-1fd7-44c5-a326-25aa21dacd65,potassium 2-ethylhexanoate,FALSE,2,3164-85-0,FALSE,WEIGHT,NONE
af878bf9-6687-55ca-ab5f-f860c980bec8,c66a3020-1fd7-44c5-a326-25aa21dacd65,denatonium benzoate,FALSE,0.005,3734-33-6,FALSE,WEIGHT,NONE
3ddc6bb0-81ee-54a9-a807-e9e23697221b,10c85505-fa72-4b6d-bd53-4a27671e601e,"BENZENAMINE, AR-NONYL-N-(NONYL PHENYL)-",FALSE,5,36878-20-3,FALSE,WEIGHT,NONE
3e439c0d-9d74-5b2f-8edc-ac5047c32c49,10c85505-fa72-4b6d-bd53-4a27671e601e,POLYOLEFIN POLYAMINE SUCCINIMIDE,FALSE,5,147880-09-9,FALSE,WEIGHT,NONE
7e32ccbf-7a9d-5d0f-8d7d-8d72c9dfc4aa,10c85505-fa72-4b6d-bd53-4a27671e601e,SEVERELY HYDROTREATED HEAVY PARAFFINIC DISTILLATE,FALSE,70,64742-54-7,FALSE,WEIGHT,NONE
99c08bf7-3467-5049-8475-1d7d18fa8d6e,10c85505-fa72-4b6d-bd53-4a27671e601e,ZINC ALKYLDITHIOPHOSPHATE,FALSE,1,68649-42-3,FALSE,WEIGHT,NONE
4badf1ef-1c74-511f-b2a7-dd9cb45d8422,74404669-a4b5-47d0-9da1-c9952c712b20,"Lubricating oils (petroleum), C20-50, hydrotreated neutral oil-based",FALSE,100,72623-87-1,FALSE,WEIGHT,NONE
b6bf4031-f296-5e2d-918a-df9d39df74c8,74404669-a4b5-47d0-9da1-c9952c712b20,"Petroleum distillates, hydrotreated heavy paraffinic",FALSE,10,64742-54-7,FALSE,WEIGHT,NONE
