Facility ID,Chemical ID,Reporting Year,Max Amount,Average Amount,Max Amount Largest Container,Unit,Days On Site,Has Confidential Storage Locations?,Always report this chemical even when it is below reporting thresholds,Facility Chemical ID
b1c07cd7-c38a-4ace-abca-3c5b77684491,c3efd744-5917-4e8a-b078-a36e75280d61,2023,,30,0,GALLONS,365,FALSE,TRUE,ae22a062-18e2-57a8-9263-18f617fb0865
b1c07cd7-c38a-4ace-abca-3c5b77684491,c66a3020-1fd7-44c5-a326-25aa21dacd65,2023,0,0,0,GALLONS,365,FALSE,TRUE,a5a5036e-c9a2-5599-91a9-50f073e61c23
b1c07cd7-c38a-4ace-abca-3c5b77684491,10c85505-fa72-4b6d-bd53-4a27671e601e,2023,,,0,QUARTS,365,FALSE,TRUE,aa0852b4-9165-5e8f-8be7-f22d5de646ff
b1c07cd7-c38a-4ace-abca-3c5b77684491,b61888ab-87f8-4a78-9a07-aac3480afd96,2023,,,0,QUARTS,365,FALSE,TRUE,a54de1c5-c782-5a67-bd15-96371732ef38
b1c07cd7-c38a-4ace-abca-3c5b77684491,74404669-a4b5-47d0-9da1-c9952c712b20,2023,,,0,QUARTS,365,FALSE,TRUE,7104ffbb-5ec1-5125-8ca5-a97ec6e6c71a
b1c07cd7-c38a-4ace-abca-3c5b77684491,721e8ba0-b7f2-4b2f-a0f2-09f0853d7bd5,2023,128,96,128,OUNCES,365,FALSE,TRUE,ed6175b9-5796-5215-ac80-06221bd73435
b1c07cd7-c38a-4ace-abca-3c5b77684491,56fde5d5-f121-4280-8b72-1d7e9d4216ad,2023,,,0,QUARTS,365,FALSE,TRUE,7d0c0f3d-895f-5e17-a193-97d0848f5067
b1c07cd7-c38a-4ace-abca-3c5b77684491,1ebe6750-af13-46df-a42d-399819628266,2023,120,150,120,GALLONS,365,FALSE,TRUE,3b0205ac-a865-5d5d-b648-39a69ce3379e
b1c07cd7-c38a-4ace-abca-3c5b77684491,74e690ab-a5e5-4d65-a965-b38ddd9d583a,2023,,,0,QUARTS,365,FALSE,TRUE,c9ab5c84-7654-5ac4-b3c8-483c6e6a61f9
b1c07cd7-c38a-4ace-abca-3c5b77684491,69e6ccbe-4183-45f7-80fd-f3d480b4b754,2023,35,10,35,GALLONS,365,FALSE,TRUE,308085fa-36a4-5b74-9961-5384abfbe4e0
b1c07cd7-c38a-4ace-abca-3c5b77684491,7eaf6383-7c9f-4a7e-8d68-c2b5d4f739fe,2023,2,2,2,GALLONS,365,FALSE,TRUE,374f9dcd-ed67-5561-bbaf-24d77eb5f7bb
b1c07cd7-c38a-4ace-abca-3c5b77684491,85d15a05-7544-40f0-b928-6177c44d2482,2023,,65,0,QUARTS,365,FALSE,TRUE,bd0ed990-fb34-54df-a3cf-93b84984d92f
b1c07cd7-c38a-4ace-abca-3c5b77684491,70e01d10-5a77-461b-91a0-dd159002a79c,2023,15,15,15,OUNCES,365,FALSE,TRUE,c813c6fc-83e8-5212-a749-af712ca25edb
b1c07cd7-c38a-4ace-abca-3c5b77684491,0613f9a5-95ef-44fa-9411-8fffc83d8ece,2023,,,0,QUARTS,365,FALSE,TRUE,db79a995-06ae-5e6d-8e64-f29e31cd18fe
b1c07cd7-c38a-4ace-abca-3c5b77684491,b16beaf2-55e4-47e9-a2a0-d15132af2d12,2023,,,0,QUARTS,365,FALSE,TRUE,6b2ec837-7b66-5b3f-8051-8b6dd7cddc00
b1c07cd7-c38a-4ace-abca-3c5b77684491,89521e1c-db91-49cf-b7c5-df060718b675,2023,2,2,2,QUARTS,365,FALSE,TRUE,dcdc67eb-d778-5adf-8c2b-db2f966f165d
b1c07cd7-c38a-4ace-abca-3c5b77684491,94df53b9-0414-4f6c-9586-c77f2d74fdcb,2023,16,16,16,OUNCES,365,FALSE,TRUE,4b8d6263-5401-5848-b443-9e85a2314a99
b1c07cd7-c38a-4ace-abca-3c5b77684491,53e1e898-2919-40bd-9faa-75f20a741d10,2023,288,288,288,OUNCES,365,FALSE,TRUE,a15622ba-0b65-5aa2-b877-ce90d34fcb98
b1c07cd7-c38a-4ace-abca-3c5b77684491,1f803b93-2902-43e4-baab-e31836b88d06,2023,3,3,3,QUARTS,365,FALSE,TRUE,f840eae2-4d51-5aa2-bc6c-a5712c8aefb1
b1c07cd7-c38a-4ace-abca-3c5b77684491,7f4b554e-366f-4445-b95b-9a3043d7c553,2023,,,0,OUNCES,365,FALSE,TRUE,edec59f4-b65c-5564-a55f-468334942ae0
b1c07cd7-c38a-4ace-abca-3c5b77684491,4acf93ba-ac3d-4add-b8e6-e4e750126c1d,2023,6,6,4,OUNCES,365,FALSE,TRUE,15248aa0-f176-534a-b8d5-d9b93b1bce5b
b1c07cd7-c38a-4ace-abca-3c5b77684491,89fe1e37-6138-456b-a491-f0a33fe1d86b,2023,,96,0,GALLONS,365,FALSE,TRUE,ce395cd6-90d1-5bc4-953b-e62fedfcbaff
b1c07cd7-c38a-4ace-abca-3c5b77684491,0537f744-a6d6-42d7-ae29-00322fb0a473,2023,,,0,OUNCES,365,FALSE,TRUE,a620155b-a77b-546f-ad7e-968aede770a2
b1c07cd7-c38a-4ace-abca-3c5b77684491,4e4f5b00-cd2d-4893-997e-dfb24e1862ea,2023,,,0,QUARTS,365,FALSE,TRUE,808e5c1c-2cbf-562e-8179-7b7d26751902
b1c07cd7-c38a-4ace-abca-3c5b77684491,26771274-bcc2-43a3-b71b-bc8eca582915,2023,,,0,OUNCES,365,FALSE,TRUE,135d713d-e386-59c6-b392-42030f0fceee
