Facility Chemical Storage Location ID,Facility Chemical ID,Storage Location ID,Unit,Max Amount,Storage Type,Storage Type Description,Pressure,Temperature
4385ec69-ea52-4247-8ac4-59da72745bfb,ae22a062-18e2-57a8-9263-18f617fb0865,f5602be9-28c0-4a08-80ba-f307e2ece962,GALLONS,0,PLASTIC_BOTTLE,Back corner of parts dept near parts manager's office.,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
5754e3fd-e824-4742-9f45-9f267a4b63e4,a5a5036e-c9a2-5599-91a9-50f073e61c23,57250b0f-0057-4d79-bdd6-ac0d733a79d8,GALLONS,0,PLASTIC_BOTTLE,Grey parts dept cabinet near tire racks.,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
7d93727c-7155-4002-9c05-7c3bc1a2a241,aa0852b4-9165-5e8f-8be7-f22d5de646ff,4b386bf8-022e-4734-8e52-31706396e128,QUARTS,0,PLASTIC_BOTTLE,Back corner of the parts department by the parts manager's office.,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
de46274e-0839-4d38-b5ea-6e997e63d6b1,a54de1c5-c782-5a67-bd15-96371732ef38,9413ee72-2764-444d-b53c-ec53ac64a30e,QUARTS,0,PLASTIC_BOTTLE,Back corner of the parts department by the parts manager's office.,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
7c7c3b84-51f1-42a0-b8e6-45be4e0a21ab,7104ffbb-5ec1-5125-8ca5-a97ec6e6c71a,77d6ed1c-81ff-4c5e-9271-64da7dcb9f27,POUNDS,0,PLASTIC_BOTTLE,Back corner of parts dept near parts manager's office.,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
6b6f3b7b-f275-423c-8093-ffbdae8e6b0f,ed6175b9-5796-5215-ac80-06221bd73435,d856d73d-92b8-4fc6-a830-9b9f959e78ac,OUNCES,128,CAN,Grey parts dept cabinet. ,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
6c8700d5-1204-4004-85d6-2df63afc28f8,7d0c0f3d-895f-5e17-a193-97d0848f5067,97ddfd67-6ca4-4a25-99a1-3f21460929b3,QUARTS,0,PLASTIC_BOTTLE,Back corner of the parts department by the parts manager's office.,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
31309cb9-17a9-4c50-95f5-18ebb6f1eafd,3b0205ac-a865-5d5d-b648-39a69ce3379e,5628c733-adca-466f-befd-31b12cf803bc,GALLONS,120,STEEL_DRUM,Each side of parts dept. ,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
f7d4f3e8-58e8-4a44-922d-7b0a18a1c329,c9ab5c84-7654-5ac4-b3c8-483c6e6a61f9,d0110064-9c61-4305-ac26-62f4bcc9d889,QUARTS,0,PLASTIC_BOTTLE,Parts Dept,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
c13c7915-c4f9-4792-a4c5-35bd59f60261,308085fa-36a4-5b74-9961-5384abfbe4e0,962276a6-c0d1-4769-9492-360d99c083be,GALLONS,35,STEEL_DRUM,Parts dept tool room.,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
93ac3668-c9af-40c5-b64f-de560467212e,374f9dcd-ed67-5561-bbaf-24d77eb5f7bb,10775c5b-5dfc-4fc2-bfb4-2795994132a0,GALLONS,2,PLASTIC_BOTTLE,Grey parts dept cabinet near tire racks.,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
6080af41-434a-468d-b60d-45cdcb2842b4,bd0ed990-fb34-54df-a3cf-93b84984d92f,cf24dd83-0434-4766-a94d-11050b474c50,QUARTS,0,PLASTIC_BOTTLE,Back corner of parts dept near parts manager's office.,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
