Chemical Location (Inventory),Chemical Location Confidential - EPCRA,Is Trade Secret?,Tenant ID,Facility Id,Chemical Id,Data Sheet URL
parts,no,no,883b7124-9c13-41ff-a6ee-341efbcde9ca,3ba92ba0-2732-4fda-8bef-00a23eef350c,dead3739-e58d-446d-8938-915598433f39,https://s3.us-east-1.amazonaws.com/storage.complyauto.com/safety/883b7124-9c13-41ff-a6ee-341efbcde9ca/safetyDataSheets/32c752c2-b20b-4f4a-b882-de679f353e69.pdf?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45VTHIYLIIVESHIB%2F20240227%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20240227T125214Z&X-Amz-Expires=604800&X-Amz-Signature=21d319fa838e341cee076127dbffdb5aec4cdc5aa629c3dad36ee27f5d776dfb&X-Amz-SignedHeaders=host&x-id=GetObject
Building,no,no,883b7124-9c13-41ff-a6ee-341efbcde9ca,3ba92ba0-2732-4fda-8bef-00a23eef350c,98ec8ceb-27b7-4ee3-b97f-310f966c817e,https://s3.us-east-1.amazonaws.com/storage.complyauto.com/safety/883b7124-9c13-41ff-a6ee-341efbcde9ca/safetyDataSheets/402fc190-3bbb-4570-8efe-3601ceef7403.pdf?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45VTHIYLIIVESHIB%2F20240227%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20240227T125214Z&X-Amz-Expires=604800&X-Amz-Signature=015befe2c4df0089e810ad572c554ca0480a2401daba3503d499f82553ba836f&X-Amz-SignedHeaders=host&x-id=GetObject
55 gallon drum,no,no,883b7124-9c13-41ff-a6ee-341efbcde9ca,3ba92ba0-2732-4fda-8bef-00a23eef350c,33c5a060-d68b-4f0d-8dbc-71effca62d43,https://s3.us-east-1.amazonaws.com/storage.complyauto.com/safety/883b7124-9c13-41ff-a6ee-341efbcde9ca/safetyDataSheets/019c5cb9-af6e-4ec0-98be-e14d99f92745.pdf?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45VTHIYLIIVESHIB%2F20240227%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20240227T125214Z&X-Amz-Expires=604800&X-Amz-Signature=962400cf6ec9fa31aec4f8dba273af17b66f17c6e48babe219a84ee8983cbf84&X-Amz-SignedHeaders=host&x-id=GetObject
Building,no,no,883b7124-9c13-41ff-a6ee-341efbcde9ca,3ba92ba0-2732-4fda-8bef-00a23eef350c,985d0789-d71a-4b67-9d03-b89c2f071a97,https://s3.us-east-1.amazonaws.com/storage.complyauto.com/safety/883b7124-9c13-41ff-a6ee-341efbcde9ca/safetyDataSheets/7d6069fd-c81b-44f5-a5ae-8ef821c8d37c.pdf?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45VTHIYLIIVESHIB%2F20240227%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20240227T125214Z&X-Amz-Expires=604800&X-Amz-Signature=b2685ea9f605a2cda05083067b1ecd124e9f74ddf589e736943115fdefa36b8a&X-Amz-SignedHeaders=host&x-id=GetObject
55 gallon drum,no,no,883b7124-9c13-41ff-a6ee-341efbcde9ca,3ba92ba0-2732-4fda-8bef-00a23eef350c,f2efcd2f-87d0-448d-aa99-ca8d15ec0a5c,https://cdn.complyauto.com/safety/shared/safetyDataSheet/aac9adaf-108b-4523-b0f0-dab05e1155d3.pdf
Building,no,no,883b7124-9c13-41ff-a6ee-341efbcde9ca,3ba92ba0-2732-4fda-8bef-00a23eef350c,15d2a98f-70b9-4517-ae77-1fc4efa45749,https://s3.us-east-1.amazonaws.com/storage.complyauto.com/safety/883b7124-9c13-41ff-a6ee-341efbcde9ca/safetyDataSheets/c366b4ad-e5fb-49e6-a8d5-1d31175b6309.pdf?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45VTHIYLIIVESHIB%2F20240227%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20240227T125214Z&X-Amz-Expires=604800&X-Amz-Signature=44bad76160dbe64712a3fecd71e8ec897be7e635e8a1a782eb5725073d74e852&X-Amz-SignedHeaders=host&x-id=GetObject
Building,no,no,883b7124-9c13-41ff-a6ee-341efbcde9ca,3ba92ba0-2732-4fda-8bef-00a23eef350c,77e12311-2771-4a3c-a34a-f2d7342145f5,https://s3.us-east-1.amazonaws.com/storage.complyauto.com/safety/883b7124-9c13-41ff-a6ee-341efbcde9ca/safetyDataSheets/86a39bf9-e0a3-425b-bf54-69bf8ba40871.pdf?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45VTHIYLIIVESHIB%2F20240227%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20240227T125214Z&X-Amz-Expires=604800&X-Amz-Signature=0f04deb99d35933e0898456be1c830fb00ae4688ea020bfb3a0b432d8a5d97e4&X-Amz-SignedHeaders=host&x-id=GetObject
Building,no,no,883b7124-9c13-41ff-a6ee-341efbcde9ca,3ba92ba0-2732-4fda-8bef-00a23eef350c,5bd7c116-b78d-4d48-a327-827127cbdb82,https://cdn.complyauto.com/safety/shared/safetyDataSheet/9cdfc423-cc23-4260-9076-80a45178dad2.pdf
Building,no,no,883b7124-9c13-41ff-a6ee-341efbcde9ca,3ba92ba0-2732-4fda-8bef-00a23eef350c,8299f07d-fe8a-477a-8a9f-c751831e799c,https://cdn.complyauto.com/safety/shared/safetyDataSheet/fe72371b-007c-4920-bae3-a5a3261e7924.pdf
Building,no,no,883b7124-9c13-41ff-a6ee-341efbcde9ca,3ba92ba0-2732-4fda-8bef-00a23eef350c,d18aefd3-c95f-4c58-8b48-2d3eaf0ecd9e,https://s3.us-east-1.amazonaws.com/storage.complyauto.com/safety/883b7124-9c13-41ff-a6ee-341efbcde9ca/safetyDataSheets/7fa5a778-e1ed-42ff-85cb-be9d8b6d8b58.pdf?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45VTHIYLIIVESHIB%2F20240227%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20240227T125214Z&X-Amz-Expires=604800&X-Amz-Signature=ee00bc95b71eb28de79117eee547011b5125d8d87ac1bf8aace751726334e8e1&X-Amz-SignedHeaders=host&x-id=GetObject
Building,no,no,883b7124-9c13-41ff-a6ee-341efbcde9ca,3ba92ba0-2732-4fda-8bef-00a23eef350c,0359f2d8-b364-41e9-808f-057fccbc472a,https://s3.us-east-1.amazonaws.com/storage.complyauto.com/safety/883b7124-9c13-41ff-a6ee-341efbcde9ca/safetyDataSheets/898b5a7b-e309-4911-9d35-470b57a52e13.pdf?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45VTHIYLIIVESHIB%2F20240227%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20240227T125214Z&X-Amz-Expires=604800&X-Amz-Signature=4a946555ba625394133714c43e898bdb77ca331ff268157fb5683ac78ccf7ead&X-Amz-SignedHeaders=host&x-id=GetObject
Building,no,no,883b7124-9c13-41ff-a6ee-341efbcde9ca,bc1aeb51-a6e1-4237-bc75-c285eeb01682,2cd6b35e-f4bb-437b-bc3e-dbed1ecd5647,https://s3.us-east-1.amazonaws.com/storage.complyauto.com/safety/883b7124-9c13-41ff-a6ee-341efbcde9ca/safetyDataSheets/fe5055a9-cb4d-4b6e-8013-c2b275f2b761.pdf?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45VTHIYLIIVESHIB%2F20240227%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20240227T125214Z&X-Amz-Expires=604800&X-Amz-Signature=ef7a499c41859c93584c72182f9adfd426c1b7d01f6efdd828ba2648d4a41c38&X-Amz-SignedHeaders=host&x-id=GetObject
Building,no,no,883b7124-9c13-41ff-a6ee-341efbcde9ca,bc1aeb51-a6e1-4237-bc75-c285eeb01682,a9a0f347-ad0f-45e4-bd65-d5cd8d3fe572,https://cdn.complyauto.com/safety/shared/safetyDataSheet/6ecdaf8f-af4e-4cd2-bf3e-a74d538b0902.pdf
Building,no,no,883b7124-9c13-41ff-a6ee-341efbcde9ca,bc1aeb51-a6e1-4237-bc75-c285eeb01682,8c42d057-c06a-4d80-8448-65f210b35b48,https://cdn.complyauto.com/safety/shared/safetyDataSheet/6e13eb0b-8781-4902-9697-d4c6d4eba6ab.pdf
