Tenant ID,Chemical ID,Chemical Name,CAS Number,No CAS Number?,Alternate ID,Is Ehs?,Pure or Mixture?,Is Solid?,Is Liquid?,Is Gas?,Is Trade Secret?,Density,Density Units,Physical Hazards,Health Hazards,Oregon Hazards,IFC Hazards,No Hazards - Not Reporting?,EHS Form,Needs Review?
6c1a22f1-7dec-4db3-88ae-198a34b924fd,dead3739-e58d-446d-8938-915598433f39,Electric Vehicle Battery System Coolant (BSC-2),107-21-1,FALSE,BSC-2,FALSE,MIXTURE,FALSE,TRUE,FALSE,FALSE,1.1,KILOGRAMS_PER_LITER,,ACUTE_TOXICITY|SPECIFIC_TARGET_ORGAN_TOXICITY,,,FALSE,NONE,
6c1a22f1-7dec-4db3-88ae-198a34b924fd,98ec8ceb-27b7-4ee3-b97f-310f966c817e,Pennzoil Platinum SAE 0W-16 Full Synthetic Motor Oil,,TRUE,001F7714,FALSE,MIXTURE,FALSE,TRUE,FALSE,FALSE,834.0,KILOGRAMS_PER_CUBIC_FOOT,,,,,TRUE,NONE,
6c1a22f1-7dec-4db3-88ae-198a34b924fd,33c5a060-d68b-4f0d-8dbc-71effca62d43,Quaker State Full Synthetic SAE 0W-20 Motor Oil,Not Assigned,TRUE,001G1650,FALSE,MIXTURE,FALSE,TRUE,FALSE,FALSE,834.0,KILOGRAMS_PER_CUBIC_FOOT,,,,,TRUE,NONE,
6c1a22f1-7dec-4db3-88ae-198a34b924fd,985d0789-d71a-4b67-9d03-b89c2f071a97,Electric Vehicle Battery System Coolant (BSC-2),,TRUE,BSC-2,FALSE,MIXTURE,FALSE,TRUE,FALSE,FALSE,1.1,KILOGRAMS_PER_LITER,,ACUTE_TOXICITY|SPECIFIC_TARGET_ORGAN_TOXICITY,,,FALSE,NONE,
6c1a22f1-7dec-4db3-88ae-198a34b924fd,f2efcd2f-87d0-448d-aa99-ca8d15ec0a5c,STARFIRE GREEN ANTIFREEZE/COOLANT,,TRUE,CPLS/F,FALSE,MIXTURE,FALSE,TRUE,FALSE,TRUE,1.13,KILOGRAMS_PER_LITER,,ACUTE_TOXICITY|SPECIFIC_TARGET_ORGAN_TOXICITY|REPRODUCTIVE_TOXICITY,,,FALSE,NONE,
6c1a22f1-7dec-4db3-88ae-198a34b924fd,15d2a98f-70b9-4517-ae77-1fc4efa45749,GS WDCTF HD H,,TRUE,LB3228,FALSE,MIXTURE,FALSE,TRUE,FALSE,TRUE,0.822,KILOGRAMS_PER_LITER,,ASPIRATION_HAZARD,,,FALSE,NONE,
6c1a22f1-7dec-4db3-88ae-198a34b924fd,5bd7c116-b78d-4d48-a327-827127cbdb82,Pennzoil Platinum SAE 0W-16 Full Synthetic Motor Oil,,TRUE,001F7714,FALSE,MIXTURE,FALSE,TRUE,FALSE,FALSE,834.0,KILOGRAMS_PER_CUBIC_FOOT,,,,,TRUE,NONE,
6c1a22f1-7dec-4db3-88ae-198a34b924fd,8299f07d-fe8a-477a-8a9f-c751831e799c,Quaker State Synthetic Blend SAE 5W-20 Motor Oil,Not Assigned,TRUE,001F0667,FALSE,MIXTURE,FALSE,TRUE,FALSE,FALSE,835.0,KILOGRAMS_PER_CUBIC_FOOT,,,,,TRUE,NONE,
6c1a22f1-7dec-4db3-88ae-198a34b924fd,d18aefd3-c95f-4c58-8b48-2d3eaf0ecd9e,Quaker State Full Synthetic SAE 0W-20 Motor Oil,Not Assigned,TRUE,001G1650,FALSE,MIXTURE,FALSE,TRUE,FALSE,FALSE,834.0,KILOGRAMS_PER_CUBIC_FOOT,,,,,TRUE,NONE,
6c1a22f1-7dec-4db3-88ae-198a34b924fd,0359f2d8-b364-41e9-808f-057fccbc472a,Hyundai Long Life Coolant / Antifreeze,107-21-1,FALSE,00232-19010,FALSE,MIXTURE,FALSE,TRUE,FALSE,TRUE,1.13,KILOGRAMS_PER_LITER,FLAMMABLE,SKIN_IRRITANT|EYE_IRRITANT|CAUSES_RESPIRATORY_OR_SKIN_SENSITIZATION|SPECIFIC_TARGET_ORGAN_TOXICITY,,,FALSE,NONE,
6c1a22f1-7dec-4db3-88ae-198a34b924fd,2cd6b35e-f4bb-437b-bc3e-dbed1ecd5647,PEAK Original Equipment Technology North American Vehicles Conventional GREEN 50/50 Prediluted Antifreeze and Coolant,,TRUE,,FALSE,MIXTURE,FALSE,TRUE,FALSE,FALSE,1.06,KILOGRAMS_PER_LITER,,ACUTE_TOXICITY|SPECIFIC_TARGET_ORGAN_TOXICITY,,,FALSE,NONE,
6c1a22f1-7dec-4db3-88ae-198a34b924fd,8c42d057-c06a-4d80-8448-65f210b35b48,"Lead-acid Battery, Wet, filled with acid",N/A,TRUE,UN2794,TRUE,MIXTURE,FALSE,TRUE,FALSE,FALSE,,,,ACUTE_TOXICITY|SKIN_IRRITANT|EYE_IRRITANT|CARCINOGENIC|GERM_CELL_MUTAGENIC|SPECIFIC_TARGET_ORGAN_TOXICITY,,CORROSIVE,FALSE,NONE,
6c1a22f1-7dec-4db3-88ae-198a34b924fd,45dd3f3d-39b8-4463-879a-98590fe256f1,64707987 BD1068 BATTERY CLEANER,68476-86-8,FALSE,F01542,FALSE,MIXTURE,FALSE,FALSE,FALSE,TRUE,1.011,KILOGRAMS_PER_LITER,COMPRESSED_GAS,,,,FALSE,NONE,
6c1a22f1-7dec-4db3-88ae-198a34b924fd,84d7dd81-8ece-4d3d-bc62-15fe889741a9,MOBIL 1 0W-30,,TRUE,"201510101030, 481168-00, 97E454",FALSE,MIXTURE,FALSE,TRUE,FALSE,FALSE,0.86,KILOGRAMS_PER_LITER,,,,,TRUE,NONE,
6c1a22f1-7dec-4db3-88ae-198a34b924fd,7d0f0a01-9b48-49a1-ad79-566ee2cd0ef3,Wynn's Premium Oil Treatment,,TRUE,WN 80003,FALSE,MIXTURE,FALSE,TRUE,FALSE,TRUE,0.85,KILOGRAMS_PER_LITER,,CAUSES_RESPIRATORY_OR_SKIN_SENSITIZATION,,,FALSE,NONE,
6c1a22f1-7dec-4db3-88ae-198a34b924fd,e69c1106-bb9b-411c-9fcc-ba5ba4efaa73,Wynn's Premium Oil Treatment,,TRUE,WN 80003,FALSE,MIXTURE,FALSE,TRUE,FALSE,TRUE,0.85,KILOGRAMS_PER_LITER,,CAUSES_RESPIRATORY_OR_SKIN_SENSITIZATION,,,FALSE,NONE,
6c1a22f1-7dec-4db3-88ae-198a34b924fd,b94781fd-ed0e-4dbb-a060-c77f40553a22,MOBIL 1 0W-30,,TRUE,481168-00,FALSE,MIXTURE,FALSE,TRUE,FALSE,FALSE,0.86,KILOGRAMS_PER_LITER,,,,,TRUE,NONE,
6c1a22f1-7dec-4db3-88ae-198a34b924fd,9a23671e-c77e-4bca-8efd-014775443cfd,MOBIL 1 0W-30,,TRUE,481168-00,FALSE,MIXTURE,FALSE,TRUE,FALSE,FALSE,0.86,KILOGRAMS_PER_LITER,,,,,TRUE,NONE,
6c1a22f1-7dec-4db3-88ae-198a34b924fd,cee3641c-8ed6-46d1-9099-66385b977e5d,MOBIL 1 0W-30,,TRUE,481168-00,FALSE,MIXTURE,FALSE,TRUE,FALSE,FALSE,0.86,KILOGRAMS_PER_LITER,,,,,TRUE,NONE,
6c1a22f1-7dec-4db3-88ae-198a34b924fd,713b50e5-e8ce-4249-9b7f-bf94e0acfecf,MOBIL 1 0W-30,,TRUE,481168-00,FALSE,MIXTURE,FALSE,TRUE,FALSE,FALSE,0.86,KILOGRAMS_PER_LITER,,,,,TRUE,NONE,
6c1a22f1-7dec-4db3-88ae-198a34b924fd,052a71bc-4b6f-4562-9cb6-d6ae8d28d149,Everest EuroLine Full Synthetic SAE 5W-30 Motor Oil,64742-54-7,FALSE,8520,FALSE,MIXTURE,FALSE,TRUE,FALSE,TRUE,0.8514,KILOGRAMS_PER_LITER,,,,,TRUE,NONE,
6c1a22f1-7dec-4db3-88ae-198a34b924fd,b4929d0f-0ebd-4c30-9699-be4e72fdf6c9,Wynn's Battery Terminal Cleaner & Leak Detector,102-71-6,FALSE,WN 11701 10565,FALSE,MIXTURE,FALSE,TRUE,FALSE,FALSE,,,,,,,TRUE,NONE,
6c1a22f1-7dec-4db3-88ae-198a34b924fd,ea1bf237-4b66-4f16-9fe6-5ca29995d844,Havoline Xtended Life Antifreeze/Coolant - Concentrate,107-21-1,FALSE,236542,FALSE,MIXTURE,FALSE,TRUE,FALSE,FALSE,1.07,KILOGRAMS_PER_LITER,,ACUTE_TOXICITY|REPRODUCTIVE_TOXICITY|SPECIFIC_TARGET_ORGAN_TOXICITY,,,FALSE,NONE,
6c1a22f1-7dec-4db3-88ae-198a34b924fd,dc115865-c928-4273-9c73-e07b06b07afd,Not provided,Not provided,TRUE,Not provided,FALSE,MIXTURE,FALSE,FALSE,FALSE,FALSE,,POUNDS_PER_GALLON,,,,,TRUE,NONE,
6c1a22f1-7dec-4db3-88ae-198a34b924fd,a0c96571-3c9c-4225-8e5c-257bb77482c4,Not provided,Not provided,TRUE,Not provided,FALSE,MIXTURE,FALSE,FALSE,FALSE,FALSE,,POUNDS_PER_GALLON,,,,,TRUE,NONE,
6c1a22f1-7dec-4db3-88ae-198a34b924fd,42d94481-e621-4345-ba25-e97ab1308bfb,Not provided,Not provided,TRUE,Not provided,FALSE,MIXTURE,FALSE,FALSE,FALSE,FALSE,,POUNDS_PER_GALLON,,,,,TRUE,NONE,
6c1a22f1-7dec-4db3-88ae-198a34b924fd,6689dd29-5a7b-44cd-be1d-dfc049171140,Not provided,Not provided,TRUE,Not provided,FALSE,MIXTURE,FALSE,FALSE,FALSE,FALSE,,POUNDS_PER_GALLON,,,,,TRUE,NONE,
6c1a22f1-7dec-4db3-88ae-198a34b924fd,4237ab55-892f-40b7-bebc-45c104ec3c52,Not provided,Not provided,TRUE,Not provided,FALSE,MIXTURE,FALSE,FALSE,FALSE,FALSE,,POUNDS_PER_GALLON,,,,,TRUE,NONE,
6c1a22f1-7dec-4db3-88ae-198a34b924fd,d26d05d6-92cd-45c0-93cf-0bfcee30bc64,Havoline Xtended Life Antifreeze/Coolant - Concentrate,107-21-1,FALSE,236542,FALSE,MIXTURE,FALSE,TRUE,FALSE,FALSE,1.07,KILOGRAMS_PER_LITER,,ACUTE_TOXICITY|REPRODUCTIVE_TOXICITY|SPECIFIC_TARGET_ORGAN_TOXICITY,,,FALSE,NONE,
6c1a22f1-7dec-4db3-88ae-198a34b924fd,90b57b76-2f73-4cde-82bc-afbc4c4c75f8,Not provided,Not provided,TRUE,Not provided,FALSE,MIXTURE,FALSE,FALSE,FALSE,FALSE,,POUNDS_PER_GALLON,,,,,TRUE,NONE,
6c1a22f1-7dec-4db3-88ae-198a34b924fd,ed0b6258-32e3-4f15-9415-c00b2dba5a3c,Not provided,Not provided,TRUE,Not provided,FALSE,MIXTURE,FALSE,FALSE,FALSE,FALSE,,POUNDS_PER_GALLON,,,,,TRUE,NONE,
6c1a22f1-7dec-4db3-88ae-198a34b924fd,dd6ade6d-964d-48f6-bf5a-c0bb1212ce56,Not provided,Not provided,TRUE,Not provided,FALSE,MIXTURE,FALSE,FALSE,FALSE,FALSE,,POUNDS_PER_GALLON,,,,,TRUE,NONE,
6c1a22f1-7dec-4db3-88ae-198a34b924fd,917df877-3788-4f7e-95e1-4091651064e4,Not provided,Not provided,TRUE,Not provided,FALSE,MIXTURE,FALSE,FALSE,FALSE,FALSE,,POUNDS_PER_GALLON,,,,,TRUE,NONE,
6c1a22f1-7dec-4db3-88ae-198a34b924fd,8e909a6b-e3fa-4f89-9e95-88e02986b021,Not provided,Not provided,TRUE,Not provided,FALSE,MIXTURE,FALSE,FALSE,FALSE,FALSE,,POUNDS_PER_GALLON,,,,,TRUE,NONE,
6c1a22f1-7dec-4db3-88ae-198a34b924fd,9bca6524-da36-49e2-9079-d247e9b2c77b,Not provided,Not provided,TRUE,Not provided,FALSE,MIXTURE,FALSE,FALSE,FALSE,FALSE,,POUNDS_PER_GALLON,,,,,TRUE,NONE,
6c1a22f1-7dec-4db3-88ae-198a34b924fd,d0b74cac-8d56-4d87-bb59-9eb4ad01ea81,Not provided,Not provided,TRUE,Not provided,FALSE,MIXTURE,FALSE,FALSE,FALSE,FALSE,,POUNDS_PER_GALLON,,,,,TRUE,NONE,
6c1a22f1-7dec-4db3-88ae-198a34b924fd,24f28372-dff4-4091-b815-ae9d84801bd0,Not provided,Not provided,TRUE,Not provided,FALSE,MIXTURE,FALSE,FALSE,FALSE,FALSE,,POUNDS_PER_GALLON,,,,,TRUE,NONE,
6c1a22f1-7dec-4db3-88ae-198a34b924fd,a3e98a9b-ac01-4500-a9f8-609df76a1c17,Wynn's Professional Products Automatic Transmission Flush,N/A,TRUE,644,FALSE,MIXTURE,FALSE,TRUE,FALSE,FALSE,0.898,POUNDS_PER_GALLON,FLAMMABLE,SKIN_IRRITANT|EYE_IRRITANT,,COMBUSTIBLE,FALSE,NONE,
6c1a22f1-7dec-4db3-88ae-198a34b924fd,1e542e06-d909-4cdc-80db-08fc7c33f679,53609 Engine Coolant,,TRUE,53609,FALSE,MIXTURE,FALSE,TRUE,FALSE,FALSE,0.95,KILOGRAMS_PER_LITER,,ACUTE_TOXICITY|ASPIRATION_HAZARD,,,FALSE,NONE,
6c1a22f1-7dec-4db3-88ae-198a34b924fd,b9edad54-9065-4a5c-b8c8-cd95323c0427,Wynn's Cooling System Cleaner,,TRUE,"WN 19601, 19602",FALSE,MIXTURE,FALSE,TRUE,FALSE,FALSE,,,,,,,TRUE,NONE,
6c1a22f1-7dec-4db3-88ae-198a34b924fd,0673377f-ed03-4567-b85b-3a92b6fbd822,Chevron Motor Oil Fully Synthetic Premium 0W-20,64742-54-7,FALSE,503070,FALSE,MIXTURE,FALSE,TRUE,FALSE,FALSE,0.847,KILOGRAMS_PER_LITER,,,,,TRUE,NONE,
6c1a22f1-7dec-4db3-88ae-198a34b924fd,0740b985-3c43-4d88-b84f-acbfa30061ce,1234YF A/C REFRIGERANT,754-12-1,FALSE,77,FALSE,PURE,FALSE,FALSE,TRUE,FALSE,,,FLAMMABLE,,,FLAMMABLE,FALSE,NONE,
6c1a22f1-7dec-4db3-88ae-198a34b924fd,1904ba9d-283b-4548-80c8-9c62c34afb5f,"Alkaline battery, LR06, AAA, non-rechargeable",,TRUE,650638,FALSE,MIXTURE,TRUE,FALSE,FALSE,FALSE,,POUNDS_PER_CUBIC_FOOT,FLAMMABLE,,,COMBUSTIBLE,FALSE,NONE,
6c1a22f1-7dec-4db3-88ae-198a34b924fd,83916e96-c3cb-4c12-9f75-1a72e38ec3f8,R-134a,811-97-2,FALSE,UN3159,FALSE,PURE,FALSE,TRUE,TRUE,FALSE,1.21,KILOGRAMS_PER_LITER,COMPRESSED_GAS,SKIN_IRRITANT|EYE_IRRITANT|SIMPLE_ASPHYXIANT,,,TRUE,NONE,
6c1a22f1-7dec-4db3-88ae-198a34b924fd,5fe8bf3b-1c37-43f4-99c6-b47b5eae783d,Wynn's Premium Oil Treatment,,TRUE,WN 80003,FALSE,MIXTURE,FALSE,TRUE,FALSE,TRUE,0.85,KILOGRAMS_PER_LITER,,CAUSES_RESPIRATORY_OR_SKIN_SENSITIZATION,,,FALSE,NONE,
6c1a22f1-7dec-4db3-88ae-198a34b924fd,e9abc32f-414e-44fe-b3ad-ae5dbb50b073,MOBIL 1 0W-30,,TRUE,481168-00,FALSE,MIXTURE,FALSE,TRUE,FALSE,FALSE,0.86,KILOGRAMS_PER_LITER,,,,,TRUE,NONE,
6c1a22f1-7dec-4db3-88ae-198a34b924fd,c3951a38-cc3d-4c4c-b61b-3762fcca5281,5W30 C1 FULLY SYNTH,,TRUE,"XMF010, XMF050",FALSE,MIXTURE,FALSE,TRUE,FALSE,FALSE,0.85,KILOGRAMS_PER_LITER,,,,,TRUE,NONE,
6c1a22f1-7dec-4db3-88ae-198a34b924fd,246b3be6-d588-4435-bff4-9892e6681ee3,MOBIL 1 5W-20,,TRUE,"484279-00, 97Z108",FALSE,MIXTURE,FALSE,TRUE,FALSE,FALSE,0.86,KILOGRAMS_PER_LITER,,,,,TRUE,NONE,
6c1a22f1-7dec-4db3-88ae-198a34b924fd,207b2a17-3c5a-4a37-b53a-553226366902,O'Reilly Ready-to-Use Prediluted 50/50 Antifreeze & Coolant,No CAS number provided,TRUE,No alternate ID provided,FALSE,MIXTURE,FALSE,TRUE,FALSE,FALSE,8.84,POUNDS_PER_GALLON,,ACUTE_TOXICITY|SPECIFIC_TARGET_ORGAN_TOXICITY,,,FALSE,NONE,
6c1a22f1-7dec-4db3-88ae-198a34b924fd,18daf51b-44ec-48e3-b40c-92849b0a351d,Pennzoil Gold SAE 5W-30 Synthetic Blend Motor Oil,Not Assigned,TRUE,001F3007,FALSE,MIXTURE,FALSE,TRUE,FALSE,FALSE,836.0,KILOGRAMS_PER_CUBIC_FOOT,,,,,TRUE,NONE,
6c1a22f1-7dec-4db3-88ae-198a34b924fd,02f8c2ef-eead-446c-b94a-0e7a2c9f05fc,FormulaShell Synthetic Blend SAE 5W-20 Motor Oil,Not Assigned,TRUE,001D7236,FALSE,MIXTURE,FALSE,TRUE,FALSE,FALSE,850.0,KILOGRAMS_PER_CUBIC_FOOT,,,,,TRUE,NONE,
6c1a22f1-7dec-4db3-88ae-198a34b924fd,b2b86b09-dfc8-4f50-a085-fa2a8d5aed29,FormulaShell Synthetic SAE 5W-30 Motor Oil,Not Assigned,TRUE,001D7239,FALSE,MIXTURE,FALSE,TRUE,FALSE,FALSE,840.1,KILOGRAMS_PER_CUBIC_FOOT,,,,,TRUE,NONE,
6c1a22f1-7dec-4db3-88ae-198a34b924fd,17f18c68-f18e-4816-b688-cce9146f600f,Antifreeze Coolant LLC-A110 (Type Pink),,TRUE,LLC-A110,FALSE,MIXTURE,FALSE,TRUE,FALSE,TRUE,1.12,KILOGRAMS_PER_LITER,,SPECIFIC_TARGET_ORGAN_TOXICITY|ACUTE_TOXICITY,,COMBUSTIBLE,FALSE,NONE,
6c1a22f1-7dec-4db3-88ae-198a34b924fd,1b5c2c64-07f9-4b52-99bd-c76955f82a53,MOBIL 1 0W-16,,TRUE,201510101022,FALSE,MIXTURE,FALSE,TRUE,FALSE,TRUE,0.838,KILOGRAMS_PER_LITER,,,,,TRUE,NONE,
6c1a22f1-7dec-4db3-88ae-198a34b924fd,1ac8482b-6ee8-438b-9fa2-8674a64d7fd9,STP SYN SAE 0W20 API SN PLUS 12/1L PR,64742-54-7,FALSE,E303530400,FALSE,MIXTURE,FALSE,TRUE,FALSE,FALSE,840.0,KILOGRAMS_PER_CUBIC_FOOT,FLAMMABLE,SKIN_IRRITANT|EYE_IRRITANT|CAUSES_RESPIRATORY_OR_SKIN_SENSITIZATION,,,FALSE,NONE,
6c1a22f1-7dec-4db3-88ae-198a34b924fd,07afe417-069f-4b6e-853d-b98ef275c3a3,MOBIL 1 0W-16,,TRUE,201510101022,FALSE,MIXTURE,FALSE,TRUE,FALSE,TRUE,0.838,KILOGRAMS_PER_LITER,,HAZARD_NOT_OTHERWISE_CLASSIFIED_HEALTH,,,TRUE,NONE,
6c1a22f1-7dec-4db3-88ae-198a34b924fd,75c51bf1-4f3d-4731-bd5d-5e1feb13eab1,Quaker State Full Synthetic SAE 5W-20 Motor Oil,Not available,TRUE,001G1651,FALSE,MIXTURE,FALSE,TRUE,FALSE,FALSE,835.0,KILOGRAMS_PER_CUBIC_FOOT,,,,,TRUE,NONE,
6c1a22f1-7dec-4db3-88ae-198a34b924fd,9bfe396e-90c0-45d7-a52a-3ec7c77fccbc,Quaker State Euro LX Full Synthetic SAE 0W-30 Motor Oil,848301-69-9,FALSE,001H2695,FALSE,MIXTURE,FALSE,TRUE,FALSE,FALSE,838.0,KILOGRAMS_PER_CUBIC_FOOT,,,,,TRUE,NONE,
6c1a22f1-7dec-4db3-88ae-198a34b924fd,a96ce9aa-c27f-4b17-855d-5e0506bef5aa,Wynn's Professional Products Radiator Treatment,N/A,TRUE,68016,FALSE,MIXTURE,FALSE,TRUE,FALSE,FALSE,1.06,POUNDS_PER_GALLON,,SKIN_IRRITANT|EYE_IRRITANT,,,FALSE,NONE,
6c1a22f1-7dec-4db3-88ae-198a34b924fd,2b0ad827-79b5-4bf5-bb3e-db2e29891396,Quaker State Full Synthetic SAE 5W-20 Motor Oil,,TRUE,001G1651,FALSE,MIXTURE,FALSE,TRUE,FALSE,FALSE,835.0,KILOGRAMS_PER_CUBIC_FOOT,,,,,TRUE,NONE,
6c1a22f1-7dec-4db3-88ae-198a34b924fd,aed4139d-dc3f-4d43-b411-8918908c826c,MOBIL 1 5W-30,,TRUE,"201510101040, 481119-00",FALSE,MIXTURE,FALSE,TRUE,FALSE,FALSE,0.852,KILOGRAMS_PER_LITER,,SKIN_IRRITANT|EYE_IRRITANT,,,FALSE,NONE,
6c1a22f1-7dec-4db3-88ae-198a34b924fd,03f21280-c454-4740-861a-0d31e6e1c67d,Hyundai Long Life Coolant / Antifreeze,107-21-1,FALSE,LC4312/50206,TRUE,MIXTURE,FALSE,TRUE,FALSE,FALSE,1.13,KILOGRAMS_PER_LITER,,SKIN_IRRITANT|EYE_IRRITANT|CAUSES_RESPIRATORY_OR_SKIN_SENSITIZATION|SPECIFIC_TARGET_ORGAN_TOXICITY,,,FALSE,NONE,
6c1a22f1-7dec-4db3-88ae-198a34b924fd,bac56512-7522-436d-ad6f-561c1aedba87,Three Bond 2706,,TRUE,TB 2706,FALSE,MIXTURE,FALSE,TRUE,FALSE,FALSE,0.7,KILOGRAMS_PER_LITER,,,,,TRUE,NONE,
6c1a22f1-7dec-4db3-88ae-198a34b924fd,1cce87ae-3ea6-4d73-8a38-6655339f2602,FRAM Conventional Green AFC Concentrate,107-21-1,FALSE,"F101/F, F155/F",FALSE,MIXTURE,FALSE,TRUE,FALSE,TRUE,1.13,KILOGRAMS_PER_LITER,,ACUTE_TOXICITY|SPECIFIC_TARGET_ORGAN_TOXICITY,,,FALSE,NONE,
6c1a22f1-7dec-4db3-88ae-198a34b924fd,74c03b3c-c305-43f4-81d3-e13c623af6f8,MOBIL 1 0W-30,,TRUE,201510101030,FALSE,MIXTURE,FALSE,TRUE,FALSE,FALSE,0.86,KILOGRAMS_PER_LITER,,,,,TRUE,NONE,
6c1a22f1-7dec-4db3-88ae-198a34b924fd,cd13e8ff-1977-4e83-93e2-4022e767c5dd,Quaker State 5W-30 Synthetic Blend Motor Oil,,TRUE,001E2942,FALSE,MIXTURE,FALSE,TRUE,FALSE,FALSE,23.701,KILOGRAMS_PER_CUBIC_FOOT,,,,,TRUE,NONE,
6c1a22f1-7dec-4db3-88ae-198a34b924fd,3aae5e42-9652-486f-af57-5140338b0224,BG Prediluted Universal Coolant/Antifreeze - Orange,,TRUE,PC81,FALSE,MIXTURE,FALSE,TRUE,FALSE,FALSE,1.06,KILOGRAMS_PER_LITER,,ACUTE_TOXICITY|EYE_IRRITANT|SPECIFIC_TARGET_ORGAN_TOXICITY,,,FALSE,NONE,
6c1a22f1-7dec-4db3-88ae-198a34b924fd,153ced20-8caa-4057-8965-d390abf0b356,MOBIL 1 0W-20,,TRUE,201510101032,FALSE,MIXTURE,FALSE,TRUE,FALSE,TRUE,0.84,KILOGRAMS_PER_LITER,,,,,TRUE,NONE,
6c1a22f1-7dec-4db3-88ae-198a34b924fd,b24480dd-dac6-422a-9130-767d9770029c,MOBIL 1 0W-16,,TRUE,201510101022,FALSE,MIXTURE,FALSE,TRUE,FALSE,FALSE,0.838,KILOGRAMS_PER_LITER,,SKIN_IRRITANT|EYE_IRRITANT,,,TRUE,NONE,
6c1a22f1-7dec-4db3-88ae-198a34b924fd,4b3f0dd6-40bc-458d-9350-e57e371d1d62,ACDelco Hydraulic Pump Fluid,Not Applicable,TRUE,PS-113852-C01,FALSE,MIXTURE,FALSE,TRUE,FALSE,FALSE,1.0,KILOGRAMS_PER_LITER,FLAMMABLE,ASPIRATION_HAZARD,,,FALSE,NONE,
