Component ID,Chemical ID,Name,Is EHS?,Component Percentage,CAS Number,No CAS Number?,Weight or Volume?,EHS Form
d3b6b91c-f31e-51e1-a3d8-a7b1ddfd46d3,dead3739-e58d-446d-8938-915598433f39,ETHYLENE GLYCOL,FALSE,95.0,107-21-1,FALSE,WEIGHT,NONE
f0aeb234-d072-5609-a9f9-4b091adab30e,dead3739-e58d-446d-8938-915598433f39,WATER,FALSE,15.0,7732-18-5,FALSE,WEIGHT,NONE
fd394efe-b138-54b5-8646-777351719345,98ec8ceb-27b7-4ee3-b97f-310f966c817e,Alkylphenol dodecylphenol,FALSE,0.9,27193-86-8,FALSE,WEIGHT,NONE
6643269e-dd2d-51d7-9a1c-d727ef9c3db5,98ec8ceb-27b7-4ee3-b97f-310f966c817e,Alkaryl amine bis(nonylphenyl amine),FALSE,3.0,36878-20-3,FALSE,WEIGHT,NONE
5ab46f7f-200c-527f-b167-a602ce767899,98ec8ceb-27b7-4ee3-b97f-310f966c817e,"Distillates (Fischer-Tropsch), heavy, C18-50-branched, cyclic and linear",FALSE,90.0,848301-69-9,FALSE,WEIGHT,NONE
039d6fbb-50de-5008-87bb-a8c19aa65f86,33c5a060-d68b-4f0d-8dbc-71effca62d43,"Interchangeable low viscosity base oil (<20,5 cSt @40°C)",FALSE,20.5,Not Assigned,TRUE,WEIGHT,NONE
b37f6f3f-eed5-50c1-ae61-37928296d9ad,33c5a060-d68b-4f0d-8dbc-71effca62d43,Alkaryl amine bis(nonylphenyl amine),FALSE,3.0,36878-20-3,FALSE,WEIGHT,NONE
79762b8d-ba3f-5c05-ba69-f36b358e5e22,985d0789-d71a-4b67-9d03-b89c2f071a97,ETHYLENE GLYCOL,FALSE,95.0,107-21-1,FALSE,WEIGHT,NONE
875ca526-eb79-5097-b525-e12d9671fe2e,985d0789-d71a-4b67-9d03-b89c2f071a97,WATER,FALSE,9.0,7732-18-5,FALSE,WEIGHT,NONE
266ba30c-8d3c-5da0-9a07-e71b4f8997f4,985d0789-d71a-4b67-9d03-b89c2f071a97,2-ethylhexanoic acid,FALSE,1.0,149-57-5,FALSE,WEIGHT,NONE
e7290dad-13db-53a6-a611-43233eee20a6,f2efcd2f-87d0-448d-aa99-ca8d15ec0a5c,Ethylene Glycol,FALSE,100.0,107-21-1,FALSE,WEIGHT,NONE
281dec92-0c09-5b7a-b542-7ac15fcee9d0,f2efcd2f-87d0-448d-aa99-ca8d15ec0a5c,Diethylene Glycol,FALSE,8.0,111-46-6,FALSE,WEIGHT,NONE
9167cebf-f764-555f-a0d1-e6977bbe5d76,f2efcd2f-87d0-448d-aa99-ca8d15ec0a5c,Sodium Nitrite,FALSE,1.0,7632-00-0,FALSE,WEIGHT,NONE
98d7b59b-ac43-5a15-a760-1a9e65d5711b,f2efcd2f-87d0-448d-aa99-ca8d15ec0a5c,"Disodium Tetraborate, Anhydrous",FALSE,0.3,1330-43-4,FALSE,WEIGHT,NONE
ed82e0dd-6374-5d60-9ae8-6fe00f6ee86e,15d2a98f-70b9-4517-ae77-1fc4efa45749,"1-Decene, dimer, hydrogenated",FALSE,81.08,68649-11-6,FALSE,WEIGHT,NONE
60c94925-5d31-53a2-a41d-e2913d5bae48,15d2a98f-70b9-4517-ae77-1fc4efa45749,"Reaction products of 1-decene and 1-dodecene, dimer, hydrogenated",FALSE,81.08,151006-58-5,FALSE,WEIGHT,NONE
1fbe92d1-43cb-5818-b9d3-1d0c39cc28b4,15d2a98f-70b9-4517-ae77-1fc4efa45749,"Distillates (petroleum), hydrotreated middle",FALSE,10.66932,64742-46-7,FALSE,WEIGHT,NONE
e0cfce7e-85e7-5524-8a04-c59d6024a214,5bd7c116-b78d-4d48-a327-827127cbdb82,Alkylphenol,FALSE,0.9,27193-86-8,FALSE,WEIGHT,NONE
92bd77f1-8c2e-5437-aa91-40bf0909f679,5bd7c116-b78d-4d48-a327-827127cbdb82,Alkaryl amine,FALSE,3.0,36878-20-3,FALSE,WEIGHT,NONE
f788f276-dceb-5f87-bbe3-fa3c7063765a,5bd7c116-b78d-4d48-a327-827127cbdb82,"Distillates (Fischer - Tropsch), heavy, C18-50 – branched, cyclic and linear",FALSE,90.0,848301-69-9,FALSE,WEIGHT,NONE
0c57c0d5-3236-5dff-9fc0-5eb237d173f3,8299f07d-fe8a-477a-8a9f-c751831e799c,"Distillates (Fischer-Tropsch), heavy, C18-50 – branched, cyclic and linear",FALSE,90.0,848301-69-9,FALSE,WEIGHT,NONE
7bae10fe-a697-5991-8f67-ff73c212cd54,8299f07d-fe8a-477a-8a9f-c751831e799c,Alkaryl amine bis(nonylphenyl)amine,FALSE,3.0,36878-20-3,FALSE,WEIGHT,NONE
7820b321-eac2-5a48-a31f-2cff753cbf98,d18aefd3-c95f-4c58-8b48-2d3eaf0ecd9e,"Interchangeable low viscosity base oil (<20,5 cSt @40°C)",FALSE,20.5,Not Assigned,TRUE,WEIGHT,NONE
9c72ac70-c9be-5d7f-b744-d37e3fe73cb2,d18aefd3-c95f-4c58-8b48-2d3eaf0ecd9e,Alkaryl amine bis(nonylphenyl amine),FALSE,3.0,36878-20-3,FALSE,WEIGHT,NONE
4b6afc38-0b96-5502-8ab1-319aa086750b,0359f2d8-b364-41e9-808f-057fccbc472a,Ethylene Glycol,TRUE,94.0,107-21-1,FALSE,WEIGHT,NONE
