Facility Chemical Regulatory Info ID,Facility ID,Chemical ID,Reporting Year,Key,Value,Extension Type,Jurisdiction
7ba2cf9d-377b-4850-809c-36e831e56caf,bb2138ce-b567-4721-b9dc-cacd5be69285,0d91a056-94c2-4a07-9862-f7c366db46bb,2023,commonName,Wynns injector cleaner,EPCRA,STATE_CA
0d3c2cdb-564a-4142-b9fc-7c9c834edcc5,bb2138ce-b567-4721-b9dc-cacd5be69285,0d91a056-94c2-4a07-9862-f7c366db46bb,2023,radioactive,no,EPCRA,STATE_CA
170a90e6-fffb-4367-8852-38244e5dc1db,bb2138ce-b567-4721-b9dc-cacd5be69285,0d91a056-94c2-4a07-9862-f7c366db46bb,2023,curies,no,EPCRA,STATE_CA
f75da591-7e0a-4ab6-bfe5-887d030e1524,bb2138ce-b567-4721-b9dc-cacd5be69285,0d91a056-94c2-4a07-9862-f7c366db46bb,2023,physicalStateInTransit,no,EPCRA,STATE_CA
a687431f-16b1-4232-8b07-07bddcb76570,bb2138ce-b567-4721-b9dc-cacd5be69285,0d91a056-94c2-4a07-9862-f7c366db46bb,2023,annualWasteAmount,no,EPCRA,STATE_CA
afa3eedf-1086-4003-9805-f84c18ecd3e4,bb2138ce-b567-4721-b9dc-cacd5be69285,0d91a056-94c2-4a07-9862-f7c366db46bb,2023,stateWasteCode,no,EPCRA,STATE_CA
a7084b77-3e62-4303-8257-8f4725e8498a,bb2138ce-b567-4721-b9dc-cacd5be69285,0d91a056-94c2-4a07-9862-f7c366db46bb,2023,daysOnSite,1,EPCRA,STATE_CA
9f0a093c-eb3e-4b75-8d3c-0d5539727c97,a4a1b0b4-05e8-4145-bbaf-0120bbb6c76b,0673377f-ed03-4567-b85b-3a92b6fbd822,2023,commonName,Zero twenty,EPCRA,STATE_CA
f2100c56-566b-43e9-9614-d75e9f8804d8,a4a1b0b4-05e8-4145-bbaf-0120bbb6c76b,0740b985-3c43-4d88-b84f-acbfa30061ce,2023,commonName,1234yf Refrigerant,EPCRA,STATE_CA
b6c8f3c6-edf5-4076-b47e-c22bd44a3fc8,a4a1b0b4-05e8-4145-bbaf-0120bbb6c76b,052a71bc-4b6f-4562-9cb6-d6ae8d28d149,2023,commonName,Five thirty oil,EPCRA,STATE_CA
5fbf5af4-23e6-4ff5-a4b7-f247cea0988e,a4a1b0b4-05e8-4145-bbaf-0120bbb6c76b,1e542e06-d909-4cdc-80db-08fc7c33f679,2023,commonName,coolant,EPCRA,STATE_CA
9d8ada63-35e0-4b75-89bf-dd5ff54e41c3,a4a1b0b4-05e8-4145-bbaf-0120bbb6c76b,1904ba9d-283b-4548-80c8-9c62c34afb5f,2023,commonName,Batteries,EPCRA,STATE_CA
220457ae-01b4-4736-9552-51e3f2e235a3,a4a1b0b4-05e8-4145-bbaf-0120bbb6c76b,24f28372-dff4-4091-b815-ae9d84801bd0,2023,commonName,Car battery,EPCRA,STATE_CA
455b4d48-f724-452e-adc6-8b835154673c,a4a1b0b4-05e8-4145-bbaf-0120bbb6c76b,3573bf4e-77b8-46b4-971e-aa090e66f76e,2023,commonName,coolant,EPCRA,STATE_CA
5936017b-ce94-4823-b6e0-42d366226fee,a4a1b0b4-05e8-4145-bbaf-0120bbb6c76b,4237ab55-892f-40b7-bebc-45c104ec3c52,2023,commonName,Car battery,EPCRA,STATE_CA
912b195a-a2c6-46d8-8751-191b6d98e539,a4a1b0b4-05e8-4145-bbaf-0120bbb6c76b,42d94481-e621-4345-ba25-e97ab1308bfb,2023,commonName,Car battery,EPCRA,STATE_CA
4d4cab1e-d1e5-4561-b2c5-66ac2fa03c79,a4a1b0b4-05e8-4145-bbaf-0120bbb6c76b,5fe8bf3b-1c37-43f4-99c6-b47b5eae783d,2023,commonName,OIl poor in,EPCRA,STATE_CA
61d53070-5908-49e9-9d69-e3d8b33ca5df,a4a1b0b4-05e8-4145-bbaf-0120bbb6c76b,6689dd29-5a7b-44cd-be1d-dfc049171140,2023,commonName,Car battery,EPCRA,STATE_CA
1c0babb4-360a-4dbf-8985-df2c7dfa3d99,a4a1b0b4-05e8-4145-bbaf-0120bbb6c76b,713b50e5-e8ce-4249-9b7f-bf94e0acfecf,2023,commonName,Engine oil,EPCRA,STATE_CA
ccb397e4-7055-47a4-9605-dbdadbc91bcb,a4a1b0b4-05e8-4145-bbaf-0120bbb6c76b,83916e96-c3cb-4c12-9f75-1a72e38ec3f8,2023,commonName,134a,EPCRA,STATE_CA
c297f54b-58f9-4201-b42f-31966e199f92,a4a1b0b4-05e8-4145-bbaf-0120bbb6c76b,8e909a6b-e3fa-4f89-9e95-88e02986b021,2023,commonName,Car battery,EPCRA,STATE_CA
db7492f1-decc-4cd5-894e-b2be1654ca55,a4a1b0b4-05e8-4145-bbaf-0120bbb6c76b,7d0f0a01-9b48-49a1-ad79-566ee2cd0ef3,2023,commonName,Engine clean,EPCRA,STATE_CA
dff1bee0-4e30-430c-8eea-29199f81e0e9,a4a1b0b4-05e8-4145-bbaf-0120bbb6c76b,84d7dd81-8ece-4d3d-bc62-15fe889741a9,2023,commonName,motor oil,EPCRA,STATE_CA
1a80cdc5-8d6a-4a1f-8d17-8af356f7d340,a4a1b0b4-05e8-4145-bbaf-0120bbb6c76b,90b57b76-2f73-4cde-82bc-afbc4c4c75f8,2023,commonName,Car battery,EPCRA,STATE_CA
218e6669-3cfa-4144-a209-260ce74ac6fb,a4a1b0b4-05e8-4145-bbaf-0120bbb6c76b,917df877-3788-4f7e-95e1-4091651064e4,2023,commonName,Car battery,EPCRA,STATE_CA
347ebf32-1555-4bd5-9a44-9f8280d140ea,a4a1b0b4-05e8-4145-bbaf-0120bbb6c76b,9a23671e-c77e-4bca-8efd-014775443cfd,2023,commonName,Motor Oil,EPCRA,STATE_CA
28d2daa3-9675-4fef-87e1-191542380406,a4a1b0b4-05e8-4145-bbaf-0120bbb6c76b,9bca6524-da36-49e2-9079-d247e9b2c77b,2023,commonName,Car battery,EPCRA,STATE_CA
