Facility ID,Reporting Year,Key,Value,Extension Type
bb2138ce-b567-4721-b9dc-cacd5be69285	,2023,,,EPCRA
bb2138ce-b567-4721-b9dc-cacd5be69285	,2023,,,EPCRA
bb2138ce-b567-4721-b9dc-cacd5be69285	,2023,,,EPCRA
bb2138ce-b567-4721-b9dc-cacd5be69285	,2023,,,EPCRA
bb2138ce-b567-4721-b9dc-cacd5be69285	,2023,epaId,cal000470091,EPCRA
bb2138ce-b567-4721-b9dc-cacd5be69285	,2023,businessName,Elk Grove Hyundai,EPCRA
bb2138ce-b567-4721-b9dc-cacd5be69285	,2023,calarpRegulatedSubstance,no,EPCRA
bb2138ce-b567-4721-b9dc-cacd5be69285	,2023,hasAPS,yes,EPCRA
bb2138ce-b567-4721-b9dc-cacd5be69285	,2023,generatesHazardousWaste,yes,EPCRA
bb2138ce-b567-4721-b9dc-cacd5be69285	,2023,recycle,no,EPCRA
bb2138ce-b567-4721-b9dc-cacd5be69285	,2023,treatsHazardousWaste,no,EPCRA
bb2138ce-b567-4721-b9dc-cacd5be69285	,2023,hazardousWasteFinancialAssuranceRequirements,Not Applicable,EPCRA
bb2138ce-b567-4721-b9dc-cacd5be69285	,2023,hazardousWasteConsolidate,no,EPCRA
bb2138ce-b567-4721-b9dc-cacd5be69285	,2023,hazardousWasteTankClosureRemoval,Not Applicable,EPCRA
bb2138ce-b567-4721-b9dc-cacd5be69285	,2023,hazardousWasteRCRA,yes,EPCRA
bb2138ce-b567-4721-b9dc-cacd5be69285	,2023,hazardousWasteHHWCollectionSite,no,EPCRA
bb2138ce-b567-4721-b9dc-cacd5be69285	,2023,businessPhone,(916) 427-1234,EPCRA
bb2138ce-b567-4721-b9dc-cacd5be69285	,2023,businessFax,(916) 422-9320,EPCRA
bb2138ce-b567-4721-b9dc-cacd5be69285	,2023,dunBradStreet,1234,EPCRA
bb2138ce-b567-4721-b9dc-cacd5be69285	,2023,sicCode,5511,EPCRA
bb2138ce-b567-4721-b9dc-cacd5be69285	,2023,naicsCode,441110,EPCRA
bb2138ce-b567-4721-b9dc-cacd5be69285	,2023,totalNumberOfUst,0,EPCRA
bb2138ce-b567-4721-b9dc-cacd5be69285	,2023,indianOrTrustLand,no,EPCRA
bb2138ce-b567-4721-b9dc-cacd5be69285	,2023,supervisorDivisionSectionOffice,Chris Shaffer 12530 automall circle Folsom Ca 95630,EPCRA
bb2138ce-b567-4721-b9dc-cacd5be69285	,2023,boeNumber,n/a,EPCRA
bb2138ce-b567-4721-b9dc-cacd5be69285	,2023,permitHolder,n/a,EPCRA
bb2138ce-b567-4721-b9dc-cacd5be69285	,2023,financialInstitutionOrSuretyCountry,united states,EPCRA
bb2138ce-b567-4721-b9dc-cacd5be69285	,2023,numberOfEmployees,62,EPCRA
bb2138ce-b567-4721-b9dc-cacd5be69285	,2023,apsaConditionallyExempt,Not Applicable,EPCRA
bb2138ce-b567-4721-b9dc-cacd5be69285	,2023,apsaTotalStorageCapacity,1525,EPCRA
bb2138ce-b567-4721-b9dc-cacd5be69285	,2023,apsaTanksInUndergroundAreas,-1,EPCRA
bb2138ce-b567-4721-b9dc-cacd5be69285	,2023,apsaDateOfCertificationOrReview,2023-02-03,EPCRA
a4a1b0b4-05e8-4145-bbaf-0120bbb6c76b	,2023,epaId,CAL000297570,EPCRA
a4a1b0b4-05e8-4145-bbaf-0120bbb6c76b	,2023,businessName,HYUNDAI OF ROSEVILLE,EPCRA
a4a1b0b4-05e8-4145-bbaf-0120bbb6c76b	,2023,calarpRegulatedSubstance,no,EPCRA
a4a1b0b4-05e8-4145-bbaf-0120bbb6c76b	,2023,hasAPS,yes,EPCRA
a4a1b0b4-05e8-4145-bbaf-0120bbb6c76b	,2023,generatesHazardousWaste,yes,EPCRA
a4a1b0b4-05e8-4145-bbaf-0120bbb6c76b	,2023,recycle,no,EPCRA
a4a1b0b4-05e8-4145-bbaf-0120bbb6c76b	,2023,treatsHazardousWaste,no,EPCRA
a4a1b0b4-05e8-4145-bbaf-0120bbb6c76b	,2023,hazardousWasteFinancialAssuranceRequirements,Not Applicable,EPCRA
a4a1b0b4-05e8-4145-bbaf-0120bbb6c76b	,2023,hazardousWasteConsolidate,no,EPCRA
a4a1b0b4-05e8-4145-bbaf-0120bbb6c76b	,2023,hazardousWasteTankClosureRemoval,Not Applicable,EPCRA
a4a1b0b4-05e8-4145-bbaf-0120bbb6c76b	,2023,hazardousWasteRCRA,yes,EPCRA
a4a1b0b4-05e8-4145-bbaf-0120bbb6c76b	,2023,hazardousWasteHHWCollectionSite,no,EPCRA
a4a1b0b4-05e8-4145-bbaf-0120bbb6c76b	,2023,businessPhone,(916) 677-3636,EPCRA
a4a1b0b4-05e8-4145-bbaf-0120bbb6c76b	,2023,businessFax,(916) 625-6847,EPCRA
a4a1b0b4-05e8-4145-bbaf-0120bbb6c76b	,2023,dunBradStreet,1234,EPCRA
a4a1b0b4-05e8-4145-bbaf-0120bbb6c76b	,2023,sicCode,5511,EPCRA
a4a1b0b4-05e8-4145-bbaf-0120bbb6c76b	,2023,naicsCode,441110,EPCRA
a4a1b0b4-05e8-4145-bbaf-0120bbb6c76b	,2023,totalNumberOfUst,0,EPCRA
a4a1b0b4-05e8-4145-bbaf-0120bbb6c76b	,2023,indianOrTrustLand,no,EPCRA
a4a1b0b4-05e8-4145-bbaf-0120bbb6c76b	,2023,supervisorDivisionSectionOffice,Chris Shaffer 12530 automall circle Folsom Ca 95630,EPCRA
a4a1b0b4-05e8-4145-bbaf-0120bbb6c76b	,2023,boeNumber,n/a,EPCRA
a4a1b0b4-05e8-4145-bbaf-0120bbb6c76b	,2023,permitHolder,n/a,EPCRA
a4a1b0b4-05e8-4145-bbaf-0120bbb6c76b	,2023,financialInstitutionOrSuretyCountry,United States,EPCRA
a4a1b0b4-05e8-4145-bbaf-0120bbb6c76b	,2023,numberOfEmployees,100,EPCRA
a4a1b0b4-05e8-4145-bbaf-0120bbb6c76b	,2023,apsaConditionallyExempt,Not Applicable,EPCRA
a4a1b0b4-05e8-4145-bbaf-0120bbb6c76b	,2023,apsaTotalStorageCapacity,2800,EPCRA
a4a1b0b4-05e8-4145-bbaf-0120bbb6c76b	,2023,apsaTanksInUndergroundAreas,-1,EPCRA
a4a1b0b4-05e8-4145-bbaf-0120bbb6c76b	,2023,apsaDateOfCertificationOrReview,2023-09-27,EPCRA
7a12966d-1451-4bf9-a095-9369483ed803	,2023,isNewFacilityThisYear,no,EPCRA
7a12966d-1451-4bf9-a095-9369483ed803	,2023,texasCompanyNumber,826,EPCRA
74f1625b-e4bc-4f7c-963f-064e73e78b14	,2023,epaId,CAL000366137,EPCRA
74f1625b-e4bc-4f7c-963f-064e73e78b14	,2023,calarpRegulatedSubstance,no,EPCRA
74f1625b-e4bc-4f7c-963f-064e73e78b14	,2023,businessName,Folsom Lake Hyundai,EPCRA
74f1625b-e4bc-4f7c-963f-064e73e78b14	,2023,hasAPS,yes,EPCRA
74f1625b-e4bc-4f7c-963f-064e73e78b14	,2023,recycle,no,EPCRA
74f1625b-e4bc-4f7c-963f-064e73e78b14	,2023,hazardousWasteFinancialAssuranceRequirements,no,EPCRA
74f1625b-e4bc-4f7c-963f-064e73e78b14	,2023,hazardousWasteTankClosureRemoval,yes,EPCRA
74f1625b-e4bc-4f7c-963f-064e73e78b14	,2023,hazardousWasteHHWCollectionSite,no,EPCRA
74f1625b-e4bc-4f7c-963f-064e73e78b14	,2023,businessFax,(916) 365-8000,EPCRA
74f1625b-e4bc-4f7c-963f-064e73e78b14	,2023,sicCode,5511,EPCRA
74f1625b-e4bc-4f7c-963f-064e73e78b14	,2023,generatesHazardousWaste,yes,EPCRA
74f1625b-e4bc-4f7c-963f-064e73e78b14	,2023,treatsHazardousWaste,no,EPCRA
74f1625b-e4bc-4f7c-963f-064e73e78b14	,2023,hazardousWasteConsolidate,no,EPCRA
74f1625b-e4bc-4f7c-963f-064e73e78b14	,2023,hazardousWasteRCRA,yes,EPCRA
74f1625b-e4bc-4f7c-963f-064e73e78b14	,2023,businessPhone,(916) 365-8000,EPCRA
74f1625b-e4bc-4f7c-963f-064e73e78b14	,2023,dunBradStreet,789516437,EPCRA
74f1625b-e4bc-4f7c-963f-064e73e78b14	,2023,naicsCode,441110,EPCRA
74f1625b-e4bc-4f7c-963f-064e73e78b14	,2023,indianOrTrustLand,no,EPCRA
74f1625b-e4bc-4f7c-963f-064e73e78b14	,2023,totalNumberOfUst,0,EPCRA
74f1625b-e4bc-4f7c-963f-064e73e78b14	,2023,supervisorDivisionSectionOffice,Chris Shaffer 12530 automall circle Folsom ca 95630,EPCRA
74f1625b-e4bc-4f7c-963f-064e73e78b14	,2023,permitHolder,Chris Shaffer 12530 automall circle Folsom ca 95630,EPCRA
74f1625b-e4bc-4f7c-963f-064e73e78b14	,2023,financialInstitutionOrSuretyCountry,usa,EPCRA
74f1625b-e4bc-4f7c-963f-064e73e78b14	,2023,numberOfEmployees,50,EPCRA
74f1625b-e4bc-4f7c-963f-064e73e78b14	,2023,boeNumber,not applicable,EPCRA
74f1625b-e4bc-4f7c-963f-064e73e78b14	,2023,apsaConditionallyExempt,no,EPCRA
74f1625b-e4bc-4f7c-963f-064e73e78b14	,2023,apsaTotalStorageCapacity,1350,EPCRA
74f1625b-e4bc-4f7c-963f-064e73e78b14	,2023,apsaDateOfCertificationOrReview,2024-02-21,EPCRA
74f1625b-e4bc-4f7c-963f-064e73e78b14	,2023,apsaTanksInUndergroundAreas,0,EPCRA
49c6661c-7425-4e9f-934c-5cc50781ff01	,2023,isNewFacilityThisYear,no,EPCRA
49c6661c-7425-4e9f-934c-5cc50781ff01	,2023,texasCompanyNumber,32052660241,EPCRA
