Tenant ID,Chemical ID,Chemical Name,CAS Number,No CAS Number?,Alternate ID,Is Ehs?,Pure or Mixture?,Is Solid?,Is Liquid?,Is Gas?,Is Trade Secret?,Density,Density Units,Physical Hazards,Health Hazards,Oregon Hazards,IFC Hazards,No Hazards - Not Reporting?,EHS Form,Needs Review?
59971d4b-6e58-4c30-89e4-04192b678509,707f471b-dedc-4c58-8785-2930e81807eb,BRAKE & PARTS CLEANER,,TRUE,1038,FALSE,MIXTURE,FALSE,FALSE,TRUE,TRUE,0.79,KILOGRAMS_PER_LITER,FLAMMABLE|COMPRESSED_GAS,ACUTE_TOXICITY|SKIN_IRRITANT|REPRODUCTIVE_TOXICITY|SPECIFIC_TARGET_ORGAN_TOXICITY|ASPIRATION_HAZARD,,FLAMMABLE|TOXIC,FALSE,NONE,
59971d4b-6e58-4c30-89e4-04192b678509,a787a870-63e2-4dae-b5c1-b62ed8836222,Subaru CVT Fluid Lineartronic,,TRUE,1830025,FALSE,MIXTURE,FALSE,TRUE,FALSE,FALSE,0.85,KILOGRAMS_PER_LITER,COMBUSTIBLE_DUST,,,COMBUSTIBLE,FALSE,NONE,
59971d4b-6e58-4c30-89e4-04192b678509,e82e82ed-64b5-4bb1-b1ca-e034efea5abc,ENEOS ECO CVT FLUID,74869-22-0,FALSE,A4138_E71USUS,FALSE,MIXTURE,FALSE,TRUE,FALSE,FALSE,0.853,KILOGRAMS_PER_LITER,,SKIN_IRRITANT,,,FALSE,NONE,
59971d4b-6e58-4c30-89e4-04192b678509,a618449c-accf-458d-81c8-23a95769ecb9,GEAR GUARD™ 75W-90,MIXTURE,TRUE,0414,FALSE,MIXTURE,FALSE,TRUE,FALSE,TRUE,0.85,KILOGRAMS_PER_LITER,FLAMMABLE,CAUSES_RESPIRATORY_OR_SKIN_SENSITIZATION,,COMBUSTIBLE,FALSE,NONE,
59971d4b-6e58-4c30-89e4-04192b678509,227017ad-9a99-4bf3-83f2-b353dcc01734,SAE 15W-40 SUPER DUTY DIESEL MOTOR OIL,,TRUE,190409,FALSE,MIXTURE,FALSE,TRUE,FALSE,FALSE,0.873,KILOGRAMS_PER_LITER,,,,,TRUE,NONE,
59971d4b-6e58-4c30-89e4-04192b678509,4d0dfc59-aa33-4770-a2c4-679303b3f990,"Idemitsu Full Synthetic Engine Oil 0W-16 GF-6B, 12x1 Quart",Mixture,TRUE,30013013-75000C020,FALSE,MIXTURE,FALSE,TRUE,FALSE,FALSE,0.84,KILOGRAMS_PER_LITER,COMBUSTIBLE_DUST,,,COMBUSTIBLE,TRUE,NONE,
59971d4b-6e58-4c30-89e4-04192b678509,e774d5c1-0b6b-4951-935e-d5708f9ccc65,Genuine Subaru Automatic Transmission Fluid HP,,TRUE,1829-021A,FALSE,MIXTURE,FALSE,TRUE,FALSE,FALSE,0.85,KILOGRAMS_PER_LITER,COMBUSTIBLE_DUST,HAZARD_NOT_OTHERWISE_CLASSIFIED_HEALTH,,COMBUSTIBLE,FALSE,NONE,
59971d4b-6e58-4c30-89e4-04192b678509,7fb23c9a-9dcd-4f88-a76e-9452541c22d7,"Idemitsu Full Synthetic Engine Oil 5W-30 GF-6, 4x5 Quart",Mixture,TRUE,30013015-95300C020,FALSE,MIXTURE,FALSE,TRUE,FALSE,FALSE,0.85,KILOGRAMS_PER_LITER,COMBUSTIBLE_DUST,,,COMBUSTIBLE,TRUE,NONE,
59971d4b-6e58-4c30-89e4-04192b678509,8baeb5ac-3668-408d-aefb-73155b3309e2,ZEREX™ ASIAN VEHICLE BLUE 50/50 Antifreeze Coolant,N/A,TRUE,875346,FALSE,MIXTURE,FALSE,TRUE,FALSE,FALSE,,,,ACUTE_TOXICITY|SPECIFIC_TARGET_ORGAN_TOXICITY,,,FALSE,NONE,
59971d4b-6e58-4c30-89e4-04192b678509,9dd23e86-347c-422f-acc1-080ca4446a96,"Idemitsu Full Synthetic Engine Oil 5W-30 GF-6, 12x1 Quart",,TRUE,30013015-75000C020,FALSE,MIXTURE,FALSE,TRUE,FALSE,FALSE,0.85,KILOGRAMS_PER_LITER,,,,COMBUSTIBLE,TRUE,NONE,
59971d4b-6e58-4c30-89e4-04192b678509,1b017865-28bf-44ca-9769-79a697efd75f,"Idemitsu Full Synthetic Engine Oil 0W-20 GF-6, 4x5 Quart",Mixture,TRUE,30013012-95300C020,FALSE,MIXTURE,FALSE,TRUE,FALSE,FALSE,0.84,KILOGRAMS_PER_LITER,,,,COMBUSTIBLE,TRUE,NONE,
59971d4b-6e58-4c30-89e4-04192b678509,4412cc3d-1669-4b8d-96ae-c36863d9f979,"Idemitsu ATF Type TLS-LV, 12 x 1 Quart Case",,TRUE,10114-042B,FALSE,MIXTURE,FALSE,TRUE,FALSE,FALSE,0.85,KILOGRAMS_PER_LITER,COMBUSTIBLE_DUST,SKIN_IRRITANT|EYE_IRRITANT|SPECIFIC_TARGET_ORGAN_TOXICITY,,COMBUSTIBLE,FALSE,NONE,
59971d4b-6e58-4c30-89e4-04192b678509,09536a06-74db-409a-949c-8f3324ed01f9,"Idemitsu Full Synthetic Engine Oil 0W-20 GF-6, 12x1 Quart",,TRUE,30013012-75000C020,FALSE,MIXTURE,FALSE,TRUE,FALSE,FALSE,0.84,KILOGRAMS_PER_LITER,,,,COMBUSTIBLE,TRUE,NONE,
59971d4b-6e58-4c30-89e4-04192b678509,19c9c064-3eb4-4e51-97f2-72b6537ae637,"Idemitsu CVTF Type SB2, 12 X 1 Quart Case",,TRUE,30041113-75000C020,FALSE,MIXTURE,FALSE,TRUE,FALSE,FALSE,0.845,KILOGRAMS_PER_LITER,COMBUSTIBLE_DUST,,,COMBUSTIBLE,TRUE,NONE,
59971d4b-6e58-4c30-89e4-04192b678509,ef2156a2-1eb6-46f1-b63d-4f64947e8cf0,MOTORCRAFT SAE 0W-20 AND 5W-30 FULL SYNTHETIC MOTOR OIL,,TRUE,200010,FALSE,MIXTURE,FALSE,TRUE,FALSE,FALSE,7.5,POUNDS_PER_GALLON,,,,,TRUE,NONE,
59971d4b-6e58-4c30-89e4-04192b678509,c4549791-cc84-4d85-986f-bbf2c44d850d,Oxygen,7782-44-7,FALSE,001043,FALSE,PURE,FALSE,FALSE,TRUE,FALSE,0.083,POUNDS_PER_CUBIC_FOOT,OXIDIZER|COMPRESSED_GAS,,,,TRUE,NONE,
59971d4b-6e58-4c30-89e4-04192b678509,5f7a1e0c-a1d7-41c5-a6e0-08651816aef1,Motorcraft SAE 5W-30 F-150 Diesel Motor Oil,,TRUE,198812,FALSE,MIXTURE,FALSE,TRUE,FALSE,FALSE,0.853,KILOGRAMS_PER_LITER,,,,,TRUE,NONE,
59971d4b-6e58-4c30-89e4-04192b678509,71746b3b-a5e7-4073-a623-e540986b0ea2,SAE 75W-140 Synthetic Rear Axle Lubricant,,TRUE,048396,FALSE,MIXTURE,FALSE,TRUE,FALSE,FALSE,0.87,KILOGRAMS_PER_LITER,,,,,TRUE,NONE,
