Component ID,Chemical ID,Name,Is EHS?,Component Percentage,CAS Number,No CAS Number?,Weight or Volume?,EHS Form
436736c8-e741-5091-88b4-56c2dd888c72,707f471b-dedc-4c58-8785-2930e81807eb,"Heptane, Branched Cyclic",FALSE,60,426260-76-6,FALSE,WEIGHT,NONE
e8cc2f39-1209-54b4-a906-a960478f2499,707f471b-dedc-4c58-8785-2930e81807eb,Toluene,FALSE,50,108-88-3,FALSE,WEIGHT,NONE
1b73cb82-8f7a-516f-92f3-ce47e62c8ca3,707f471b-dedc-4c58-8785-2930e81807eb,Isohexane,FALSE,90,107-83-5,FALSE,WEIGHT,NONE
c8282a6e-b614-5dae-9533-16a2feb17ce7,707f471b-dedc-4c58-8785-2930e81807eb,Heptane,FALSE,30,142-82-5,FALSE,WEIGHT,NONE
f2032c2a-729f-5dbc-95ad-350f6a82dbbc,707f471b-dedc-4c58-8785-2930e81807eb,Methyl Alcohol,FALSE,30,67-56-1,FALSE,WEIGHT,NONE
f3378c9f-dc3b-5c40-808a-b84449cd3874,707f471b-dedc-4c58-8785-2930e81807eb,Carbon Dioxide,FALSE,10,124-38-9,FALSE,WEIGHT,NONE
c710656a-31e5-55d0-965e-16ddfb24247c,a787a870-63e2-4dae-b5c1-b62ed8836222,"Petroleum distillates, hydrotreated heavy paraffinic",FALSE,90,64742-54-7,FALSE,WEIGHT,NONE
97cef2f9-614a-5172-91d3-62c5bf15e567,a787a870-63e2-4dae-b5c1-b62ed8836222,"Petroleum distillates, hydrotreated light paraffinic",FALSE,5,64742-55-8,FALSE,WEIGHT,NONE
561340ba-5ebf-5f77-8fb1-86da246fc50d,e82e82ed-64b5-4bb1-b1ca-e034efea5abc,Base Oil(s),FALSE,90,74869-22-0,FALSE,WEIGHT,NONE
6303fb03-9b8f-5290-85b6-1f842c0b78fc,e82e82ed-64b5-4bb1-b1ca-e034efea5abc,Additives,FALSE,20,,TRUE,WEIGHT,NONE
367e4266-5b08-54e4-ba9d-1acbe786555d,a618449c-accf-458d-81c8-23a95769ecb9,Hydrotreated Light Paraffinic Oil,FALSE,50,64742-55-8,FALSE,WEIGHT,NONE
87a07c2d-7f26-5b21-aeb0-4e1525bc3d2d,a618449c-accf-458d-81c8-23a95769ecb9,Hydrotreated Heavy Paraffinic Oil,FALSE,45,64742-54-7,FALSE,WEIGHT,NONE
4319d869-e8e3-5300-b1f6-1ba3f49a002d,a618449c-accf-458d-81c8-23a95769ecb9,Mineral Oil,FALSE,10,MIXTURE,TRUE,WEIGHT,NONE
2349cc02-3401-5c34-8aa2-15c51044c1bb,a618449c-accf-458d-81c8-23a95769ecb9,Methacrylate copolymer,FALSE,8,PROPRIETARY,TRUE,WEIGHT,NONE
ee018ae1-347b-5208-a9af-67b56a2fa843,a618449c-accf-458d-81c8-23a95769ecb9,Highly Refined Mineral Oil (C15-C50),FALSE,8,MIXTURE,TRUE,WEIGHT,NONE
de912e34-1c4f-585d-b10c-7a9102c92693,a618449c-accf-458d-81c8-23a95769ecb9,Ethylene-Propylene Copolymer,FALSE,0.7,PROPRIETARY,TRUE,WEIGHT,NONE
246692c2-1c8e-5a7c-937d-048087ab12ad,227017ad-9a99-4bf3-83f2-b353dcc01734,Zinc Dithiophosphate,FALSE,2,68649-42-3,FALSE,WEIGHT,NONE
35a8a1d0-f4f6-5a9e-9ae5-3e26253d6687,4d0dfc59-aa33-4770-a2c4-679303b3f990,Lubricating Base Stocks,FALSE,100,Mixture,TRUE,WEIGHT,NONE
1506d0f4-9cd0-5968-afbe-fa31712ce0e3,e774d5c1-0b6b-4951-935e-d5708f9ccc65,Lubricating Base Stocks,FALSE,95,,TRUE,WEIGHT,NONE
4b863e01-6bd0-5a72-8d8c-d4d3fdd52c1b,7fb23c9a-9dcd-4f88-a76e-9452541c22d7,Lubricating Base Stocks,FALSE,100,Mixture,TRUE,WEIGHT,NONE
4809b15a-d566-512a-9f9a-bdeaccc548fa,8baeb5ac-3668-408d-aefb-73155b3309e2,ETHYLENE GLYCOL,FALSE,50,107-21-1,FALSE,WEIGHT,NONE
c0907dca-ea31-521b-ac77-fda1ad9e9923,8baeb5ac-3668-408d-aefb-73155b3309e2,DIETHYLENE GLYCOL,FALSE,5,111-46-6,FALSE,WEIGHT,NONE
ab7d6b9b-d509-5052-862b-02f6a4470497,8baeb5ac-3668-408d-aefb-73155b3309e2,SODIUM BENZOATE,FALSE,5,532-32-1,FALSE,WEIGHT,NONE
63ca42b2-2529-55bb-bf59-cfcc99be70ec,9dd23e86-347c-422f-acc1-080ca4446a96,Lubricating Base Stocks,FALSE,100,,TRUE,WEIGHT,NONE
b116a704-d0a2-5372-bcc6-0ac8e0af0666,1b017865-28bf-44ca-9769-79a697efd75f,Lubricating Base Stocks,FALSE,100,Mixture,TRUE,WEIGHT,NONE
6684204c-fc3e-53bb-afd5-d19d57ac8dfc,4412cc3d-1669-4b8d-96ae-c36863d9f979,Lubricating Base Stocks,FALSE,80,,TRUE,WEIGHT,NONE
fcde5ea2-17bf-5527-a89e-98c538be59bc,09536a06-74db-409a-949c-8f3324ed01f9,Lubricating Base Stocks,FALSE,100,,TRUE,WEIGHT,NONE
