Tenant ID,Facility Chemical ID,Facility ID,Chemical ID,Reporting Year,Max Amount,Average Amount,Max Amount Largest Container,Unit,Days On Site,Has Confidential Storage Locations?,Always report this chemical even when it is below reporting thresholds
343f0200-c41a-42cf-be73-0acbb56827b2,707f471b-dedc-4c58-8785-2930e81807eb,a7b04735-0df5-4b33-b7f3-42c0bc576601,707f471b-dedc-4c58-8785-2930e81807eb,2023,110,55,110,GALLONS,365,FALSE,TRUE
343f0200-c41a-42cf-be73-0acbb56827b2,b31e8d49-036b-48ee-b0ad-f34b710a6e43,a7b04735-0df5-4b33-b7f3-42c0bc576601,b31e8d49-036b-48ee-b0ad-f34b710a6e43,2023,110,75,110,GALLONS,365,FALSE,TRUE
343f0200-c41a-42cf-be73-0acbb56827b2,a787a870-63e2-4dae-b5c1-b62ed8836222,a7b04735-0df5-4b33-b7f3-42c0bc576601,a787a870-63e2-4dae-b5c1-b62ed8836222,2023,64,60,64,GALLONS,365,FALSE,TRUE
343f0200-c41a-42cf-be73-0acbb56827b2,e82e82ed-64b5-4bb1-b1ca-e034efea5abc,a7b04735-0df5-4b33-b7f3-42c0bc576601,e82e82ed-64b5-4bb1-b1ca-e034efea5abc,2023,32,32,32,GALLONS,365,FALSE,TRUE
343f0200-c41a-42cf-be73-0acbb56827b2,a618449c-accf-458d-81c8-23a95769ecb9,a7b04735-0df5-4b33-b7f3-42c0bc576601,a618449c-accf-458d-81c8-23a95769ecb9,2023,32,28,28,GALLONS,365,FALSE,TRUE
343f0200-c41a-42cf-be73-0acbb56827b2,227017ad-9a99-4bf3-83f2-b353dcc01734,a7b04735-0df5-4b33-b7f3-42c0bc576601,227017ad-9a99-4bf3-83f2-b353dcc01734,2023,55,48,55,GALLONS,365,FALSE,TRUE
343f0200-c41a-42cf-be73-0acbb56827b2,4d0dfc59-aa33-4770-a2c4-679303b3f990,a7b04735-0df5-4b33-b7f3-42c0bc576601,4d0dfc59-aa33-4770-a2c4-679303b3f990,2023,55,null,55,GALLONS,365,FALSE,TRUE
343f0200-c41a-42cf-be73-0acbb56827b2,e774d5c1-0b6b-4951-935e-d5708f9ccc65,a7b04735-0df5-4b33-b7f3-42c0bc576601,e774d5c1-0b6b-4951-935e-d5708f9ccc65,2023,400,200,400,GALLONS,365,FALSE,TRUE
343f0200-c41a-42cf-be73-0acbb56827b2,7fb23c9a-9dcd-4f88-a76e-9452541c22d7,a7b04735-0df5-4b33-b7f3-42c0bc576601,7fb23c9a-9dcd-4f88-a76e-9452541c22d7,2023,400,200,400,GALLONS,365,FALSE,TRUE
343f0200-c41a-42cf-be73-0acbb56827b2,8baeb5ac-3668-408d-aefb-73155b3309e2,a7b04735-0df5-4b33-b7f3-42c0bc576601,8baeb5ac-3668-408d-aefb-73155b3309e2,2023,400,250,400,GALLONS,365,FALSE,TRUE
343f0200-c41a-42cf-be73-0acbb56827b2,9dd23e86-347c-422f-acc1-080ca4446a96,a7b04735-0df5-4b33-b7f3-42c0bc576601,9dd23e86-347c-422f-acc1-080ca4446a96,2023,400,200,400,GALLONS,365,FALSE,TRUE
343f0200-c41a-42cf-be73-0acbb56827b2,1b017865-28bf-44ca-9769-79a697efd75f,a7b04735-0df5-4b33-b7f3-42c0bc576601,1b017865-28bf-44ca-9769-79a697efd75f,2023,400,200,400,GALLONS,365,FALSE,TRUE
343f0200-c41a-42cf-be73-0acbb56827b2,4412cc3d-1669-4b8d-96ae-c36863d9f979,a7b04735-0df5-4b33-b7f3-42c0bc576601,4412cc3d-1669-4b8d-96ae-c36863d9f979,2023,5,5,5,GALLONS,365,FALSE,TRUE
343f0200-c41a-42cf-be73-0acbb56827b2,09536a06-74db-409a-949c-8f3324ed01f9,a7b04735-0df5-4b33-b7f3-42c0bc576601,09536a06-74db-409a-949c-8f3324ed01f9,2023,400,200,400,GALLONS,365,FALSE,TRUE
343f0200-c41a-42cf-be73-0acbb56827b2,19c9c064-3eb4-4e51-97f2-72b6537ae637,a7b04735-0df5-4b33-b7f3-42c0bc576601,19c9c064-3eb4-4e51-97f2-72b6537ae637,2023,32,32,32,GALLONS,365,FALSE,TRUE
343f0200-c41a-42cf-be73-0acbb56827b2,ef2156a2-1eb6-46f1-b63d-4f64947e8cf0,3b95917c-3528-4837-9934-6471b51dbe4c,ef2156a2-1eb6-46f1-b63d-4f64947e8cf0,2023,55,35,55,GALLONS,365,FALSE,TRUE
343f0200-c41a-42cf-be73-0acbb56827b2,c4549791-cc84-4d85-986f-bbf2c44d850d,3b95917c-3528-4837-9934-6471b51dbe4c,c4549791-cc84-4d85-986f-bbf2c44d850d,2023,140,100,140,CUBIC_FEET,365,FALSE,TRUE
343f0200-c41a-42cf-be73-0acbb56827b2,5a93ab23-aec0-4115-aa97-4b9150cb5caf,3b95917c-3528-4837-9934-6471b51dbe4c,5a93ab23-aec0-4115-aa97-4b9150cb5caf,2023,300,200,300,GALLONS,365,FALSE,TRUE
343f0200-c41a-42cf-be73-0acbb56827b2,602279c5-b0a4-4ecf-90e7-694b1628791e,3b95917c-3528-4837-9934-6471b51dbe4c,602279c5-b0a4-4ecf-90e7-694b1628791e,2023,55,35,55,GALLONS,365,FALSE,TRUE
343f0200-c41a-42cf-be73-0acbb56827b2,5f7a1e0c-a1d7-41c5-a6e0-08651816aef1,3b95917c-3528-4837-9934-6471b51dbe4c,5f7a1e0c-a1d7-41c5-a6e0-08651816aef1,2023,55,35,55,GALLONS,365,FALSE,TRUE
343f0200-c41a-42cf-be73-0acbb56827b2,71746b3b-a5e7-4073-a623-e540986b0ea2,3b95917c-3528-4837-9934-6471b51dbe4c,71746b3b-a5e7-4073-a623-e540986b0ea2,2023,6,5,6,GALLONS,365,FALSE,TRUE
343f0200-c41a-42cf-be73-0acbb56827b2,6734d9ae-f824-497c-91c2-1c004b621585,3b95917c-3528-4837-9934-6471b51dbe4c,6734d9ae-f824-497c-91c2-1c004b621585,2023,200,100,200,GALLONS,365,FALSE,TRUE
343f0200-c41a-42cf-be73-0acbb56827b2,1a1193e8-5fa2-4a2c-978b-ab55fd2c9d96,3b95917c-3528-4837-9934-6471b51dbe4c,1a1193e8-5fa2-4a2c-978b-ab55fd2c9d96,2023,100,55,100,GALLONS,365,FALSE,TRUE
343f0200-c41a-42cf-be73-0acbb56827b2,a6d26ba4-7d88-4246-8ce7-257449a0f0e9,3b95917c-3528-4837-9934-6471b51dbe4c,a6d26ba4-7d88-4246-8ce7-257449a0f0e9,2023,60,45,60,CUBIC_FEET,365,FALSE,TRUE
