Tenant ID,Facility ID,Storage Location ID,Description
c05510ba-38ab-4d63-8d7f-ba2745a076f3,6b1694cf-9f1b-4cf3-b267-9d08ca040723,f5602be9-28c0-4a08-80ba-f307e2ece962,Back corner of parts dept near parts manager's office.
c05510ba-38ab-4d63-8d7f-ba2745a076f3,6b1694cf-9f1b-4cf3-b267-9d08ca040723,57250b0f-0057-4d79-bdd6-ac0d733a79d8,Grey parts dept cabinet near tire racks.
c05510ba-38ab-4d63-8d7f-ba2745a076f3,6b1694cf-9f1b-4cf3-b267-9d08ca040723,4b386bf8-022e-4734-8e52-31706396e128,Back corner of the parts department by the parts manager's office.
c05510ba-38ab-4d63-8d7f-ba2745a076f3,6b1694cf-9f1b-4cf3-b267-9d08ca040723,9413ee72-2764-444d-b53c-ec53ac64a30e,Back corner of the parts department by the parts manager's office.
c05510ba-38ab-4d63-8d7f-ba2745a076f3,6b1694cf-9f1b-4cf3-b267-9d08ca040723,77d6ed1c-81ff-4c5e-9271-64da7dcb9f27,Back corner of parts dept near parts manager's office.
c05510ba-38ab-4d63-8d7f-ba2745a076f3,6b1694cf-9f1b-4cf3-b267-9d08ca040723,d856d73d-92b8-4fc6-a830-9b9f959e78ac,Grey parts dept cabinet. 
c05510ba-38ab-4d63-8d7f-ba2745a076f3,6b1694cf-9f1b-4cf3-b267-9d08ca040723,97ddfd67-6ca4-4a25-99a1-3f21460929b3,Back corner of the parts department by the parts manager's office.
c05510ba-38ab-4d63-8d7f-ba2745a076f3,6b1694cf-9f1b-4cf3-b267-9d08ca040723,5628c733-adca-466f-befd-31b12cf803bc,Each side of parts dept. 
c05510ba-38ab-4d63-8d7f-ba2745a076f3,6b1694cf-9f1b-4cf3-b267-9d08ca040723,d0110064-9c61-4305-ac26-62f4bcc9d889,Parts Dept
c05510ba-38ab-4d63-8d7f-ba2745a076f3,6b1694cf-9f1b-4cf3-b267-9d08ca040723,962276a6-c0d1-4769-9492-360d99c083be,Parts dept tool room.
c05510ba-38ab-4d63-8d7f-ba2745a076f3,6b1694cf-9f1b-4cf3-b267-9d08ca040723,10775c5b-5dfc-4fc2-bfb4-2795994132a0,Grey parts dept cabinet near tire racks.
c05510ba-38ab-4d63-8d7f-ba2745a076f3,6b1694cf-9f1b-4cf3-b267-9d08ca040723,cf24dd83-0434-4766-a94d-11050b474c50,Back corner of parts dept near parts manager's office.
c05510ba-38ab-4d63-8d7f-ba2745a076f3,6b1694cf-9f1b-4cf3-b267-9d08ca040723,d5120f3b-32a9-4216-9a97-f3fb87bfb52d,Grey parts dept cabinet near tire racks.
c05510ba-38ab-4d63-8d7f-ba2745a076f3,6b1694cf-9f1b-4cf3-b267-9d08ca040723,46c711c5-94ed-4283-b4cc-9fdd90111556,back corner of the parts dept by parts manager's office
c05510ba-38ab-4d63-8d7f-ba2745a076f3,6b1694cf-9f1b-4cf3-b267-9d08ca040723,8954abfe-6e5d-46d0-8062-c4329ded93be,Back corner of the parts department by the parts manager's office.
c05510ba-38ab-4d63-8d7f-ba2745a076f3,6b1694cf-9f1b-4cf3-b267-9d08ca040723,ee596867-6569-433f-8fcb-f2f7288f3979,Grey parts dept cabinet near tire racks.
c05510ba-38ab-4d63-8d7f-ba2745a076f3,6b1694cf-9f1b-4cf3-b267-9d08ca040723,2acc16a0-70c0-41a1-8682-9b303394a129,Grey cabinet in parts dept near tire racks.
c05510ba-38ab-4d63-8d7f-ba2745a076f3,6b1694cf-9f1b-4cf3-b267-9d08ca040723,b01380d2-ee13-4455-a407-00fd0e459e2f,Storage rack adjacent to parts manager's office.
c05510ba-38ab-4d63-8d7f-ba2745a076f3,6b1694cf-9f1b-4cf3-b267-9d08ca040723,ba2b02e7-2502-4393-b244-c68645130926,Grey parts dept cabinet near tire racks.
c05510ba-38ab-4d63-8d7f-ba2745a076f3,6b1694cf-9f1b-4cf3-b267-9d08ca040723,6dc331e5-6435-49e0-bded-1b2817414cc1,Back corner of parts dept near parts manager's office.
c05510ba-38ab-4d63-8d7f-ba2745a076f3,6b1694cf-9f1b-4cf3-b267-9d08ca040723,b33e9f5a-a0fc-4396-ad06-c533acfbe71d,Grey parts dept cabinet near tire racks.
c05510ba-38ab-4d63-8d7f-ba2745a076f3,6b1694cf-9f1b-4cf3-b267-9d08ca040723,1aa462ea-cce2-403b-8048-0a1c8d6a57cd,back corner of parts dept near parts manager's office.
c05510ba-38ab-4d63-8d7f-ba2745a076f3,6b1694cf-9f1b-4cf3-b267-9d08ca040723,33b28c62-6f90-4f0d-945a-a25385e8a82c,Back corner of the parts department near parts manager's office.
c05510ba-38ab-4d63-8d7f-ba2745a076f3,6b1694cf-9f1b-4cf3-b267-9d08ca040723,212505b8-1fb3-4d63-97a9-279799b3b10d,Back corner of the parts dept 
c05510ba-38ab-4d63-8d7f-ba2745a076f3,6b1694cf-9f1b-4cf3-b267-9d08ca040723,f62d31af-f53e-46dd-bbcf-a52b70e257b9,Back corner of parts dept near parts manager's office.
