Component ID,Chemical ID,Name,Is EHS?,Component Percentage,CAS Number,No CAS Number?,Weight or Volume?,EHS Form
ef74b5dc-a6e1-581a-aab6-d8bd4e0d0fd4,33abc16e-2ce1-4710-a9fe-31cac6614997,ETHYLENE GLYCOL,FALSE,50,107-21-1,FALSE,WEIGHT,NONE
19a4de90-2761-5a5f-be7d-19f7d0458417,33abc16e-2ce1-4710-a9fe-31cac6614997,"2,2'-Oxydiethanol",FALSE,6,111-46-6,FALSE,WEIGHT,NONE
1314b1a7-82c9-58f2-932d-defcfecde179,15716fe4-c33a-427c-b06e-0a4266bc6790,Heptane,FALSE,100,142-82-5,FALSE,WEIGHT,NONE
b6f6c3af-dbb3-5044-bec5-e294bf7918a7,15716fe4-c33a-427c-b06e-0a4266bc6790,Methylcyclohexane,FALSE,30,108-87-2,FALSE,WEIGHT,NONE
d5169830-689c-5442-b5ba-a0a0b03ac8ba,15716fe4-c33a-427c-b06e-0a4266bc6790,Cyclohexane,FALSE,10,110-82-7,FALSE,WEIGHT,NONE
13bc555b-38a1-5d4f-b414-e7d110b9c9e2,7cda1d83-bf3b-4bf7-a12f-5826e9733656,ETHYLBENZENE,FALSE,0.1,100-41-4,FALSE,WEIGHT,NONE
0137e76e-c8fd-507a-a37f-f3d63f58af7d,8d5c46bd-be76-4762-a188-7ea3d72c2f2a,Light Aromatic Solvent Naphtha,FALSE,50,64742-95-6,FALSE,WEIGHT,NONE
01a5160c-63d4-591c-9f81-1e3bd33e127c,8d5c46bd-be76-4762-a188-7ea3d72c2f2a,Hydrotreated Light Petroleum Distillates,FALSE,40,64742-47-8,FALSE,WEIGHT,NONE
f9c0f98f-11d9-54b0-bb26-005908efd4dc,8d5c46bd-be76-4762-a188-7ea3d72c2f2a,Monoalkylaryl alkoxylate aminated,FALSE,40,,TRUE,WEIGHT,NONE
a711039f-3732-5245-af66-06b04d8e18ba,8d5c46bd-be76-4762-a188-7ea3d72c2f2a,"1,2,4-Trimethylbenzene",FALSE,15,95-63-6,FALSE,WEIGHT,NONE
d817a9b9-aa6e-5708-9e8b-2e825ff34af4,8d5c46bd-be76-4762-a188-7ea3d72c2f2a,"1,3,5-Trimethylbenzene",FALSE,12,108-67-8,FALSE,WEIGHT,NONE
95e07ff1-d6de-5f32-878a-0812902e7022,8d5c46bd-be76-4762-a188-7ea3d72c2f2a,Polyolefin Alkyl Phenol Alkyl Amine,FALSE,12,,TRUE,WEIGHT,NONE
6a426ca8-0a9f-56d2-857d-16ddf065179c,8d5c46bd-be76-4762-a188-7ea3d72c2f2a,N-Propylbenzene,FALSE,10,103-65-1,FALSE,WEIGHT,NONE
d090d73c-11ea-5e5f-9fee-b15056d3013c,8d5c46bd-be76-4762-a188-7ea3d72c2f2a,Xylene,FALSE,6,1330-20-7,FALSE,WEIGHT,NONE
296aa8a8-8de3-51af-8f62-2d76308c24bb,8d5c46bd-be76-4762-a188-7ea3d72c2f2a,Cumene,FALSE,6,98-82-8,FALSE,WEIGHT,NONE
32cea6da-8122-5ba3-8fe8-fb9cd4284899,8d5c46bd-be76-4762-a188-7ea3d72c2f2a,"1,2,3-Trimethylbenzene",FALSE,6,526-73-8,FALSE,WEIGHT,NONE
02be28c5-fc1f-5198-80bc-a8174ae986d8,8d5c46bd-be76-4762-a188-7ea3d72c2f2a,o-Ethyltoluene,FALSE,1,611-14-3,FALSE,WEIGHT,NONE
40cb0b1a-f983-5cf3-bf21-9bca79131e5f,8d5c46bd-be76-4762-a188-7ea3d72c2f2a,Ethylbenzene,FALSE,1,100-41-4,FALSE,WEIGHT,NONE
52b50f7b-06b9-534f-90c9-8f5c7ad74f42,8f2b73d7-313a-4cce-a150-976ef9a1e039,OXALIC ACID.2H2O,FALSE,8,6153-56-6,FALSE,WEIGHT,NONE
d7ea245c-259d-5ec5-863e-1d04f32103d1,8f2b73d7-313a-4cce-a150-976ef9a1e039,ETHYLENE GLYCOL,FALSE,2.4,107-21-1,FALSE,WEIGHT,NONE
48d22eb8-6fe8-5415-a2b9-9cedf9b25e7d,3b682e85-4991-4457-ae42-b79c4e028b01,ETHYLENE GLYCOL,FALSE,88.67,107-21-1,FALSE,WEIGHT,NONE
37fe33da-fa3a-520f-bc14-4bb32154bd15,3b682e85-4991-4457-ae42-b79c4e028b01,"2,2'-Oxydiethanol",FALSE,4.67,111-46-6,FALSE,WEIGHT,NONE
571145fe-eb65-56b6-bd2e-fe48a8d0aeda,dc9a8c26-d27a-4d4c-bdec-c072233acaf7,ETHYLENE GLYCOL,FALSE,93,107-21-1,FALSE,WEIGHT,NONE
13f25149-6cea-5d3d-aac8-12898db33c8b,dc9a8c26-d27a-4d4c-bdec-c072233acaf7,"2,2'-Oxydiethanol",FALSE,4,111-46-6,FALSE,WEIGHT,NONE
8cbceb69-3435-5872-a0a3-8c03021ba791,9cc6e163-6f47-43e1-92c9-d0bf4d81a808,Base oil severely refined,FALSE,100,,TRUE,VOLUME,NONE
d228964d-1c03-5e2a-8b99-4aa039be4f94,9c0caa06-c0a3-4adf-8401-711fe63a7fb6,Base oil severely refined,FALSE,100,,TRUE,WEIGHT,NONE
