Facility ID,Tenant ID,Facility Chemical Storage Location ID,Facility Chemical ID,Storage Location ID,Unit,Max Amount,Storage Type,Storage Type Description,Pressure,Temperature
fd2dc628-a341-4586-b491-be9fc9e52665,018fec99-8a8f-4b02-921d-421a8792f4e9,1cee8851-64db-49bb-b9cd-bc66b1fc6df5,33abc16e-2ce1-4710-a9fe-31cac6614997,57d41c3f-685a-4d9a-b6fb-136d13633b7b,GALLONS,13,PLASTIC_BOTTLE,Parts Dept,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
fd2dc628-a341-4586-b491-be9fc9e52665,018fec99-8a8f-4b02-921d-421a8792f4e9,15c10867-82b8-4bb0-974c-7113a1dd7f45,15716fe4-c33a-427c-b06e-0a4266bc6790,15a72269-4897-46f9-8a58-c7a64fb0d864,LITERS,2,PLASTIC_BOTTLE,Parts Dept.,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
fd2dc628-a341-4586-b491-be9fc9e52665,018fec99-8a8f-4b02-921d-421a8792f4e9,0efe7412-564e-48a8-9d62-823f948c3eae,7cda1d83-bf3b-4bf7-a12f-5826e9733656,1454691e-a35b-4bbf-8fa7-0fdcc1061a12,LITERS,1,PLASTIC_BOTTLE,Parts Dept,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
fd2dc628-a341-4586-b491-be9fc9e52665,018fec99-8a8f-4b02-921d-421a8792f4e9,69ac4dc3-4568-43f0-872f-b8de283ee3c3,8d5c46bd-be76-4762-a188-7ea3d72c2f2a,5105ada4-c921-4430-9580-8950372a9c65,LITERS,17,PLASTIC_BOTTLE,Parts Dept,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
fd2dc628-a341-4586-b491-be9fc9e52665,018fec99-8a8f-4b02-921d-421a8792f4e9,eafbb825-00e7-480a-9135-fc85d3f35eb6,8f2b73d7-313a-4cce-a150-976ef9a1e039,4798f45a-74e2-45be-a977-87ed67205a44,GALLONS,4,PLASTIC_BOTTLE,Parts Dept.,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
fd2dc628-a341-4586-b491-be9fc9e52665,018fec99-8a8f-4b02-921d-421a8792f4e9,1a2e6e7f-c400-4cfa-9943-b54c765f42dc,3b682e85-4991-4457-ae42-b79c4e028b01,d053e8dd-2605-4607-b5e4-1beab8b08ad0,GALLONS,10,PLASTIC_BOTTLE,Parts Dept.,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
fd2dc628-a341-4586-b491-be9fc9e52665,018fec99-8a8f-4b02-921d-421a8792f4e9,6b807463-26f1-4d58-91f3-c0c4a1407b0e,84dce56c-ceb9-464f-a361-88606fea9dff,9d021c6b-832d-44ee-b425-72db4a4bf0db,GALLONS,18,PLASTIC_BOTTLE,Parts Dept.,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
fd2dc628-a341-4586-b491-be9fc9e52665,018fec99-8a8f-4b02-921d-421a8792f4e9,0f8b80a5-d48f-4ee1-a0c9-e5903e29dfdf,dc9a8c26-d27a-4d4c-bdec-c072233acaf7,91e80156-9461-490f-881e-821028f2957b,GALLONS,4,PLASTIC_BOTTLE,Parts Dept.,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
fd2dc628-a341-4586-b491-be9fc9e52665,018fec99-8a8f-4b02-921d-421a8792f4e9,7f4406b3-d730-48ed-a621-3c7a1eeb42b9,9cc6e163-6f47-43e1-92c9-d0bf4d81a808,fa52b227-1cd7-426b-8714-a37cd5a18268,QUARTS,35,PLASTIC_BOTTLE,Parts Dept.,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
fd2dc628-a341-4586-b491-be9fc9e52665,018fec99-8a8f-4b02-921d-421a8792f4e9,091f8cff-5604-410c-952d-c6bfc5c01fa3,9c0caa06-c0a3-4adf-8401-711fe63a7fb6,17c3ad60-0530-4851-b41c-3260e673ec43,QUARTS,96,PLASTIC_BOTTLE,Parts Dept.,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
fd2dc628-a341-4586-b491-be9fc9e52665,018fec99-8a8f-4b02-921d-421a8792f4e9,518b0d05-6995-4a60-9abf-eeb78a230874,b3f31f40-5ea3-4740-8339-0f48d890d9c6,7892a701-7b24-42e3-870e-ae3040e8ef95,QUARTS,84,PLASTIC_BOTTLE,Parts Dept.,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
fd2dc628-a341-4586-b491-be9fc9e52665,018fec99-8a8f-4b02-921d-421a8792f4e9,c2cad3fa-933a-46cf-a0c8-149a4f88e424,b8390012-0c53-4bac-b09f-929cdde132ae,be7160d3-8d22-4627-84ca-a2be82b76760,QUARTS,24,PLASTIC_BOTTLE,Parts Dept.,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
fd2dc628-a341-4586-b491-be9fc9e52665,018fec99-8a8f-4b02-921d-421a8792f4e9,aa86c037-488f-4f80-8fca-ba0d42a68e91,7d5e6bd8-1e01-451b-96bd-774214b5a988,8774b7f9-b5d7-4a91-b3b5-2fd5e12a395d,QUARTS,18,PLASTIC_BOTTLE,Parts Dept.,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
fd2dc628-a341-4586-b491-be9fc9e52665,018fec99-8a8f-4b02-921d-421a8792f4e9,2df6632f-1cc2-4dad-a51e-2664eda4e364,1e6b8217-2f35-4bef-a3a6-c2e06b121401,671206af-953d-428d-b9cf-6aade2da3bce,QUARTS,30,PLASTIC_BOTTLE,Store on forklift, located in West area of service Dept,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
fd2dc628-a341-4586-b491-be9fc9e52665,018fec99-8a8f-4b02-921d-421a8792f4e9,51a37c0b-851a-446b-b19f-d786f2d6165d,0d98506c-9696-446c-9522-07b86998f5dd,0d42ac2b-8f5c-4af7-b31d-9b16b6dd5228,QUARTS,30,PLASTIC_BOTTLE,Parts Dept.,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
fd2dc628-a341-4586-b491-be9fc9e52665,018fec99-8a8f-4b02-921d-421a8792f4e9,7f864c9c-0a6f-4855-b235-49537032d0ee,51d99512-57d2-4321-889a-f3756d85c682,2e3bbd23-25ad-4d49-8a35-6cdb34c9ff9d,LITERS,1,PLASTIC_BOTTLE,Parts Dept,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
fd2dc628-a341-4586-b491-be9fc9e52665,018fec99-8a8f-4b02-921d-421a8792f4e9,7b125f64-faea-4ad1-b5cf-a88bfc36920e,4d231800-b005-4ea8-9ec0-6a0a1110fde5,1ea917f9-58ff-466e-9246-25fef1043ba8,GALLONS,0,STEEL_DRUM,Engine service bays,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
fd2dc628-a341-4586-b491-be9fc9e52665,018fec99-8a8f-4b02-921d-421a8792f4e9,95302d71-bedc-459b-80f1-87aa7e29f3d1,cc9b6ac5-ca41-4a29-8107-e8b7dbf278c9,ca3dad42-33b1-49a5-b47d-73a20b967f5e,QUARTS,5,PLASTIC_BOTTLE,,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
fd2dc628-a341-4586-b491-be9fc9e52665,018fec99-8a8f-4b02-921d-421a8792f4e9,6d1db555-4b2d-4111-9df3-6c3329467b3e,0783bf36-d65f-4bdc-9a2a-04a7ea7f316e,2d905520-0ce0-43c8-8be4-30c0b71b7ae0,QUARTS,28,PLASTIC_BOTTLE,,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
fd2dc628-a341-4586-b491-be9fc9e52665,018fec99-8a8f-4b02-921d-421a8792f4e9,6bef239a-6019-42bf-b505-e3c2705111b2,d1610aba-5ca3-4b75-bb55-b06da3cd246f,7b03b412-433a-4160-90fd-683c36be1df3,GALLONS,14,PLASTIC_BOTTLE,,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
fd2dc628-a341-4586-b491-be9fc9e52665,018fec99-8a8f-4b02-921d-421a8792f4e9,23ac66b7-8a4b-4c63-b2c3-c65431bcf21b,e9289dd1-bf1d-46b2-a479-67edfbbfd47e,43072885-451d-4c49-8ce2-cbdef0f6ed29,LITERS,10,PLASTIC_BOTTLE,,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
fd2dc628-a341-4586-b491-be9fc9e52665,018fec99-8a8f-4b02-921d-421a8792f4e9,9fcdceba-921d-4e9b-9188-012ed99e1949,6fe0925c-9b88-48e6-b349-a8e0f6ff9099,89fb992d-caf5-44b5-ba92-a78752fe5fb4,LITERS,1,PLASTIC_BOTTLE,,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
fd2dc628-a341-4586-b491-be9fc9e52665,018fec99-8a8f-4b02-921d-421a8792f4e9,c49ef54e-afe0-4f5f-aa21-90c39b48ad3f,3bb161c9-f310-4882-b776-72bb735d2839,fc15662d-f9ef-4341-aad5-ac8e12feaa88,GALLONS,120,STEEL_DRUM,,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
